date,outlet,author,url,headline,entities,contract_ids,claims_summary,cluster_id
"2026-03-04","ProPublica","Justin Elliott;Joshua Kaplan","https://www.propublica.org/article/kristi-noem-dhs-misled-senate-judiciary-corey-lewandowski-contracts","Kristi Noem Misled Congress About Corey Lewandowski's Role in DHS Contracts","Corey Lewandowski;Kristi Noem;DHS;Senate Judiciary Committee","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Routing sheets and four officials showed Lewandowski approving or reviewing contracts, contradicting Noem's testimony.","C2_LEWANDOWSKI_CONTROLS"
"2026-03-19","NBC News","Julia Ainsley;Matt Dixon;Jonathan Allen;Laura Strickler","https://www.nbcnews.com/news/us-news/dhs-contractors-told-white-house-officials-asked-pay-corey-lewandowski-rcna263744","Some DHS contractors told White House officials they were asked to pay Corey Lewandowski","Corey Lewandowski;GEO Group;George Zoley;Salus Worldwide;White House;DHS","","UNCONFIRMED; accessed 2026-07-28 22:30 EDT — Preview and mirrors report alleged success-fee and consultant-payment requests; subjects denied wrongdoing; direct body inaccessible.","C2_LEWANDOWSKI_CONTROLS"
"2026-03-26","CNN via KTVZ","","https://ktvz.com/politics/cnn-us-politics/2026/03/26/dhs-internal-watchdog-launches-investigation-into-handling-of-contracts-under-noem-lewandowski/","DHS internal watchdog launches investigation into handling of contracts under Noem, Lewandowski","Kristi Noem;Corey Lewandowski;DHS OIG;Joseph Cuffari","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a broad OIG contract-handling inquiry and internal complaints about the inspector general's response.","C2_LEWANDOWSKI_CONTROLS"
"2026-04-02","NOTUS","Reese Gorman;Anna Kramer","https://www.notus.org/congress/democrats-probe-noem-lewandowski-contracts-walters","Democrats' Probe Into Noem, Lewandowski, Hones in on Pro-Trump Donor's Contracts","Kristi Noem;Corey Lewandowski;William Walters;American Resolve Policy Fund;DHS","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Lawmakers examined five Walters-linked companies, large DHS awards, and a $10,000 pro-Noem donation.","C2_LEWANDOWSKI_CONTROLS"
"2026-07-11","AOL / New York Post","Victor Nava","https://www.aol.com/news/dhs-probe-finds-corey-lewandowski-022704018.html","DHS probe finds Corey Lewandowski may have improperly awarded government contracts – could face criminal referral: report","Corey Lewandowski;DHS OIG;DOJ","","UNCONFIRMED/SECONDARY; accessed 2026-07-28 22:30 EDT — Summarizes paywalled WSJ reporting of possible improper involvement, a potential DOJ referral, and roughly $1B in warehouse awards.","C2_LEWANDOWSKI_CONTROLS"
"2025-08-21","New York Times","","https://www.nytimes.com/2025/08/21/us/kristi-noem-spending-contracts-homeland-security-department.html","Kristi Noem's Tight Grip on Spending Is Slowing Homeland Security","Kristi Noem;DHS","","UNCONFIRMED; accessed 2026-07-28 22:30 EDT — Paywalled preview and citations report a personal approval gate above $100,000 and hundreds of stalled transactions.","C3_JETS_APPROVAL"
"2025-10-18","Washington Post","Marianne LeVine;Gerrit De Vynck","https://www.washingtonpost.com/politics/2025/10/18/noem-jets-dhs-purchase/","Noem pushed to buy two luxury jets for DHS","Kristi Noem;DHS;U.S. Coast Guard;Gulfstream Aerospace","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a roughly $200M plan for two Gulfstream G700s after a much smaller congressional request.","C3_JETS_APPROVAL"
"2025-10-18","New York Times","","https://www.nytimes.com/2025/10/18/us/politics/kristi-noem-dhs-gulfstream.html","Kristi Noem Plans $172 Million Purchase of Gulfstream Jets","Kristi Noem;DHS;U.S. Coast Guard;Gulfstream Aerospace","","UNCONFIRMED; accessed 2026-07-28 22:30 EDT — Metadata reports $172M for two Coast Guard aircraft; full article and sourcing paywalled.","C3_JETS_APPROVAL"
"2025-11-21","Axios","Brittany Gibson","https://www.axios.com/2025/11/21/kristi-noem-contracts-homeland-security/","The $1 workaround to Kristi Noem's accountability pledge","Kristi Noem;DHS;Palantir;POGO","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Procurement review found eleven actions between $99,999 and $99,999.99, including a $99,999.99 Palantir action.","C3_JETS_APPROVAL"
"2026-04-07","Washington Post","Brianna Sacks;Maria Sacchetti;Marianne LeVine","https://www.washingtonpost.com/immigration/2026/04/05/noem-trump-dhs-fema-contracts/","What spending probes at DHS reveal about Kristi Noem's time in office","Kristi Noem;Corey Lewandowski;Kara Voorhies;Salus Worldwide;DHS;FEMA","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Synthesized about $1B in Salus work, roughly $200M for jets, ad spending, and inspector-general inquiries.","C3_JETS_APPROVAL"
"2026-06-03","Axios","Brittany Gibson","https://www.axios.com/2026/06/03/noem-mullin-homeland-security-contracts","The last holdouts at Noem's DHS","Kristi Noem;Markwayne Mullin;DHS;Salus Worldwide","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported more than $9B in less-than-fully-competed awards and a Salus extension bringing reported value to about $915M.","C3_JETS_APPROVAL"
"2025-04-11","Texas Tribune / ProPublica","Jeff Ernsthausen;Mica Rosenberg;Avi Asher-Schapiro","https://www.texastribune.org/2025/04/11/trump-deportations-deployed-resources-tent-company/","Meet the tent company making a fortune off Trump's deportation plans","Deployed Resources;DHS;ICE;Fort Bliss","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Mapped Deployed Resources' revolving door, emergency tent history, and positioning for the Fort Bliss camp.","C4_DETENTION_SURGE"
"2025-04-24","ProPublica","Jeff Ernsthausen;Mica Rosenberg;Avi Asher-Schapiro","https://www.propublica.org/article/ice-cancels-contract-immigrant-detention-camp-fort-bliss","ICE Awarded a $3.8 Billion Contract to Hold Immigrants on a Military Base. Days Later, It Was Canceled.","Deployed Resources;ICE;Fort Bliss","","CONFIRMED; accessed 2026-07-28 22:30 EDT — ICE terminated the initial $3.8B vehicle after three days.","C4_DETENTION_SURGE"
"2025-06-16","Associated Press","Heather Hollingsworth;John Hanna","https://apnews.com/article/e92b67a388f041b84593d7a29fd93c54","ICE is using no-bid contracts, boosting big firms, to get more detention beds","ICE;GEO Group;CoreCivic","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Identified nine five-year arrangements, about 10,312 beds, roughly $73M in support work, and use of letter contracts.","C4_DETENTION_SURGE"
"2025-07-25","ProPublica","Avi Asher-Schapiro;Jeff Ernsthausen","https://www.propublica.org/article/nathan-albers-fort-bliss-immigration","His Former Company Got Caught Employing Undocumented Workers. Now He's Profiting Off an Immigrant Detention Camp.","Disaster Management Group;Nathan Albers;Acquisition Logistics LLC;Fort Bliss","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Traced a key subcontractor and its owner's prior labor-related allegations beneath the Fort Bliss award.","C4_DETENTION_SURGE"
"2025-08-28","Associated Press","Michael Biesecker;Joshua Goodman","https://apnews.com/article/3595746cd420c6f83c4ffd0b331ae056","Mystery surrounds $1.2 billion Army contract to build huge detention tent camp in Texas desert","Acquisition Logistics LLC;Gemini Tech Services;ICE;Fort Bliss","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Profiled the inexperienced awardee and losing bidder's GAO protest using procurement and protest records.","C4_DETENTION_SURGE"
"2026-04-13","Public Citizen","Douglas Pasternak","https://www.citizen.org/article/billion-dollar-collapse/","Billion-Dollar Collapse","Acquisition Logistics LLC;Amentum;ICE;Fort Bliss","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reconstructed selection, implementation failures, and Amentum's replacement role.","C4_DETENTION_SURGE"
"2026-06-09","Government Accountability Office","","https://www.gao.gov/products/gao-26-108886","Immigration Detention: ICE Should Improve Acquisition Planning and Oversight for Fort Bliss","ICE;Acquisition Logistics LLC;Amentum;Fort Bliss","GAO-26-108886","CONFIRMED; accessed 2026-07-28 22:30 EDT — Audit found poor acquisition planning and pre-award inspection, up to $11.5M in avoidable initial costs, and issued four recommendations.","C4_DETENTION_SURGE"
"2026-06-09","Washington Post","Douglas MacMillan","https://www.washingtonpost.com/business/2026/06/09/ice-detention-camp-wasted-millions-endangered-migrants-gao-finds/","ICE detention camp wasted millions and endangered migrants, GAO finds","ICE;Acquisition Logistics LLC;Amentum;Fort Bliss","GAO-26-108886","CONFIRMED; accessed 2026-07-28 22:30 EDT — Contextualized GAO's findings and the roughly $1.3B Fort Bliss program.","C4_DETENTION_SURGE"
"2026-06-16","Washington Post","Douglas MacMillan","https://www.washingtonpost.com/business/2026/06/16/ice-removed-detainee-protections-after-private-outreach-top-contractor/","ICE removed detainee protections after private outreach from top contractor","ICE;GEO Group;Kenneth Venturella","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Internal emails showed GEO input into revised detention standards and highlighted a former GEO executive's government role.","C4_DETENTION_SURGE"
"2026-07-27","Associated Press","Ryan J. Foley","https://apnews.com/article/560827ad4d605f4069d673be12f2544d","ICE extends no-bid contract for major detention center in Texas, rejecting calls for closure","Amentum;ICE;Fort Bliss;Acquisition Logistics LLC","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a $776M extension atop about $452M already awarded, pushing Amentum's work above $1.2B.","C4_DETENTION_SURGE"
"2025-07-12","Tampa Bay Times","Romy Ellenbogen","https://www.tampabay.com/news/florida-politics/2025/07/12/alligator-alcatraz-florida-immigration-detention-desantis-uthmeier-irg/","Alligator Alcatraz firm donated to Florida GOP before getting a contract","IRG Global Emergency Management;Florida Republican Party;State of Florida","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Linked IRG to a $10,000 state-party donation before its facility award.","C5_STATE_FACILITIES"
"2025-07-21","Miami Herald","Churchill Ndonwie","https://www.miamiherald.com/news/local/immigration/article311075435.html","Florida commits more than $200 million to Alligator Alcatraz contractors","Longview Solutions;Gothams;SLSCO;Garner Environmental Services;CDR Maguire;Critical Response Strategies;Doodie Calls;IRG Global Emergency Management","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Itemized more than $200M in state commitments to eight named vendors; updated 2025-07-24.","C5_STATE_FACILITIES"
"2025-10-05","Miami Herald","Churchill Ndonwie","https://www.miamiherald.com/news/local/immigration/article312370946.html","FEMA approves Florida request for up to $608 million for Alligator Alcatraz","FEMA;State of Florida;Alligator Alcatraz","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Distinguished the $608M maximum approval from final reimbursement subject to expense review.","C5_STATE_FACILITIES"
"2026-01-08","Associated Press","Mike Schneider","https://apnews.com/article/b20629fad416797eab9499af899a14d8","Officials withheld evidence on Florida's 'Alligator Alcatraz' funding, environmental groups say","State of Florida;FEMA;Alligator Alcatraz","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Public-record emails and court files showed evidence about possible reimbursement of up to $608M was withheld.","C5_STATE_FACILITIES"
"2026-06-05","Miami Herald","Claire Heddles;Churchill Ndonwie","https://www.miamiherald.com/news/politics-government/state-politics/article315981332.html","Florida's immigration detention contracts reach $1 billion","State of Florida;Doodie Calls;FEMA","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Counted 55 contracts, about $1B committed, roughly $335M paid and $220M outstanding; Doodie Calls about $219M across sites.","C5_STATE_FACILITIES"
"2026-01-08","Axios New Orleans","Chelsea Brasted","https://www.axios.com/local/new-orleans/2026/01/08/angola-prison-ice-facility-cost-immigration","What's inside Angola's ICE detention contract","State of Louisiana;ICE;LaSalle Corrections;Angola prison","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a roughly $949,000 monthly state charge subject to federal reimbursement and LaSalle's role.","C5_STATE_FACILITIES"
"2025-03-20","Project On Government Oversight","Nick Schwellenbach","https://www.pogo.org/investigates/meet-the-ice-contractor-running-deportation-flights","Meet the ICE Contractor Running Deportation Flights","CSI Aviation;ICE;GlobalX","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a no-bid roughly $128M short-term action, more than $1.6B to CSI since 2005, political ties, and carrier subcontracting.","C6_DEPORTATION_LOGISTICS"
"2025-04-01","ProPublica","McKenzie Funk;Perla Trevizo;Mica Rosenberg","https://www.propublica.org/article/inside-ice-air-deportation-flights","Inside ICE Air: Flight Attendants on Deportation Planes Say Disaster Is 'Only a Matter of Time'","ICE;GlobalX;Akima","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Seven current/former flight attendants and ICE manuals exposed safety and humanitarian risks on contracted flights.","C6_DEPORTATION_LOGISTICS"
"2025-04-11","Washington Post","Andrea Sachs","https://www.washingtonpost.com/travel/2025/04/11/avelo-airlines-ice-deportation-flights/","Avelo Airlines begins ICE deportation flights","Avelo Airlines;CSI Aviation;ICE","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported Avelo as a CSI subcontractor using three 737-800 aircraft and CSI potential work above $151M.","C6_DEPORTATION_LOGISTICS"
"2025-12-17","Washington Post","Isaac Arnsdorf","https://www.washingtonpost.com/politics/2025/12/17/dhs-contract-trump-donor/","DHS gave a massive deportation contract to a Trump donor's company","Salus Worldwide;William Walters;CSI Aviation;Daedalus Aviation;DHS","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a Salus deal near $915M, a three-day handpicked competition, about 40 pre-award emails, a CSI challenge, and a roughly $140M aircraft deal.","C6_DEPORTATION_LOGISTICS"
"2026-05-12","Bloomberg Law","Daniel Seiden","https://news.bloomberglaw.com/federal-contracting/dhs-award-stays-with-company-accused-of-lewandowski-kickbacks","DHS Award Stays With Company Accused of Lewandowski Kickbacks","Salus Worldwide;CSI Aviation;Corey Lewandowski;DHS","","UNCONFIRMED; accessed 2026-07-28 22:30 EDT — Paywalled preview says CSI lacked standing to dislodge the Salus award; full decision analysis not inspected.","C6_DEPORTATION_LOGISTICS"
"2025-04-18","WIRED","Caroline Haskins","https://www.wired.com/story/ice-palantir-immigrationos/","ICE Is Paying Palantir $30 Million to Build 'ImmigrationOS' Surveillance Platform","ICE;Palantir","ImmigrationOS","CONFIRMED; accessed 2026-07-28 22:30 EDT — Identified the $30M sole-source ImmigrationOS project, prototype timeline, and stated targeting functions.","C7_SURVEILLANCE_SKIP"
"2025-10-31","The Intercept","Sam Biddle","https://theintercept.com/2025/10/31/ice-plans-cash-rewards-for-private-bounty-hunters-to-locate-and-track-immigrants/","ICE Plans Cash Rewards for Private 'Bounty Hunters' to Locate Immigrants","ICE;private investigators","26-SOL-DCR-01","CONFIRMED via syndication; accessed 2026-07-28 22:30 EDT — Solicitation documents described case bundles, commercial-data searches, field verification, and speed incentives; direct page inaccessible.","C7_SURVEILLANCE_SKIP"
"2025-11-25","WIRED","Dell Cameron","https://www.wired.com/story/ice-bounty-hunter-spy-program/","ICE Offers Up to $280 Million to Immigrant-Tracking 'Bounty Hunter' Firms","ICE;private investigators","26-SOL-DCR-01","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported removal of a $180M cap, up to roughly $281.25M per vendor, a $7.5M minimum, and recurring case volumes.","C7_SURVEILLANCE_SKIP"
"2025-12-18","404 Media","Joseph Cox","https://www.404media.co/ice-contracts-company-making-bounty-hunter-ai-agents/","ICE Contracts Company Making 'Bounty Hunter' AI Agents","ICE;AI Solutions 87","26-SOL-DCR-01","CONFIRMED; accessed 2026-07-28 22:30 EDT — Identified AI Solutions 87, target-associate mapping software, and early federal payments.","C7_SURVEILLANCE_SKIP"
"2025-12-19","The Intercept","Sam Biddle","https://theintercept.com/2025/12/19/ice-bounty-hunters-location-surveillance-geo-group/","ICE Hires Immigrant Bounty Hunters From Private Prison Company GEO Group","ICE;B.I. Incorporated;GEO Group","26-SOL-DCR-01","CONFIRMED via syndication; accessed 2026-07-28 22:30 EDT — Reported about $1.6M paid to B.I. under the skip-tracing program and potential work around $121M; direct page inaccessible.","C7_SURVEILLANCE_SKIP"
"2025-12-23","The Intercept","Sam Biddle","https://theintercept.com/2025/12/23/ice-bounty-hunters-track-immigrant-surveillance/","10 Companies Have Already Made $1 Million as ICE Bounty Hunters. We Found Them.","ICE;B.I. Incorporated;skip-tracing vendors","26-SOL-DCR-01","CONFIRMED via syndication; accessed 2026-07-28 22:30 EDT — Identified ten early vendors, more than $1M collectively paid, and more than $1B in potential awards; direct page inaccessible.","C7_SURVEILLANCE_SKIP"
"2026-01-28","Scripps News","Patrick Terpstra","https://www.scrippsnews.com/investigations/ice-inc/small-companies-score-big-contracts-to-search-for-undocumented-immigrants","Small companies score big contracts to search for undocumented immigrants","ICE;Fraud Inc.;Gravitas;AI Solutions 87","26-SOL-DCR-01","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported thirteen firms and about $1.2B in potential work, an earlier/incomplete snapshot of the final fourteen-award portfolio.","C7_SURVEILLANCE_SKIP"
"2026-01-30","Washington Post","Eva Dou","https://www.washingtonpost.com/technology/2026/01/30/ice-capgemini-skip-tracing-contracts/","ICE launches nationwide program for covert surveillance of immigrants","ICE;Capgemini;skip-tracing vendors","26-SOL-DCR-01","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported fourteen vendors, Capgemini's $4.8M initial action and $365M ceiling, a 1.5M-person target population, photos, and incentives.","C7_SURVEILLANCE_SKIP"
"2026-02-19","WIRED","Makena Kelly","https://www.wired.com/story/department-homeland-security-ice-billion-dollar-agreement-palantir/","DHS Opens a Billion-Dollar Tab With Palantir","DHS;ICE;Palantir","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Described a proposed five-year $1B departmentwide agreement enabling component orders without a fresh full competition.","C7_SURVEILLANCE_SKIP"
"2026-05-29","The Register","Brandon Vigliarolo","https://www.theregister.com/public-sector/2026/05/29/ice-awards-bi2-25m-contract-for-1570-biometric-scanners/5248733","ICE to keep an eye on your eyes under $25M biometric scanner deal","ICE;Biometric Intelligence & Identification Technologies;IRIS","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a $25.1M noncompetitive award for 1,570 scanners and the vendor's multi-state iris database.","C7_SURVEILLANCE_SKIP"
"2026-07-17","WIRED","Caroline Haskins;Vittoria Elliott","https://www.wired.com/story/ice-unaccompanied-minors-fraud-suspects-trss-contract/","ICE Is Using Data Broker Tools to 'Identify Unaccompanied Minors' and 'Fraud'","ICE;TRSS;Thomson Reuters;CLEAR;unaccompanied minors","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported a proposed $25M-per-year, five-year renewal and described CLEAR/CABS sponsor and UAC vetting.","C7_SURVEILLANCE_SKIP"
"2026-06-05","Washington Post","Arelis R. Hernández;Andrew Ba Tran;Razzan Nakhlawi","https://www.washingtonpost.com/immigration/2026/06/05/spike-border-wall-spending-goes-mostly-2-firms-with-gop-white-house-ties/","Spike in border wall spending goes mostly to 2 firms with GOP, White House ties","Fisher Sand & Gravel;Barnard Construction;CBP;DHS","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Calculated $19.4B in six months, including about $7.8B to Fisher and $4.5B to Barnard, and documented concentration and political ties.","C8_BORDER_WALL"
"2025-04-08","ProPublica","J. David McSwane;Hannah Allam","https://www.propublica.org/article/homeland-security-crcl-civil-rights-immigration-border-patrol-trump-kristi-noem","'They Don't Care About Civil Rights': Trump's Shuttering of DHS Oversight Arm Freezes 600 Cases, Imperils Human Rights","DHS;Office for Civil Rights and Civil Liberties;Kristi Noem","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported the effective shutdown of a roughly 150-person office and approximately 600 frozen matters.","C9_GUARDRAILS_ENFORCEMENT"
"2025-05-13","Department of Justice","","https://www.justice.gov/opa/pr/praetorian-shield-and-two-individuals-agree-pay-221000-resolve-false-claims-act-allegations","Praetorian Shield and Two Individuals Agree to Pay $221,000 to Resolve False Claims Act Allegations Connected to Fraudulently Obtained Small Business Contracts and Kickbacks","Praetorian Shield;Grady Baker;Ranya Baker;Paragon Systems;DHS","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Settlement resolved allegations of small-business set-aside misuse and about $188,000 in kickbacks; no admission of liability.","C9_GUARDRAILS_ENFORCEMENT"
"2025-11-14","Department of Justice","","https://www.justice.gov/opa/pr/department-homeland-security-contractor-agrees-pay-39m-resolve-alleged-violations-false","Department of Homeland Security Contractor Agrees to Pay $3.9M to Resolve Alleged False Claims Act Violations","Zephyr Aviation LLC;Frederick Credno Jr.;Frederick Credno III;CBP","","CONFIRMED; accessed 2026-07-28 22:30 EDT — $3.901M settlement resolved allegations of inflated CBP charter-flight hours from 2022-2025; no admission of liability.","C9_GUARDRAILS_ENFORCEMENT"
"2025-12-05","Federal News Network","Terry Gerton","https://federalnewsnetwork.com/contracting/2025/12/a-protest-from-a-winner-a-recent-case-shows-why-timing-matters-when-challenging-solicitation-terms/","A protest from a winner? A recent case shows why timing matters when challenging solicitation terms","Active Deployment Systems;ICE;Court of Federal Claims","","CONFIRMED; accessed 2026-07-28 22:30 EDT — A winning detention-IDIQ vendor unsuccessfully challenged ICE for awarding too many contracts; relevant precedent but not an SVI case.","C9_GUARDRAILS_ENFORCEMENT"
"2025-12-19","Federal News Network","Jason Miller","https://federalnewsnetwork.com/contracting/2025/12/losers-pay-rules-coming-despite-declining-bid-protests/","'Loser's pay' rules coming despite declining bid protests","GAO;federal contractors","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported 1,688 government-wide protests in FY2025, down about 6%; not DHS-specific.","C9_GUARDRAILS_ENFORCEMENT"
"2026-03-08","The Guardian","José Olivares","https://www.theguardian.com/us-news/2026/mar/08/dhs-oversight-court-record-review","Court records reveal gutting of DHS oversight: 'Incredibly dangerous'","DHS;Office of the Immigration Detention Ombudsman;Office for Civil Rights and Civil Liberties","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Court records showed OIDO completed five reviews versus 118 in a comparison period and CRCL opened one death investigation.","C9_GUARDRAILS_ENFORCEMENT"
"2026-06-09","Government Accountability Office","","https://www.gao.gov/products/gao-26-108118","DHS Major Acquisitions: Improved Oversight Needed","DHS","GAO-26-108118","CONFIRMED; accessed 2026-07-28 22:30 EDT — Audit found DHS dissolved a key acquisition-oversight office in October 2025 and only partly restored capacity by May 2026.","C9_GUARDRAILS_ENFORCEMENT"
"2025-04-10","Washington Post","Marianne LeVine;Maria Sacchetti;Jeremy Roebuck;Carol D. Leonnig;Ellen Nakashima","https://www.washingtonpost.com/immigration/2025/04/10/trump-migrant-kids-welfare-checks/","FBI, other criminal investigators drafted for welfare checks on migrant children","ICE;FBI;unaccompanied migrant children","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported criminal investigators joining welfare checks and concern that safety visits were being used for enforcement.","C10_UAC_ORR_EDGE"
"2026-03-12","Project Salt Box","Em Knepp","https://www.projectsaltbox.com/p/ice-turns-to-private-industry-to","ICE Turns to Private Industry to Track Down 100,000 Unaccompanied Children","ICE;MVM;unaccompanied alien children","70CDCR26R00000015","CONFIRMED; accessed 2026-07-28 22:30 EDT — Analyzed the SVI RFP, 100,000 initial cases, 1,000-case batches, speed incentives, commercial data, and field visits; updated 2026-03-26.","C10_UAC_ORR_EDGE"
"2026-05-02","The Guardian","José Olivares","https://www.theguardian.com/us-news/2026/may/02/ice-contracter-torture-allegations-undocumented-children","'Deplorable': ICE hires firm accused of 'torture' to track down undocumented children","ICE;MVM;unaccompanied alien children","","CONFIRMED; accessed 2026-07-28 22:30 EDT — Reported an interim MVM award, eighteen offers, redacted price/case volume, and MVM's family-separation litigation.","C10_UAC_ORR_EDGE"
