Tormex/Sirena/Nomirex bank ledgers | The Proxy Platform (2011) | report-01-laundromat-canon.md
Colombian Fiscalía Microsoft Exchange corpus | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
court and company registries | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
FOI responses | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
police/customs records | NarcoFiles: The New Criminal Order (2023) | report-01-laundromat-canon.md
Colombian Fiscalía seizure files | A 1,764-seizure denominator changed the maritime story (2023) | report-01-laundromat-canon.md
Colombian defense/prosecutor/navy/police FOI records | A 1,764-seizure denominator changed the maritime story (2023) | report-01-laundromat-canon.md
Belgian customs data | A 1,764-seizure denominator changed the maritime story (2023) | report-01-laundromat-canon.md
ship/operator records | A 1,764-seizure denominator changed the maritime story (2023) | report-01-laundromat-canon.md
Colombian Fiscalía controlled-delivery forms | Repeated controlled-delivery forms exposed a risky operational pattern (2023) | report-01-laundromat-canon.md
court/police outcome records | Repeated controlled-delivery forms exposed a risky operational pattern (2023) | report-01-laundromat-canon.md
Cypcodirect/MeritServus/MeritKapital/DJC provider files | Cyprus Confidential (2023) | report-01-laundromat-canon.md
Cypriot/offshore corporate registries | Cyprus Confidential (2023) | report-01-laundromat-canon.md
EU sanctions notices | Cyprus Confidential (2023) | report-01-laundromat-canon.md
market disclosures | Cyprus Confidential (2023) | report-01-laundromat-canon.md
football rules | Cyprus Confidential (2023) | report-01-laundromat-canon.md
Cypcodirect/PwC email and checklist files | PwC’s document timestamps crossed the sanctions boundary (2023) | report-01-laundromat-canon.md
EU Official Journal | PwC’s document timestamps crossed the sanctions boundary (2023) | report-01-laundromat-canon.md
TUI market disclosures | PwC’s document timestamps crossed the sanctions boundary (2023) | report-01-laundromat-canon.md
German/Cypriot authority records | PwC’s document timestamps crossed the sanctions boundary (2023) | report-01-laundromat-canon.md
MeritServus contract and loan files | Abramovich paid football costs outside Chelsea (2023) | report-01-laundromat-canon.md
company registries | Abramovich paid football costs outside Chelsea (2023) | report-01-laundromat-canon.md
football transfer/role records | Abramovich paid football costs outside Chelsea (2023) | report-01-laundromat-canon.md
UEFA Financial Fair Play rules | Abramovich paid football costs outside Chelsea (2023) | report-01-laundromat-canon.md
Dubai Land Department/utility leaks | Dubai Unlocked (2024) | report-01-laundromat-canon.md
official Dubai land registry | Dubai Unlocked (2024) | report-01-laundromat-canon.md
national corporate/property registries | Dubai Unlocked (2024) | report-01-laundromat-canon.md
sanctions/court/procurement records | Dubai Unlocked (2024) | report-01-laundromat-canon.md
Dubai 2020/2022 property snapshots | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
official Dubai land registry | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
court/charge records | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
sanctions data | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
passport/birth and corporate records | Passport-grade matching reduced Dubai false positives (2024) | report-01-laundromat-canon.md
Dubai ownership/rental records | Afghanistan contractors’ public-money trail ended in Dubai property (2024) | report-01-laundromat-canon.md
U.S. sanctions notices | Afghanistan contractors’ public-money trail ended in Dubai property (2024) | report-01-laundromat-canon.md
U.S. congressional procurement investigations | Afghanistan contractors’ public-money trail ended in Dubai property (2024) | report-01-laundromat-canon.md
UAE/Cyprus corporate and property registries | Afghanistan contractors’ public-money trail ended in Dubai property (2024) | report-01-laundromat-canon.md
Aleph Pro | Aleph corpus-plus-workflow | report-09-meta-methods.md
Aleph source scrapers | Aleph corpus-plus-workflow | report-09-meta-methods.md
FollowTheMoney | FollowTheMoney interoperability layer | report-09-meta-methods.md
alephclient | FollowTheMoney interoperability layer | report-09-meta-methods.md
memorious | FollowTheMoney interoperability layer | report-09-meta-methods.md
Aleph Pro | Aleph list cross-reference and human match review | report-09-meta-methods.md
FollowTheMoney | Aleph list cross-reference and human match review | report-09-meta-methods.md
Aleph investigation workspaces | Aleph list cross-reference and human match review | report-09-meta-methods.md
Aleph Pro access groups | Aleph access-class and provenance governance | report-09-meta-methods.md
Aleph project workspaces | Aleph access-class and provenance governance | report-09-meta-methods.md
OCCRP ID database catalogue | OCCRP ID source catalogue | report-09-meta-methods.md
OCCRP ID request service | OCCRP ID research-request desk | report-09-meta-methods.md
OCCRP ID request service | OCCRP ID ticket-to-scraper escalation | report-09-meta-methods.md
Aleph source scrapers | OCCRP ID ticket-to-scraper escalation | report-09-meta-methods.md
OCCRP member-center network | Distributed member-center acquisition network | report-09-meta-methods.md
OCCRP regional editorial desks | Distributed member-center acquisition network | report-09-meta-methods.md
OCCRP annotated fact-check packet | Annotated evidence-packet fact checking | report-09-meta-methods.md
Troika transaction database | Laundromat two-store ledger normalization | report-09-meta-methods.md
PostgreSQL | Laundromat two-store ledger normalization | report-09-meta-methods.md
Aleph document store | Laundromat two-store ledger normalization | report-09-meta-methods.md
Azerbaijani Laundromat payment database | Laundromat two-store ledger normalization | report-09-meta-methods.md
Credit Suisse account index | Suisse Secrets sparse-index enrichment | report-09-meta-methods.md
Aleph Pro | Suisse Secrets sparse-index enrichment | report-09-meta-methods.md
sanctions/PEP lists | Suisse Secrets sparse-index enrichment | report-09-meta-methods.md
corporate registries | Suisse Secrets sparse-index enrichment | report-09-meta-methods.md
Colombian Fiscalía Microsoft Exchange corpus | NarcoFiles multi-level corpus authentication | report-09-meta-methods.md
court/company registries | NarcoFiles multi-level corpus authentication | report-09-meta-methods.md
FOI and police/customs records | NarcoFiles multi-level corpus authentication | report-09-meta-methods.md
hashdeep | Depth-first forensic archive triage | report-09-meta-methods.md
Cellebrite | Depth-first forensic archive triage | report-09-meta-methods.md
EnCase | Depth-first forensic archive triage | report-09-meta-methods.md
Aleph | Depth-first forensic archive triage | report-09-meta-methods.md
Synonames | Synonames multilingual name matching | report-09-meta-methods.md
Wikipedia | Synonames multilingual name matching | report-09-meta-methods.md
Wikidata | Synonames multilingual name matching | report-09-meta-methods.md
Elasticsearch | Synonames multilingual name matching | report-09-meta-methods.md
Dubai property/utility datasets | Dubai property merge and title verification | report-09-meta-methods.md
Datasette | Dubai property merge and title verification | report-09-meta-methods.md
official Dubai land registry | Dubai property merge and title verification | report-09-meta-methods.md
UK Register of Overseas Entities | Overseas Entities register to UK property join | report-09-meta-methods.md
UK Land Registry | Overseas Entities register to UK property join | report-09-meta-methods.md
Aleph Pro | Overseas Entities register to UK property join | report-09-meta-methods.md
OCCRP Unreported | Unreported methods publication channel | report-09-meta-methods.md
hash manifests | Six-level leak authentication doctrine | report-09-meta-methods.md
email metadata/headers | Six-level leak authentication doctrine | report-09-meta-methods.md
official case and registry systems | Six-level leak authentication doctrine | report-09-meta-methods.md
OCCRP annotated fact-check packet | Independent fact-checking provenance audit | report-09-meta-methods.md
subject-response log | Right-of-reply publication gate | report-09-meta-methods.md
Reporters Shield | Reporters Shield and hostile-jurisdiction review | report-09-meta-methods.md
OCCRP corrections intake | OCCRP corrections process | report-09-meta-methods.md
Aleph | Aleph/FtM open-source ecosystem | report-09-meta-methods.md
FollowTheMoney | Aleph/FtM open-source ecosystem | report-09-meta-methods.md
alephclient | Aleph/FtM open-source ecosystem | report-09-meta-methods.md
memorious | Aleph/FtM open-source ecosystem | report-09-meta-methods.md
ingest-file | Aleph/FtM open-source ecosystem | report-09-meta-methods.md
datasurvey | OCCRP reporter/data utility set | report-09-meta-methods.md
cronosparser | OCCRP reporter/data utility set | report-09-meta-methods.md
airtraffic | OCCRP reporter/data utility set | report-09-meta-methods.md
clcnn-classifier | OCCRP reporter/data utility set | report-09-meta-methods.md
COVID-19-spending-2020 | OCCRP reporter/data utility set | report-09-meta-methods.md
id-frontend | OCCRP reporter/data utility set | report-09-meta-methods.md
Visual Investigative Scenarios (historical) | VIS typed investigative visual grammar | report-09-meta-methods.md
Aleph network diagrams | VIS typed investigative visual grammar | report-09-meta-methods.md
Russian Asset Tracker | Russian Asset Tracker documentary inclusion rule | report-09-meta-methods.md
land/company/asset registries | Russian Asset Tracker documentary inclusion rule | report-09-meta-methods.md
ICIJ leak corpora | Russian Asset Tracker documentary inclusion rule | report-09-meta-methods.md
OCCRP donor disclosures | Funding provenance and firewall control | report-09-meta-methods.md
OCCRP annual reports and tax statements | Funding provenance and firewall control | report-09-meta-methods.md
Corporate registry records | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
Land records and official decrees | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
GetContact | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
TikTok | All the President’s Men: State Projects Handed to Apparent Proxies in Kyrgyzstan (2024) | report-11-state-capture.md
Company histories | How to Build a Customs Empire (2020) | report-11-state-capture.md
Land and license records | How to Build a Customs Empire (2020) | report-11-state-capture.md
Saimaiti archive | How to Build a Customs Empire (2020) | report-11-state-capture.md
Asset and income declarations | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
Property records | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
Leaked Dubai property data | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
Instagram | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
Facebook | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
Odnoklassniki | The ‘Beautiful’ Life of a Kyrgyz Customs Official (2020) | report-11-state-capture.md
Trillian server | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
Corporate records | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
Procurement law and tender notices | Money for Nothing: South Africa Paid a Firm Millions for Pretending to Manage Its Properties (2020) | report-11-state-capture.md
Saimaiti archive | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
Corporate registries | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
Official records | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
Property data | The 700-Million-Dollar Man (2019) | report-11-state-capture.md
Land/deed and permitting records | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
Corporate filings and financial statements | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
Dubai property database | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
UK Companies House | A Real Estate Empire Built on Dark Money (2019) | report-11-state-capture.md
Audited bank financial statements | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
Holding-company and corporate records | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
Address co-registration | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
Central Bank of Azerbaijan data | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
ICIJ offshore-company reporting | Azerbaijani First Family Big on Banking (2015) | report-11-state-capture.md
Mossack Fonseca / Panama Papers | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
Government and parliamentary records | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
Financial statements and audit records | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
Labor/court and ministry records | Aliyevs’ Secret Mining Empire (2016) | report-11-state-capture.md
Bank annual reports and independent audits | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
Holding-company records | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
Central-bank and executive records | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
SOCAR financial statements | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
Reporter calculations | Azerbaijani Insiders Benefited from Currency Collapse (2016) | report-11-state-capture.md
central-bank examination reports | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
Internal bank records | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
Corporate and offshore records | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
Land, mortgage, auction, tender, and bailout records | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
Court and law-enforcement records | Montenegro: Buying up Paradise (Part 2) (2014) | report-11-state-capture.md
central-bank examination reports | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
Corporate registries | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
Court, prosecution, and trial records | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
Land and mortgage records | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
Financial statements | Montenegro: Prime Minister’s Family Bank Catered to Organized Crime (2014) | report-11-state-capture.md
government sanctions/designation lists | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
Land/title records | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
aircraft registries | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
Equestrian competition and ownership records | Newfound Assets of Russian Billionaire Besties: London Flats and Show Horses (2022) | report-13-asset-tracing.md
Leaked email metadata | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
Corporate registries and company accounts | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
aircraft registries | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
AIS vessel tracking | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
U.S. Treasury designations | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
MarineTraffic / AIS | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
Flightradar | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
vessel registries | Mysterious Group of Companies Tied to Bank Rossiya Unites Billions in Assets Connected to Vladimir Putin (2022) | report-13-asset-tracing.md
Cyprus beneficial-ownership register | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
Cyprus and Austrian corporate filings/accounts | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
Austrian land and business records | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
Sanctions lists and press reporting | Sanctioned VTB Bank and Putin Ally Andrei Kostin Behind Luxury Austrian Hotel (2022) | report-13-asset-tracing.md
Dubai Land Department records | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
official Dubai land registry | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
Sanctions, court, government, and corporate records | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
Other leaked datasets | What Is “Dubai Unlocked”? Everything You Need to Know (2024) | report-13-asset-tracing.md
Dubai property leaks | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
Dubai official property checks | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
U.S. Treasury sanctions and U.S. procurement/court records | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
Rental agreements | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
German land/company records and valuation work | Destination Dubai: As the U.S. Was Rebuilding Afghanistan, Contractors Snapped Up Properties in the UAE (2024) | report-13-asset-tracing.md
Evocorp emails and files | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
Leaked Central Bank document | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
Company and land registries | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
Sanctions lists and bank actions | Leaked Emails Reveal How Putin's Friends Dodged Sanctions With Help of Western Enablers (2023) | report-13-asset-tracing.md
Evocorp emails, invoices, and drafts | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
Cyprus company accounts | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
Spanish land registry | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
Sanctions records | Russian Oligarch Boris Rotenberg Spent Years Trying to Hide His Spanish Villa. The Authorities Froze It Anyway (2023) | report-13-asset-tracing.md
Confidential bank statements and transfer records | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
Contracts, government correspondence, internal reports, and Jammeh directives | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
Corporate and trade records | How Yahya Jammeh Stole a Country (2019) | report-13-asset-tracing.md
GNPC bank statements | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
Presidential directives, correspondence, and internal reports | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
GNPC mandate and governance records | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
Corporate records | The State Company That Fell Prey to the President (2019) | report-13-asset-tracing.md
Leaked Dubai property/residency data | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
OPL 245 payment authorizations, bank-flow records, and court/investigative documents | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
FBI financial analysis | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
AIS vessel tracking | Nigerian Oil and Dubai Land (2018) | report-13-asset-tracing.md
Recovered Tantalit/Mezhyhirya files | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
State architecture, permit, land, and technical-inventory records | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
Corporate and employment records | Yanukovych's Real Estate (2014) | report-13-asset-tracing.md
Legal-market matrix | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
Customs/trade ledgers | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
Seizure microdata | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
Corporate and litigation records | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
Mossack Fonseca / Panama Papers | Illegal Chinese Cigarettes Flooding Latin America Flow Through Panama (2021) | report-14-illicit-trade.md
Criminal case file | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
Factory trade/customs ledger | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
Corporate/physical-presence checks | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
Illicit-market benchmarks | A Fake Shipping Container Leads to Chinese Cigarettes — and Italy's Camorra Crime Group (2021) | report-14-illicit-trade.md
Romanian export ledger | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
Ukrainian court and investigation records | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
Registry/licensing records | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
Customs/seizure and pack evidence | Huge Quantities of Chinese Cigarettes Smuggled Into Ukraine (2021) | report-14-illicit-trade.md
national/EU arms-export registers | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
UN Comtrade | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
Flight and shipping records | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
Battlefield imagery | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
