candidate_id,source_id,source_url,source_sha256,archive_date,page_start,page_end,item_number,item_text,date,document_vote_date,license_number,license_num,normalized_license_num,outcome,disposition,outcome_text,board_granted_application,decision_bearing,completed_sale_verified,ambiguity_notes,review_status,event_id,event_type,event_subtype,actions,entity_name,entity_dba,license_scope,parties_before,parties_after,equity_change_completion_verified,entity_conversion_explicit,entity_before,entity_after,ownership_subject_entity,ownership_subject_scope,parties,entity_change_source_quote
BLB-2021-04-08-v1-c011,BLB-2021-04-08-v1,https://www.boston.gov/sites/default/files/file/2021/04/Board%20Voting%20Agenda%204.8.21_0.pdf,133830192dfae30ffbcd6c81c98275f63ec1bbe24e6995c177104f3f0863a5cf,2021-04-08,3,3,10,"10. AOB CORP.
D/B/A: L STREET DINER & PIZZERIA
   108 L ST
   SOUTH BOSTON, MA 02127
   License #: LB-99537
   Holder of a Common Victualler 7 Day Wines & Malt Beverages License has petitioned
for a change of Officers/Directors of
   the Corporation. Secondly, has petitioned for a change of Stock Interest. Lastly, has
petitioned to change the manager of
   the licensed business – From: Arjan Hysenaj To: Hani Yousef.
   Attorney: Thomas T. Truax
GRANTED",2021-04-08,2021-04-08,LB-99537,LB99537,LB99537,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-04-08-v1-c011-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]",AOB CORP.,L STREET DINER & PIZZERIA,explicit_alcohol,[],[],False,False,,,AOB CORP.,licensee_entity,"{""licensee"": ""AOB CORP.""}",
BLB-2021-04-08-v1-c012,BLB-2021-04-08-v1,https://www.boston.gov/sites/default/files/file/2021/04/Board%20Voting%20Agenda%204.8.21_0.pdf,133830192dfae30ffbcd6c81c98275f63ec1bbe24e6995c177104f3f0863a5cf,2021-04-08,3,3,11,"11. THAILAND INTERNATIONAL CORPORATION
D/B/A: HOUSE OF SIAM
   542 COLUMBUS AVE
   ROXBURY, MA 02118
   License #: LB-99575
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
for a change of Officers/Directors of
   the Corporation. Secondly, has petitioned for a change of Stock/Ownership Interest.
Lastly, has petitioned to change the
   manager of the licensed business – From: James Rodgers To: Patchara Srisuk.
   Attorney: Khuong Nguyen
GRANTED",2021-04-08,2021-04-08,LB-99575,LB99575,LB99575,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-04-08-v1-c012-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change""]",THAILAND INTERNATIONAL CORPORATION,HOUSE OF SIAM,explicit_alcohol,[],[],False,False,,,THAILAND INTERNATIONAL CORPORATION,licensee_entity,"{""licensee"": ""THAILAND INTERNATIONAL CORPORATION""}",
BLB-2021-05-27-c016,BLB-2021-05-27,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%205.27.21.pdf,077b65ad5cfec445fd4b236782f5069cd451c2e334eeb76b376c45d9cb6a8b37,2021-05-27,4,4,6,"6. MASS BAY BREWING COMPANY, INC.
    D/B/A: HARPOON BREWERY
       306 NORTHERN AVE
       BOSTON, MA 02210
       License #: LB-99689
       Holder of a Farmer Winery Pouring License has petitioned for a change of
    Officers/Directors. Lastly has petitioned for a change/transfer of stock interest.
   GRANTED",2021-05-27,2021-05-27,LB-99689,LB99689,LB99689,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-05-27-c016-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]","MASS BAY BREWING COMPANY, INC.",HARPOON BREWERY,explicit_alcohol,[],[],False,False,,,"MASS BAY BREWING COMPANY, INC.",licensee_entity,"{""licensee"": ""MASS BAY BREWING COMPANY, INC.""}",
BLB-2021-05-27-c017,BLB-2021-05-27,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%205.27.21.pdf,077b65ad5cfec445fd4b236782f5069cd451c2e334eeb76b376c45d9cb6a8b37,2021-05-27,4,4,7,"7. BLACK OWL, LLC
    D/B/A: BLACK OWL
       1 SIXTH ST
       CHARLESTOWN, MA 02129
       License #: LB-99584
       Holder of a Common Victualler 7 Day Wines and Malt Beverages License has
    petitioned to change the classification of it's license to Wines Malt Beverages and
    Liqueurs pursuant to the authority contained in Chapter 481 of the Acts of 1994.
    Secondly, has petitioned to change the d/b/a of the licensed business – From: Black Owl
    To: Dovetail. Thirdly, has petitioned to change the Officers/Directors. Lastly has
    petitioned for a change of Officers/Directors and Ownership Interest.
       Attorney: Carolyn M. Conway
   GRANTED",2021-05-27,2021-05-27,LB-99584,LB99584,LB99584,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-05-27-c017-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change""]","BLACK OWL, LLC",BLACK OWL,explicit_alcohol,[],[],False,False,,,"BLACK OWL, LLC",licensee_entity,"{""licensee"": ""BLACK OWL, LLC""}",
BLB-2021-05-27-c019,BLB-2021-05-27,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%205.27.21.pdf,077b65ad5cfec445fd4b236782f5069cd451c2e334eeb76b376c45d9cb6a8b37,2021-05-27,4,5,9,"9. WAGAMAMA BOSTON ONE, LLC
    D/B/A: WAGAMAMA
       100 NORTHERN AVE
       BOSTON, MA 02210
       License #: LB-101577
       Holder of a General On Premises All Alcoholic Beverages License has petitioned to
    change the manager of the licensed business - From: Daniel Drugge To: John Michael
    Cormier, Jr. Secondly, has petitioned for a change of LLC Manager. Lastly, has

    petitioned for a change in Beneficial Interest.
      Attorney: Dennis Quilty
   GRANTED",2021-05-27,2021-05-27,LB-101577,LB101577,LB101577,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-05-27-c019-ownership,ownership_interest,ownership_application_disposition,"[""beneficial_interest_change""]","WAGAMAMA BOSTON ONE, LLC",WAGAMAMA,explicit_alcohol,[],[],False,False,,,"WAGAMAMA BOSTON ONE, LLC",licensee_entity,"{""licensee"": ""WAGAMAMA BOSTON ONE, LLC""}",
BLB-2021-05-27-c020,BLB-2021-05-27,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%205.27.21.pdf,077b65ad5cfec445fd4b236782f5069cd451c2e334eeb76b376c45d9cb6a8b37,2021-05-27,5,5,10,"10. WAGAMAMA BOSTON ONE, LLC
    D/B/A: WAGAMAMA
      200-299 FANEUIL HALL MARKETPLACE
      BOSTON, MA 02109
      License #: LB-99810
      Holder of a Common Victualler 7 Day Wines and Malt Beverages w/ Liqueurs License
    has petitioned to change the
      manager of the licensed business - From: Adam Wilis To: Hector Tovar. Secondly, has
    petitioned for a change of LLC
      Manager. Lastly, has petitioned for a change of Beneficial Interest.
      Attorney: Dennis A.Quilty
   GRANTED",2021-05-27,2021-05-27,LB-99810,LB99810,LB99810,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-05-27-c020-ownership,ownership_interest,ownership_application_disposition,"[""beneficial_interest_change""]","WAGAMAMA BOSTON ONE, LLC",WAGAMAMA,explicit_alcohol,[],[],False,False,,,"WAGAMAMA BOSTON ONE, LLC",licensee_entity,"{""licensee"": ""WAGAMAMA BOSTON ONE, LLC""}",
BLB-2021-05-27-c021,BLB-2021-05-27,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%205.27.21.pdf,077b65ad5cfec445fd4b236782f5069cd451c2e334eeb76b376c45d9cb6a8b37,2021-05-27,5,5,11,"11. WAGAMAMA BOSTON ONE, LLC
    D/B/A: WAGAMAMA
      800 BOYLSTON ST
      BOSTON, MA 02199
      License #: LB-99809
      Holder of a Common Victualler 7 Day Wines and Malt Beverages w/ Liqueurs License
    has petitioned for a change of LLC Manager. Lastly, has petitioned for a change of
    Beneficial Interest.
      Attorney: Dennis A. Quilty
   GRANTED",2021-05-27,2021-05-27,LB-99809,LB99809,LB99809,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-05-27-c021-ownership,ownership_interest,ownership_application_disposition,"[""beneficial_interest_change""]","WAGAMAMA BOSTON ONE, LLC",WAGAMAMA,explicit_alcohol,[],[],False,False,,,"WAGAMAMA BOSTON ONE, LLC",licensee_entity,"{""licensee"": ""WAGAMAMA BOSTON ONE, LLC""}",
BLB-2021-06-03-c007,BLB-2021-06-03,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%206.3.2021.pdf,a57d78c4c56bdc20f9843de2c5b90e1ce364cc481bba4598ff340116671f2c4c,2021-06-03,2,3,7,"7. Cusiniers, Inc.
      Doing business as: MASA RESTAURANT
         439 Tremont St., Boston, MA 02116
         License #: LB 99116
         Holder of a Common Victualler 7 Day All-Alcoholic Beverages License has petitioned
      for a change of Officers/Directors and
         New Stockholders. Secondly has petitioned for a change of Stock/Ownership Interest.
      Lastly has petitioned to change the
         Manager of the licensed business – From: Phillip Aviles To: Michael Aviles .
         Attorney: Mark A. Evlogiadis, Esq.

GRANTED",2021-06-03,2021-06-03,LB-99116,LB99116,LB99116,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-06-03-c007-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change"", ""stock_interest_change"", ""new_stockholders""]","Cusiniers, Inc.",MASA RESTAURANT,explicit_alcohol,[],[],False,False,,,"Cusiniers, Inc.",licensee_entity,"{""licensee"": ""Cusiniers, Inc.""}",
BLB-2021-06-24-c007,BLB-2021-06-24,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%206.24.21.pdf,2d32475c915b749e151decd4dc1d9c8e8c84eccb1b42b57826e24bb3ffb99383,2021-06-24,2,2,7,"7. Bennington1004 LLC
    Doing business as: Renegades Pub
    1004 Bennington St., Boston, MA 02128
    License #: LB-202196
    Holder of a Neighborhood Restricted Common Victualler 7 Day All Alcoholic Beverages
    License has petitioned for a change of Ownership Interest .
    Secondly, has petitioned to change the manager of the licensed business – From: Peter
    Ackerman To: Katie Daly.
    Attorney: Kristen Scanlon
   GRANTED",2021-06-24,2021-06-24,LB-202196,LB202196,LB202196,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-06-24-c007-ownership,ownership_interest,ownership_application_disposition,"[""ownership_interest_change""]",Bennington1004 LLC,Renegades Pub,explicit_alcohol,[],[],False,False,,,Bennington1004 LLC,licensee_entity,"{""licensee"": ""Bennington1004 LLC""}",
BLB-2021-06-24-c009,BLB-2021-06-24,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%206.24.21.pdf,2d32475c915b749e151decd4dc1d9c8e8c84eccb1b42b57826e24bb3ffb99383,2021-06-24,3,3,9,"9. South End Partners, Inc.
    Doing business as: SRV RESTAURANT
    569 - 575 Columbus Ave., Roxbury, MA 02118
    License #: LB-139452
    Holder of a (Restricted) Common Victualler 7 Day All-Alcoholic Beverages License has
    petitioned for Change of Stock Interest. Lastly, has petitioned for a change of
    Officers/Directors.
    Attorney: Marshall F. Newman
    GRANTED",2021-06-24,2021-06-24,LB-139452,LB139452,LB139452,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-06-24-c009-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]","South End Partners, Inc.",SRV RESTAURANT,explicit_alcohol,[],[],False,False,,,"South End Partners, Inc.",licensee_entity,"{""licensee"": ""South End Partners, Inc.""}",
BLB-2021-06-24-c023,BLB-2021-06-24,https://www.boston.gov/sites/default/files/file/2021/06/Board%20Voting%20Agenda%206.24.21.pdf,2d32475c915b749e151decd4dc1d9c8e8c84eccb1b42b57826e24bb3ffb99383,2021-06-24,6,6,1,"1. Cafe Services, Inc. d/b/a Courtyard Café, 77 Warren Street, Brighton, MA
                02135 has petitioned to transfer the stock of the corporation.

                GRANTED",2021-06-24,2021-06-24,,,,granted,granted,GRANTED,True,True,False,"[""Board approval alone does not establish a completed equity transaction, current ownership/control, or private-equity sponsorship."", ""No shareholder/beneficial-owner names or ownership percentages are stated for this action; manager names are not substituted.""]",reviewed_against_full_candidate_and_source_context,BLB-2021-06-24-c023-ownership,ownership_interest,ownership_application_disposition,"[""stock_interest_change""]","Cafe Services, Inc.","Courtyard Café,",common_victualler_no_alcohol_stated,[],[],False,False,,,"Cafe Services, Inc.",licensee_entity,"{""licensee"": ""Cafe Services, Inc.""}",
