candidate_id,source_id,source_url,source_sha256,archive_date,page_start,page_end,item_number,item_text,date,document_vote_date,license_number,license_num,normalized_license_num,outcome,disposition,outcome_text,board_granted_application,decision_bearing,completed_sale_verified,ambiguity_notes,review_status,event_id,event_type,action_subtype,transferor,transferor_dba,transferee,transferee_dba,from_address,to_address,pledge_recipient,parties,licensee,licensee_dba,collateral_as_stated
BLB-2021-02-25-c018,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,5,5,11,"11. Wilson De Oliveira Silva
D/B/A: Silva's Brazilian Market
   168 BELGRADE AVE
   ROSLINDALE, MA 02131
   License #: LB-130749
   Holder of a Retail Package Store Malt and Wines License has petitioned to transfer the
license from the above – To: Boston Dominican, Inc. d/b/a Punta Cana Beer & Wine
Market (same location). Lorenzo Mercado, Manager. Closing hour 11:00 PM.
   Attorney: John P. Connell

GRANTED",2021-02-25,2021-02-25,LB-130749,LB130749,LB130749,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c018-transfer,license_transfer,transfer_application_disposition,Wilson De Oliveira Silva,Silva's Brazilian Market,"Boston Dominican, Inc.",Punta Cana Beer & Wine Market,"168 BELGRADE AVE ROSLINDALE, MA 02131","168 BELGRADE AVE ROSLINDALE, MA 02131",,"{""transferor"": ""Wilson De Oliveira Silva"", ""transferee"": ""Boston Dominican, Inc.""}",,,
BLB-2021-02-25-c019,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,6,6,12,"12. BFAM, INC.
D/B/A: LA LA ROKH
   97 MOUNT VERNON ST
   BOSTON, MA 02108
   License #: LB-99439
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: 1928 Beacon Hill LLC d/b/a 1928 Beacon
Hill (same location). Kristin Jenkins, Manager. Closing hour 11:00 PM. Lastly, has
petitioned to pledge the license to BFAM, Inc.

GRANTED",2021-02-25,2021-02-25,LB-99439,LB99439,LB99439,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c019-transfer,license_transfer,transfer_application_disposition,"BFAM, INC.",LA LA ROKH,1928 Beacon Hill LLC,1928 Beacon Hill,"97 MOUNT VERNON ST BOSTON, MA 02108","97 MOUNT VERNON ST BOSTON, MA 02108",,"{""transferor"": ""BFAM, INC."", ""transferee"": ""1928 Beacon Hill LLC""}",,,
BLB-2021-02-25-c019,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,6,6,12,"12. BFAM, INC.
D/B/A: LA LA ROKH
   97 MOUNT VERNON ST
   BOSTON, MA 02108
   License #: LB-99439
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: 1928 Beacon Hill LLC d/b/a 1928 Beacon
Hill (same location). Kristin Jenkins, Manager. Closing hour 11:00 PM. Lastly, has
petitioned to pledge the license to BFAM, Inc.

GRANTED",2021-02-25,2021-02-25,LB-99439,LB99439,LB99439,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c019-pledge,license_pledge,pledge_application_disposition,,,,,"97 MOUNT VERNON ST BOSTON, MA 02108",,"BFAM, Inc","{""licensee"": ""1928 Beacon Hill LLC"", ""pledge_recipient"": ""BFAM, Inc""}",1928 Beacon Hill LLC,1928 Beacon Hill,"[""license""]"
BLB-2021-02-25-c020,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,6,6,13,"13. EGLESTON LIQUORS, INC.
D/B/A: M & M LIQUORS
   3086 WASHINGTON ST
   ROXBURY, MA 02119
   License #: LB-101932
   Holder of a Retail Package Store All Alcoholic Beverages License has petitioned to
transfer the license from the above - To: Castillo Egleston Liquors, LLC. ( same
location). Carlos Castillo, Manager. Closing hour at 11:00 PM.
   Attorney: Shabnam Masasarmi

DEFERRED PENDING COMMUNITY PROCESS",2021-02-25,2021-02-25,LB-101932,LB101932,LB101932,deferred,deferred,DEFERRED PENDING COMMUNITY PROCESS,False,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c020-transfer,license_transfer,transfer_application_disposition,"EGLESTON LIQUORS, INC.",M & M LIQUORS,"Castillo Egleston Liquors, LLC.",,"3086 WASHINGTON ST ROXBURY, MA 02119","3086 WASHINGTON ST ROXBURY, MA 02119",,"{""transferor"": ""EGLESTON LIQUORS, INC."", ""transferee"": ""Castillo Egleston Liquors, LLC.""}",,,
BLB-2021-02-25-c021,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,6,6,14,"14. MAX BRENNER BOYLSTON, INC.
D/B/A: MAX BRENNER, CHOCOLATE BY THE BALD MAN
   745 BOYLSTON ST
   BOSTON, MA 02116
   License #: LB-99102
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: Upland Restaurant, LLC (same location).
Bernard K. Chiu, Manager. 11:00 PM closing hour.
   Attorney: Dennis A. Quilty

GRANTED",2021-02-25,2021-02-25,LB-99102,LB99102,LB99102,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c021-transfer,license_transfer,transfer_application_disposition,"MAX BRENNER BOYLSTON, INC.","MAX BRENNER, CHOCOLATE BY THE BALD MAN","Upland Restaurant, LLC",,"745 BOYLSTON ST BOSTON, MA 02116","745 BOYLSTON ST BOSTON, MA 02116",,"{""transferor"": ""MAX BRENNER BOYLSTON, INC."", ""transferee"": ""Upland Restaurant, LLC""}",,,
BLB-2021-02-25-c022,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,6,6,15,"15. HSB, LLC.
D/B/A: ISLAND CREEK OYSTER BAR
   498 COMMONWEALTH AVE
   BOSTON, MA 02215
   License #: LB-99019
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: UMNVAG Kenmore, LLC. (same location).
Michael Jammen, Manager. Closing hour 2:00 AM.
   Attorney: Dennis A. Quilty
GRANTED",2021-02-25,2021-02-25,LB-99019,LB99019,LB99019,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c022-transfer,license_transfer,transfer_application_disposition,"HSB, LLC.",ISLAND CREEK OYSTER BAR,"UMNVAG Kenmore, LLC.",,"498 COMMONWEALTH AVE BOSTON, MA 02215","498 COMMONWEALTH AVE BOSTON, MA 02215",,"{""transferor"": ""HSB, LLC."", ""transferee"": ""UMNVAG Kenmore, LLC.""}",,,
BLB-2021-02-25-c023,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,7,7,16,"16. ESHL, LLC.
D/B/A: EASTERN STANDARD
   528 COMMONWEALTH AVE
   BOSTON, MA 02115
   License #: LB-99215
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: UMNVAG Kenmore, LLC. (same location).
Michael Jammen, Manager. Closing hour 2:00 AM.
   Attorney: Dennis A. Quilty

GRANTED",2021-02-25,2021-02-25,LB-99215,LB99215,LB99215,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c023-transfer,license_transfer,transfer_application_disposition,"ESHL, LLC.",EASTERN STANDARD,"UMNVAG Kenmore, LLC.",,"528 COMMONWEALTH AVE BOSTON, MA 02115","528 COMMONWEALTH AVE BOSTON, MA 02115",,"{""transferor"": ""ESHL, LLC."", ""transferee"": ""UMNVAG Kenmore, LLC.""}",,,
BLB-2021-02-25-c024,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,7,7,17,"17. 25 CHARLES ON THE HILL LLC
D/B/A:
   25-29 CHARLES STREET
   BOSTON, MA 02114
   License #: LB-101659
   Holder of an Innholder All Alcoholic Beverages License has petitioned to transfer the
license from the above – To: Minot Hospitality Group LLC. d/b/a Minot Hospitality
Group (same location). Michael Giammanco, Manager.1:00 AM Closing Hour. Lastly,
has petitioned to Pledge the License to 25 Charles Street Property Company, LLC.
   Attorney: Dennis A. Quilty

GRANTED",2021-02-25,2021-02-25,LB-101659,LB101659,LB101659,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c024-transfer,license_transfer,transfer_application_disposition,25 CHARLES ON THE HILL LLC,,Minot Hospitality Group LLC.,Minot Hospitality Group,"25-29 CHARLES STREET BOSTON, MA 02114","25-29 CHARLES STREET BOSTON, MA 02114",,"{""transferor"": ""25 CHARLES ON THE HILL LLC"", ""transferee"": ""Minot Hospitality Group LLC.""}",,,
BLB-2021-02-25-c024,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,7,7,17,"17. 25 CHARLES ON THE HILL LLC
D/B/A:
   25-29 CHARLES STREET
   BOSTON, MA 02114
   License #: LB-101659
   Holder of an Innholder All Alcoholic Beverages License has petitioned to transfer the
license from the above – To: Minot Hospitality Group LLC. d/b/a Minot Hospitality
Group (same location). Michael Giammanco, Manager.1:00 AM Closing Hour. Lastly,
has petitioned to Pledge the License to 25 Charles Street Property Company, LLC.
   Attorney: Dennis A. Quilty

GRANTED",2021-02-25,2021-02-25,LB-101659,LB101659,LB101659,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c024-pledge,license_pledge,pledge_application_disposition,,,,,"25-29 CHARLES STREET BOSTON, MA 02114",,"25 Charles Street Property Company, LLC","{""licensee"": ""Minot Hospitality Group LLC."", ""pledge_recipient"": ""25 Charles Street Property Company, LLC""}",Minot Hospitality Group LLC.,Minot Hospitality Group,"[""license""]"
BLB-2021-02-25-c025,BLB-2021-02-25,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%202.25.21.pdf,976218dee1acb19687b9d0e7752e7bb30b2616d22c70211b7954c1801d4f7950,2021-02-25,7,7,18,"18. BREW MOON COLORADO, INC.
D/B/A: ROCK BOTTOM RESTAURANT & BREWERY
   115 STUART ST
   BOSTON, MA 02116
   License #: LB-98961
   Holder of a Common Victualler 7 Day All Alcoholic Beverages License has petitioned
to transfer the license from the above – To: Rock Bottom Group LLC. d/b/a Rock Bottom
Restaurant & Brewery (same location). Closing hour 2:00 AM. Mark Levine, Manager.
   Attorney: Joseph H. Devlin

GRANTED",2021-02-25,2021-02-25,LB-98961,LB98961,LB98961,granted,granted,GRANTED,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-02-25-c025-transfer,license_transfer,transfer_application_disposition,"BREW MOON COLORADO, INC.",ROCK BOTTOM RESTAURANT & BREWERY,Rock Bottom Group LLC.,Rock Bottom Restaurant & Brewery,"115 STUART ST BOSTON, MA 02116","115 STUART ST BOSTON, MA 02116",,"{""transferor"": ""BREW MOON COLORADO, INC."", ""transferee"": ""Rock Bottom Group LLC.""}",,,
BLB-2021-03-04-c012,BLB-2021-03-04,https://www.boston.gov/sites/default/files/file/2021/03/Board%20Voting%20Agenda%203.4.21.pdf,8f5a7869c160824a34d811c3261a4be2ccd1b994be0e526890bbccf19dde0fd6,2021-03-04,3,3,10,"10. DELLODI, Inc.
    D/B/A: The Wild Duck Wine & Spirits
    660 WASHINGTON ST
    BOSTON, MA 02111
    License #: LB-139450
    Holder of a Retail Package Store All-Alcoholic Beverages License has petitioned to
    transfer the license from the above - To: Wildduck 660 Washington St Inc. (same
    location). Smitesh Patel, Manager. Closing hour at 11:00 PM. Lastly, has petitioned to
    pledge the license and inventory to Rockland Trust Company .
    Attorney: John Mooradian
    GRANTED - CONDITION: NO NIPS NO SINGLES",2021-03-04,2021-03-04,LB-139450,LB139450,LB139450,granted,granted,GRANTED - CONDITION: NO NIPS NO SINGLES,True,True,False,[],reviewed_against_full_candidate_and_source_context,BLB-2021-03-04-c012-transfer,license_transfer,transfer_application_disposition,"DELLODI, Inc.",The Wild Duck Wine & Spirits,Wildduck 660 Washington St Inc.,,"660 WASHINGTON ST BOSTON, MA 02111","660 WASHINGTON ST BOSTON, MA 02111",,"{""transferor"": ""DELLODI, Inc."", ""transferee"": ""Wildduck 660 Washington St Inc.""}",,,
