letter_row,letter_column,printed_name,entity_key,ohio_entity_number,canonical_name,snow_export_membership,review_status,formation_date,formation_document_id,agent_appointment_filing_id,terminal_action,terminal_document_id,terminal_effective_date,filing_history_status,batch_cover_document_id,batch_evidence_ref,batch_evidence_page,batch_membership_state,bounded_result,guardrail
6,left,Chatten Marketing Company,OH:731362,731362,CHATTEN MARKETING COMPANY,in_cohort,primary_filings_reviewed,1988-08-24,G456_0344,G456_0344,dissolved,G532_1006,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
6,right,"NELC, Inc.",OH:695020,695020,"NELC, INC.",in_cohort,primary_filings_reviewed,1987-02-18,G101_0615,G532_1156,dissolved,G532_1156,1988-12-28,articles_and_dissolution_reviewed_agent_row_packet_mismatch,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
7,left,Chestnut Heights Corporation,OH:714674,714674,CHESTNUT HEIGHTS CORPORATION,in_cohort,primary_filings_reviewed,1987-12-22,G294_1106,G294_1106,dissolved,G532_1012,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
7,right,"New Albany Properties, Inc.",OH:710695,710695,"NEW ALBANY PROPERTIES, INC.",in_cohort,primary_filings_reviewed,1987-10-16,G257_1502,G532_1150,dissolved,G532_1150,1988-12-28,articles_and_dissolution_reviewed_agent_row_packet_mismatch,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
8,left,Cristah Corporation,OH:733246,733246,CRISTAH CORPORATION,in_cohort,primary_filings_reviewed,1988-09-23,G472_1825,G472_1825,dissolved,G532_1018,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
8,right,"Northeast Franklin Company, Inc.",OH:710453,710453,"NORTHEAST FRANKLIN COMPANY, INC.",in_cohort,primary_filings_reviewed,1987-10-08,G255_1344,G532_1162,dissolved,G532_1162,1988-12-28,articles_and_dissolution_reviewed_agent_row_packet_mismatch,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
9,left,Diamond Development Company,OH:724613,724613,DIAMOND DEVELOPMENT COMPANY,in_cohort,primary_filings_reviewed,1988-05-13,G379_0205,G379_0205,dissolved,G532_1024,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
9,right,"Oakfield Enterprises, Inc.",OH:713924,713924,"OAKFIELD ENTERPRISES, INC.",in_cohort,primary_filings_reviewed,1987-12-11,G288_0306,G288_0306,dissolved,G532_1168,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
10,left,"Doncaster Development, Inc.",OH:724614,724614,"DONCASTER DEVELOPMENT, INC.",in_cohort,primary_filings_reviewed,1988-05-13,G379_0211,G379_0211,dissolved,G532_1030,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
10,right,"Petel of Columbus Co. #1, Inc.",OH:701784,701784,"PETEL OF COLUMBUS CO. #1, INC.",in_cohort,primary_filings_reviewed,1987-05-29,G162_1546,G532_1180,dissolved,G532_1180,1988-12-28,articles_and_dissolution_reviewed_agent_row_packet_mismatch,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
11,left,Fantel Products Company,OH:731363,731363,FANTEL PRODUCTS COMPANY,in_cohort,primary_filings_reviewed,1988-08-24,G456_0350,G456_0350,dissolved,G532_1036,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
11,right,"Plain Designs, Incorporated",OH:713839,713839,"PLAIN DESIGNS, INCORPORATED",in_cohort,primary_filings_reviewed,1987-12-10,G287_0729,G287_0729,dissolved,G532_1174,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
12,left,"Farmington Developers, Inc.",OH:724616,724616,"FARMINGTON DEVELOPERS, INC.",in_cohort,primary_filings_reviewed,1988-05-13,G379_0223,G379_0223,dissolved,G532_1042,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
12,right,Plateau Acres Incorporated,OH:714672,714672,PLATEAU ACRES INCORPORATED,in_cohort,primary_filings_reviewed,1987-12-22,G294_1094,G294_1094,dissolved,G532_1186,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
13,left,"Fordham Investment, Inc.",OH:719941,719941,"FORDHAM INVESTMENT, INC.",in_cohort,primary_filings_reviewed,1988-03-04,G339_1075,G339_1075,dissolved,G532_1048,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
13,right,"Redwood Stables, Inc.",OH:713842,713842,"REDWOOD STABLES, INC.",in_cohort,primary_filings_reviewed,1987-12-10,G287_0747,G287_0747,dissolved,G532_1192,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
14,left,"Forrest Farms, Inc.",OH:719946,719946,"FORREST FARMS, INC.",in_cohort,primary_filings_reviewed,1988-03-04,G339_1110,G339_1110,dissolved,G532_1060,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
14,right,Rettlin Investment Company,OH:733247,733247,RETTLIN INVESTMENT COMPANY,in_cohort,primary_filings_reviewed,1988-09-23,G472_1832,G472_1832,dissolved,G532_1198,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
15,left,"Frontier Hills, Inc.",OH:689662,689662,"FRONTIER HILLS, INC.",in_cohort,primary_filings_reviewed,1986-12-02,G043_1694,G296_1195,dissolved,G532_1066,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
15,right,"Rockford Development, Inc.",OH:719944,719944,"ROCKFORD DEVELOPMENT, INC.",in_cohort,primary_filings_reviewed,1988-03-04,G339_1096,G339_1096,dissolved,G532_1204,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
16,left,"Gahanna Trucking, Inc.",OH:689906,689906,"GAHANNA TRUCKING, INC.",in_cohort,primary_filings_reviewed,1986-12-05,G046_1764,G296_1220,dissolved,G532_1072,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
16,right,"Rockyriver Properties, Inc.",OH:712441,712441,"ROCKYRIVER PROPERTIES, INC.",in_cohort,primary_filings_reviewed,1987-12-14,G290_1454,G290_1454,dissolved,G532_1210,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
17,left,Great Eastern Fastening Corp. II,OH:705933,705933,GREAT EASTERN FASTENING CORP. II,in_cohort,primary_filings_reviewed,1987-07-30,G211_1367,G532_1078,dissolved,G532_1078,1988-12-28,articles_and_dissolution_reviewed_agent_row_packet_mismatch,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
17,right,Saren Investments Incorporated,OH:720362,720362,SAREN INVESTMENTS INCORPORATED,in_cohort,primary_filings_reviewed,1988-03-09,G343_0238,G343_0238,dissolved,G532_1216,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
18,left,"Greystone Acres, Inc.",OH:689446,689446,"GREYSTONE ACRES, INC.",in_cohort,primary_filings_reviewed,1986-11-28,G041_1688,G296_1199,dissolved,G532_1084,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
18,right,"Scripton Products, Inc.",OH:728768,728768,"SCRIPTON PRODUCTS, INC.",in_cohort,primary_filings_reviewed,1988-07-15,G423_1548,G423_1548,dissolved,G532_1228,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
19,left,"Hareck Enterprises, Inc.",OH:713840,713840,"HARECK ENTERPRISES, INC.",in_cohort,primary_filings_reviewed,1987-12-10,G287_0735,G287_0735,dissolved,G532_1090,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
19,right,Tandem Investments Incorporated,OH:720363,720363,TANDEM INVESTMENTS INCORPORATED,in_cohort,primary_filings_reviewed,1988-03-09,G343_0245,G343_0245,dissolved,G532_1222,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
20,left,Harlem Investment Corporation,OH:712106,712106,HARLEM INVESTMENT CORPORATION,in_cohort,primary_filings_reviewed,1987-12-14,G290_1430,G290_1430,dissolved,G532_1096,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
20,right,The Encee Holding Corp.,OH:693864,693864,THE ENCEE HOLDING CORP.,in_cohort,primary_filings_reviewed,1987-01-28,G087_0559,G532_1234,dissolved,G532_1234,1988-12-28,articles_and_dissolution_reviewed_agent_row_packet_mismatch,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
21,left,"Indico Investments, Inc.",OH:731365,731365,"INDICO INVESTMENTS, INC.",in_cohort,primary_filings_reviewed,1988-08-24,G456_0362,G456_0362,dissolved,G532_1102,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
21,right,"Village Acres, Inc.",OH:720365,720365,"VILLAGE ACRES, INC.",in_cohort,primary_filings_reviewed,1988-03-09,G343_0259,G343_0259,dissolved,G532_1240,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
22,left,"Ivy Hearth Properties, Inc.",OH:712170,712170,"IVY HEARTH PROPERTIES, INC.",in_cohort,primary_filings_reviewed,1987-12-14,G290_1436,G290_1436,dissolved,G532_1108,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
22,right,Wheaton Company,OH:728763,728763,WHEATON COMPANY,in_cohort,primary_filings_reviewed,1988-07-15,G423_1517,G423_1517,dissolved,G532_1246,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
23,left,Jetner Corporation,OH:731360,731360,JETNER CORPORATION,in_cohort,primary_filings_reviewed,1988-08-24,G456_0331,G456_0331,dissolved,G532_1114,1988-12-28,available_articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
23,right,"Wildwood Acres, Inc.",OH:713926,713926,"WILDWOOD ACRES, INC.",in_cohort,primary_filings_reviewed,1987-12-11,G288_0318,G288_0318,dissolved,G532_1252,1988-12-28,articles_and_dissolution_reviewed,G532_0974,OH-SOS:728764:G532_0974,7,primary_cover_letter_confirmed,Complete exact history reviewed; no Epstein or Wexner appears in the reviewed corporate packets.,"Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
