entity_name,event_date,record_type,record_id,source,role_or_transaction,people,address_or_parcel,verification_level,key_fact,caution
The New Albany Company LLC,2005-09-30,fax and valuation schedule,DOJ-OGR-00032938; DOJ-OGR-00032937,Kabasshouse / DOJ corpus,Managed and excluded property valuation sent to Epstein,Brent Bradbury; Jeffrey Epstein,New Albany property portfolio,direct_quote_primary_business_record,"Epstein received a property portfolio comparison; remaining managed-property value estimated at $98,508,332",Project labels are not full legal entity names.
"Parkview Financial, Inc.",1983-11-14,articles,F356_1315,Ohio Secretary of State,"LEWEX, INC. incorporated",Stanley Schwartz Jr.,"Columbus, OH / Ohio record 623762",primary_image_confirmed,"Original corporate name was LEWEX, INC.",No Epstein role in the articles.
"Parkview Financial, Inc.",1983-11-29,name-change amendment,F370_1761,Ohio Secretary of State,LEWEX renamed Parkview Financial,Leslie H. Wexner; Stanley Schwartz Jr.,"Columbus, OH",primary_image_confirmed,Wexner signed as president,No Epstein role in this amendment.
"Parkview Financial, Inc.",1985-11-14,agent-address change,F778_1849,Ohio Secretary of State,Agent address moved to 41 S High St,Harold Levin; Stanley Schwartz Jr.,"41 S High St, Columbus, OH",primary_image_confirmed,Harold Levin signed as vice president,Officer sequence predates Epstein's documented 1990 role.
"Parkview Financial, Inc.",1990-12-26,dissolution,H042_1308,Ohio Secretary of State,Corporation dissolved,Leslie H. Wexner; Jeffrey E. Epstein; Lu Klaiber,"c/o Wexner Investment Co., 41 S High St",primary_image_confirmed,Epstein was vice president/treasurer; Wexner was director/president; Epstein signed,Dissolution closes the entity but does not establish when Epstein was first appointed.
HHD & B LLC,1992-11-18,fiduciary deed,199211180228288,Franklin County Recorder,"JW&CPK & Co., trustee, conveyed a 30.368-acre tract and driveway easement to Epstein","Jeffrey E. Epstein; JW&CPK & Co., trustee","Current parcel 222-001350-00; predecessor parcel 222-293; 5025 Granville Road",primary_image_confirmed,"The deed face has a $3,500 conveyance-tax stamp; the separate Auditor sales record reports $3,500,000","The tax stamp is not the sale price; current parcel identity is an Auditor/title crosswalk."
HHD & B LLC,1998-05-13,general warranty deed,199805130116673,Franklin County Recorder,Epstein conveyed the same 30.368-acre tract to H.H.D.&B. LLC,Jeffrey E. Epstein; H.H.D.&B. LLC,"Parcel 222-001350 / 5025 Granville Road; tax mail P.O. Box 204, New Albany",primary_image_confirmed,"The deed states valuable consideration; its $8,000 stamp is conveyance tax and the separate Auditor sales record reports $8,000,000","The deed does not reveal LLC members or beneficial ownership after conveyance."
HHD & B LLC,2001-12-27,notice of commencement,200112270301721,Franklin County Recorder,Notice for alterations to the Rotunda House,HHD&B LLC; A. Charles Miller; Miller & Raved Inc.,30.368 acres / parcel 222-001350,primary_image_confirmed,HHD&B was the owner/part owner/lessee contracting for the improvement,"The lender field says “None” only for improvement financing; it does not establish that the parcel was mortgage-free."
Morsham Land Corp.,1988-01-06,general warranty deed,198801060052123,Franklin County Recorder,Morsham acquired 50.086 acres,Morsham Land Corp.; Leland F. Brubaker; Dorothy Snow,"USML range 17; tax statements to Dorothy Snow at 41 S. High St., Suite 2300",primary_image_confirmed,Dorothy Snow was the named Morsham tax-mailing contact,"A tax-mailing contact is not proof of ownership or beneficial control."
Morsham Land Corp.,1996-11-15,special warranty deed,199611150229244,Franklin County Recorder,Eastern Ohio Holding Company conveyed 35.686 acres to The New Albany Company Limited Partnership,Eastern Ohio Holding Company; The New Albany Company Limited Partnership,35.686 acres USML QT4 T2 R17,primary_image_confirmed,"The deed expressly identifies Eastern Ohio as successor by merger to Morsham","This is direct land-title recital evidence; the Ohio SOS merger packet separately supplies the statutory survivor fact."
Morsham Land Corp.,1997-02-18,special warranty deed,199702180037606,Franklin County Recorder,Eastern Ohio conveyed Morsham-derived acreage to The New Albany Company Limited Partnership,Eastern Ohio Holding Company; Black Sheep Inc.; The New Albany Company Limited Partnership,76.256 acres and related tract detail,primary_image_confirmed,"The deed identifies Eastern Ohio as successor by merger to Morsham","Black Sheep is named as co-grantor but has no separate execution in the reviewed pages; that discrepancy remains unresolved."
Morsham Land Corp.,1997-02-18,special warranty deed,199702180037607,Franklin County Recorder,Eastern Ohio conveyed a 34.058-acre Morsham-derived tract to The New Albany Company Limited Partnership,Eastern Ohio Holding Company; Black Sheep Inc.; The New Albany Company Limited Partnership,34.058 acres USML T2 R17,primary_image_confirmed,"The deed identifies Eastern Ohio as successor by merger to Morsham","Black Sheep's party/execution discrepancy remains unresolved."
Morsham Land Corp.,1995-12-29,merged-out status packet,5422_1216,Ohio Secretary of State,MEX certificate and later processing statement,New Albany Company; W. W. Vaughan III,"5906 E Dublin Granvle Rd., New Albany, OH 43054",primary_image_confirmed,Packet confirms Morsham's merged-out status and routes the later status document to New Albany Company,"This short packet does not name the survivor; the separate substantive packet 5422_1190 does."
"ASW Holdings, Inc.",2000-06-12,Schedule 13D/A,SEC:901359:000090951800000392,SEC EDGAR,"Epstein was president, director, and executive officer",Jeffrey E. Epstein; Abigail S. Wexner,"6525 W Campus Oval, Suite 105",primary_sec_filing_confirmed,Delaware corporation operated from New Albany and was owned by ASW Investments,Exact Ohio SOS name search returned zero; Ohio office does not imply Ohio registration.
"R.A. Property, Inc.",2004-11-19,check record,EFTA01497064,Kabasshouse / JPMorgan record,"NES, LLC paid R.A. Property, Inc. $7,173.96","NES, LLC","423 W Campus Dr, Suite 180, New Albany, OH",direct_quote_primary_business_record,"Exact company name, amount, date, and payee address",Payment purpose and property title are unverified.
New Albany Realty,2005,cash-flow report,EFTA00577400,Kabasshouse,Subsidiary funding line,The New Albany Company,,direct_quote_primary_business_record,New Albany Realty appears as a subsidiary-funding label,"Legal suffix, jurisdiction, and parcel are unknown."
L.A.W. Plantation Management Corp.,unknown,business-information reports,EFTA01387832; EFTA01480668,Kabasshouse embedded secondary records,Candidate officer listings,Jeffrey E. Epstein; Darren Indyke,6525 W Campus Oval; 8000 Walton Pkwy,secondary_aggregator_only,Provides controlled name/address variants for registry search,"Not primary proof of officer role, jurisdiction, or dates."
H.R.E.I. Trust,2003-08-29,Schedule 13D/A,SEC:901359:000090951803000656,SEC EDGAR,Ohio trust with Wexner and Epstein as trustees,Leslie H. Wexner; Jeffrey E. Epstein,"6525 W Campus Oval, Suite 105",primary_sec_filing_confirmed,Direct Ohio trust and role evidence,Not a corporation and not proof of parcel ownership.
Trust 600 / R.H.R.E.I. Trust,2005-09-07,Schedule 13D/A,SEC:901359:000090951805000716,SEC EDGAR,Ohio trusts with Financial Trust Company as trustee,"Jeffrey E. Epstein; Financial Trust Company, Inc.",8000 Walton Pkwy,primary_sec_filing_confirmed,Epstein was sole stockholder/director/president of the corporate trustee,Requires trust/UCC rather than ordinary officer-name registry search.
INN Investment Corp.,1992-06-02,domestic dissolution,H363_1780,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Jeffrey E. Epstein; Robert S. Schwartz; Dorothy Snow,"41 S High St., Suites 3710 and 2300, Columbus, OH",primary_image_confirmed,Wexner was director; Epstein was president; Schwartz was assistant secretary; Snow was statutory agent; Epstein and Schwartz signed,The unnamed sole shareholder is not identified. A no-personal-property statement is not a no-real-property statement.
"Cherry Bottom Investors, Inc.",1990-08-31,domestic merger,G946_1533,Ohio Secretary of State,Investors merged into Cherry Bottom Properties,Jeffrey E. Epstein; Stephen P. Campbell; Dorothy Snow,"41 S High St., Suite 2300, Columbus, OH",primary_image_confirmed,Epstein was Investors president and Properties vice president; Properties survived,"The filing does not name either corporation's director or shareholder, and it does not name Wexner."
"Cherry Bottom Investors, Inc.",1990-08-31,merged-out stub,G946_1539,Ohio Secretary of State,Portal-side terminal artifact for Ohio 719718,"Cherry Bottom Investors, Inc.","Roll G946, frames 1539-1541",primary_image_confirmed,The stub records MEX status but does not identify the surviving corporation,"Resolve the edge from the companion merger agreement, not from this stub alone."
"Cherry Bottom Properties, Inc.",1990-08-31,domestic merger survivor,G946_1531,Ohio Secretary of State,Survived merger of Cherry Bottom Investors,Jeffrey E. Epstein; Stephen P. Campbell; Dorothy Snow,"41 S High St., Suite 2300, Columbus, OH",primary_image_confirmed,"Agreement says all assets and property interests, including real estate title, vest in the survivor without further act or deed",Automatic succession means a county recorder may not contain an ordinary predecessor-to-survivor deed.
"Cherry Bottom Properties, Inc.",1998-12-28,domestic dissolution,199836304760,Ohio Secretary of State,Later dissolution of the 1990 survivor,Leslie H. Wexner; Darren K. Indyke; Peggy W. Ugland,"N.A. Property, 5906 E Dublin-Granville Rd.; J. Epstein & Company, 457 Madison Ave.; return to 52 E Gay St.",primary_image_confirmed,Wexner was the sole listed director and president; Indyke was secretary and signer; Ugland was statutory agent,All shareholders authorized dissolution but are unnamed. The internal processing row dated 1999-01-04 must not replace the 1998-12-28 filing date.
"Architonics, Inc.",1989-12-22,23-corporation domestic merger,G774_0107,Ohio Secretary of State,Architonics survived 23 named predecessor corporations,Richard W. Rubenstein; Dorothy Snow,"41 S High St., Columbus, OH",primary_image_confirmed,"The agreement names Architonics as survivor and transfers all predecessor assets, property interests, obligations, and real-estate title",The cohort overlap does not prove Wexner or Epstein ownership.
"West First Plaza, Inc.",1990-07-20,domestic articles,G909_1798,Ohio Secretary of State,Incorporation and original statutory-agent appointment,Richard W. Rubenstein; Dorothy Snow,"41 S High St., Columbus, OH",primary_image_confirmed,Rubenstein was incorporator and Snow accepted appointment as statutory agent,"The articles do not identify Epstein, Wexner, officers, directors, or shareholders."
"West First Plaza, Inc.",1992-12-22,domestic dissolution,H503_1258,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Jeffrey E. Epstein; George M. Pryor Jr.; Jeffrey J. Smith; Dorothy Snow,"41 S High St., Suites 3710 and 2300; New Albany Realty Corp., 5757 Johnstown Rd.",primary_image_confirmed,Wexner was director; Epstein president; Pryor vice president; Smith secretary; Snow statutory agent,The unnamed sole shareholder is not identified. A no-personal-property statement is not a no-real-property statement.
"LEWEX, Inc.",1992-12-22,domestic dissolution,H503_1252,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Jeffrey E. Epstein; Jeffrey J. Smith; Dorothy Snow,"41 S High St., Suites 3710 and 2300, Columbus, OH",primary_image_confirmed,Wexner was director and president; Epstein vice president and treasurer; Smith secretary; Snow statutory agent,"This is Ohio charter 658220, not Parkview Financial/former LEWEX charter 623762. The unnamed sole shareholder is not identified."
"Park Properties, Inc.",1992-12-22,domestic dissolution and subsequent-agent appointment,H526_0788,Ohio Secretary of State,"Dissolution certificate, affidavits, and Snow appointment acceptance",Leslie H. Wexner; Jeffrey E. Epstein; Jeffrey J. Smith; Dorothy Snow,"41 S High St., Suites 3710 and 2300, Columbus, OH",primary_image_confirmed,Wexner was sole director and president; Epstein vice president; Smith secretary; Snow statutory agent,The unnamed sole shareholder is not identified. A no-personal-property statement is not a no-real-property statement.
C-Wren Investment Corp.,1993-12-30,domestic dissolution,9420_1032,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Jeffrey E. Epstein; Jeffrey J. Smith; Dorothy Snow,"41 S High St., Suites 3710 and 2300, Columbus, OH",primary_image_confirmed,Wexner was sole director and president; Epstein vice president and treasurer; Smith secretary; Snow statutory agent,The unnamed sole shareholder is not identified. A no-personal-property statement is not a no-real-property statement.
"PFI Leasing, Inc.",1990-12-26,domestic dissolution,H043_1630,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Jeffrey E. Epstein; Jerry L. Merritt; Stephen P. Campbell; Lu Klaiber; Stanley Schwartz Jr.,"41 S High St., Suite 3710, Columbus, OH",primary_image_confirmed,Wexner was director and president; Epstein vice president and treasurer; Merritt and Campbell vice presidents; Klaiber secretary,Outside the Snow export. The unnamed sole shareholder is not identified; no leased asset is identified.
Rocky Fork Development Corporation,1992-12-29,domestic dissolution,H509_0296,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Jeffrey E. Epstein; Jeffrey J. Smith; Richard W. Rubenstein,"41 S High St., Suites 3710 and 2300, Columbus, OH",primary_image_confirmed,Wexner was sole director and president; Epstein vice president; Smith secretary; Rubenstein statutory agent,Outside the Snow export but the confirmed 1987 survivor of Snow-cohort Bearce Hollow. The unnamed sole shareholder is not identified.
City Centre Investment Corp.,1994-12-28,domestic dissolution,5024_1021,Ohio Secretary of State,"Dissolution certificate submitted by Vorys, Sater, Seymour and Pease",Leslie H. Wexner; Jeffrey Epstein; Peggy Ugland; Jeffrey J. Smith; Richard W. Rubenstein,"41 S High St., Suite 3710, Columbus, OH",primary_image_confirmed,Wexner was director; Epstein president; Ugland vice president; Smith secretary; Rubenstein statutory agent,"Portal and received stamp say December 28, while the signature page says December 29. Preserve both rather than silently harmonizing them."
Wexner Investment Company,1994-12-29,domestic dissolution,5028_0684,Ohio Secretary of State,"Terminal officer and director list submitted by Vorys, Sater, Seymour and Pease",Leslie H. Wexner; Peggy Ugland; Jeffrey J. Smith; Robert S. Schwartz,"41 S High St., Suites 3710 and 2300, Columbus, OH",primary_image_confirmed,"The reviewed dissolution lists Wexner as director, Ugland as vice president, Smith as secretary, and Schwartz as agent; it does not list Epstein","This is a bounded terminal-filing negative, not proof that Epstein never held an earlier role. The cover letter appears to contain a copied City Centre name."
"ESPER, INC.",1986-10-02,domestic articles,G011_0438,Ohio Secretary of State,Formation and original statutory-agent appointment,Richard W. Rubenstein; Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Rubenstein was incorporator and Snow accepted appointment as statutory agent,"The articles list no officers, directors, shareholders, parcels, Epstein, or Wexner."
"ESPER, INC.",1988-02-29,domestic dissolution,G343_1665,Ohio Secretary of State,Dissolution certificate and affidavits,Harold L. Levin; Stephen P. Campbell; John W. Kessler; John B. McCoy; Dorothy Snow,"41 South High St., Suites 2300 3700 and 3710; 100 E Broad St.",primary_image_confirmed,Levin was director/president/treasurer; Campbell vice president/secretary; Kessler and McCoy directors,The shareholder is unnamed; no survivor is identified; the no-personal-property affidavit does not address real estate. Two other history rows lack live images.
"Community Projects, Inc.",1991-08-13,domestic articles,H177_0680,Ohio Secretary of State,Formation and original statutory-agent appointment,Ted B. Hipsher; Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Hipsher was incorporator and Snow was original statutory agent,"The articles identify no officers, directors, shareholders, parcels, Epstein, or Wexner."
"Community Projects, Inc.",1998-09-18,New Albany partnership name consent and LLC registration context,199826701876,Ohio Secretary of State,Community Projects and N.A. Property acted as New Albany LP general partners,Leslie H. Wexner; Jeffrey Epstein,"5906 E Dublin-Granville Rd., New Albany, OH 43054",primary_image_confirmed,Wexner signed as Community Projects president and Epstein as N.A. Property president,"The page omits Community Projects' charter number; the join to Ohio 801367 is high-confidence synthesis, not a printed-charter fact."
"Community Projects, Inc.",1998-11-12,domestic dissolution,199831701001,Ohio Secretary of State,Dissolution certificate and affidavits,Leslie H. Wexner; Darren K. Indyke,"One Whitebarn Rd.; 5906 E Dublin-Granville Rd., New Albany, OH",primary_image_confirmed,Wexner was sole listed director and president; Indyke was secretary,Shareholders are unnamed; Epstein is not listed; no asset recipient is identified; no-personal-property language does not address real estate.
Morsham Land Corp.,1987-12-14,domestic articles,G290_1448,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officers, directors, shareholders, parcel, Epstein, Wexner, or New Albany Company."
"Northeast Franklin Company, Inc.",1987-10-08,domestic articles,G255_1344,Ohio Secretary of State,Formation and original statutory-agent appointment,Robert N. Wistner,"475 Metro Place North, Suite 200, Dublin, OH 43017",primary_image_confirmed,Wistner was incorporator and original statutory agent,"Snow does not appear in this packet; it identifies no officers, directors, shareholders, parcels, Epstein, or Wexner."
"Northeast Franklin Company, Inc.",1988-12-28,domestic dissolution,G532_1162;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president/director; Rubenstein vice president/treasurer/director; Snow secretary/director,"The sole shareholder is unnamed. The linked agent row has no visible separate appointment form; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"New Albany Properties, Inc.",1987-10-16,domestic articles,G257_1502,Ohio Secretary of State,Formation and original statutory-agent appointment,Robert N. Wistner,"475 Metro Place North, Suite 200, Dublin, OH 43017",primary_image_confirmed,Wistner was incorporator and original statutory agent,"This charter is not N.A. Property, Inc. Ohio 832364; no officers, directors, shareholders, parcels, Epstein, or Wexner appear."
"New Albany Properties, Inc.",1988-12-28,domestic dissolution,G532_1150;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Kenneth S. Warren; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Law-firm personnel served as officers/directors; Snow was secretary,"The sole shareholder is unnamed. No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"New Albany Cardinal Associates, Inc.",1989-05-15,domestic articles,G621_0906,Ohio Secretary of State,Formation and original statutory-agent appointment,Ted B. Hipsher; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,Hipsher was incorporator and Snow was original statutory agent,"The articles identify no officers, directors, shareholders, parcels, Epstein, or Wexner."
"New Albany Cardinal Associates, Inc.",1995-12-29,merged-out status packet,5422_1201,Ohio Secretary of State,MEX certificate and later processing statement,New Albany Company; W. W. Vaughn III,"5906 E Dublin-Granville Rd., New Albany, OH 43054",primary_image_confirmed,Packet confirms merged-out status and routes the status document to New Albany Company,The packet names no survivor or other constituent; same-date routing with Morsham supports a batch lead only.
"Plain Designs, Incorporated",1987-12-10,domestic articles,G287_0729,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"General-purpose articles identify no officers, directors, shareholders, parcel, Epstein, or Wexner."
"Plain Designs, Incorporated",1988-12-28,domestic dissolution,G532_1174;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Common law-firm officer pattern; unnamed sole shareholder,"No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Hareck Enterprises, Inc.",1987-12-10,domestic articles,G287_0735,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"General-purpose articles identify no officers, directors, shareholders, parcel, Epstein, or Wexner."
"Hareck Enterprises, Inc.",1988-12-28,domestic dissolution,G532_1090;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Common law-firm officer pattern; unnamed sole shareholder,"No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Maplegrove Properties, Inc.",1987-12-10,domestic articles,G287_0741,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"General-purpose articles identify no officers, directors, shareholders, parcel, Epstein, or Wexner."
"Maplegrove Properties, Inc.",1988-12-28,domestic dissolution,G532_1132;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Common law-firm officer pattern; unnamed sole shareholder,"No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Redwood Stables, Inc.",1987-12-10,domestic articles,G287_0747,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"General-purpose articles identify no officers, directors, shareholders, parcel, Epstein, or Wexner."
"Redwood Stables, Inc.",1988-12-28,domestic dissolution,G532_1192;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Common law-firm officer pattern; unnamed sole shareholder,"No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Autumn Acres, Inc.",1987-12-14,domestic articles,G290_1405,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"General-purpose articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Autumn Acres, Inc.",1990-12-28,domestic merger,H052_1482,Ohio Secretary of State,Survivor of seven merged Ohio corporations,Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,"Agreement expressly names Autumn Acres as survivor and transfers all predecessor assets, property, real-estate interests, and liabilities",No specific parcel or shareholder is named. Autumn's next-day dissolution image G052_1517 is unavailable.
"Blackford Investments, Inc.",1987-12-14,domestic articles,G290_1412,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Blackford Investments, Inc.",1988-12-28,domestic dissolution,G532_0982;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Kenneth J. Farley; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; Farley a director,"The sole shareholder is unnamed; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Blendon Farms, Inc.",1987-12-14,domestic articles,G290_1424,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Blendon Farms, Inc.",1988-12-28,domestic dissolution,G532_0988;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Kenneth J. Farley; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; Farley a director,"The sole shareholder is unnamed; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Harlem Investment Corporation,1987-12-14,domestic articles,G290_1430,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
Harlem Investment Corporation,1988-12-28,domestic dissolution,G532_1096;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Kenneth S. Warren; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; Warren a director,"The sole shareholder is unnamed; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
