entity_key,ohio_entity_number,legal_name,snow_export_member,discovery_channel,reported_epstein_role_or_claim,primary_document_id,primary_filing_date,primary_review_state,confirmed_epstein_capacity,terminal_action,next_action,evidence_refs,notes
OH:712332,712332,City Centre Investment Corp.,no,external_seed_union,President,5024_1021,1994-12-28,primary_confirmed,president,dissolved,complete,OH-SOS:712332:5024_1021;FINDING:14566,Outside Snow denominator; packet documents Vorys Sater Seymour and Pease as the later filing counsel.
OH:715158,715158,Wexner Investment Company,no,external_seed_union,Reported earlier president role; not named in dissolution,5028_0684,1994-12-29,terminal_reviewed_no_epstein_earlier_role_unresolved,,dissolved,"review articles G299_0512, agent filing H703_1588, and contemporaneous primary records",OH-SOS:715158:5028_0684,"The terminal filing lists Wexner, Ugland, Smith, and Schwartz, but not Epstein; this does not resolve an earlier-role claim."
OH:832364,832364,"N.A. Property, Inc.",no,filing_and_new_albany_structure,President on repeated Ohio reports,9309_1879;4270_1598;5374_0707;5907_0703;199927801808,1993-10-27,primary_confirmed,president,active_current_record,locate primary 2007 resignation or replacement record,OH-SOS:832364:9309_1879;OH-SOS:832364:4270_1598;OH-SOS:832364:5374_0707;OH-SOS:832364:5907_0703;OH-SOS:832364:199927801808;FINDING:14531;FINDING:14532;FINDING:14533;FINDING:14534;FINDING:14535,The first filing date in this row is only the earliest confirmed officer observation; multiple reports are preserved.
OH:686166,686166,"ESPER, INC.",yes,cross_registry_and_address_seed,Possible Wexner-network link; no Epstein officer claim confirmed,G343_1665,1988-02-29,primary_exact_charter_reviewed_no_epstein_role,,dissolved,request unavailable filings G028_1046 and G350_1509; search property and operational records,OH-SOS:686166:G011_0438;OH-SOS:686166:G343_1665;SUNBIZ:P12512;FINDING:14567,Ohio and Florida share the same four-person/address pattern. The identity is high-confidence synthesis; available exact Ohio packets name neither Epstein nor Wexner.
OH:801367,801367,"Community Projects, Inc.",yes,new_albany_structure_seed,No Epstein officer role; Wexner president/director and general-partner signatory,199831701001,1998-11-12,primary_confirmed_network_link_no_epstein_role,,dissolved,request unavailable 1993 continuation filings and search property/partnership instruments,OH-SOS:801367:H177_0680;OH-SOS:801367:199831701001;OH-SOS:1034132:199826701876;OH-SOS:958102:199828200362;FINDING:14568;FINDING:14569,Community Projects and Epstein-led N.A. Property were the LP general partners. The LP merged into the LLC; Community Projects separately dissolved.
OH:712296,712296,Morsham Land Corporation,yes,user_seed_property_and_return_address,No Epstein officer role; New Albany Company return-address clue,5422_1216,1995-12-29,primary_mex_status_reviewed_survivor_unresolved,,merged_out,"retrieve recorder deed images, especially 199611150229244, reconcile the party-index conflict, and continue survivor-side filing search",OH-SOS:712296:G290_1448;OH-SOS:712296:5422_1216;FINDING:14570;FINDING:14603,The return recipient is not proof of ownership or survivor status. The three-page status packet names no other constituent. The exact-name recorder index also supplies a 1988 acquisition and 1997 New Albany partnership dispositions.
OH:710453,710453,"Northeast Franklin Company, Inc.",yes,network_name_and_agent_cohort_seed,No Epstein officer role confirmed,G532_1162,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search Franklin/Licking property records; resolve portal agent-row mismatch if material,OH-SOS:710453:G255_1344;OH-SOS:710453:G532_1162;FINDING:14572;OH-SOS:728764:G532_0974,"Complete available packets name the law-firm administrative group and an unnamed sole shareholder but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:710695,710695,"New Albany Properties, Inc.",yes,name_seed_and_identity_collision_guardrail,No Epstein officer role confirmed,G532_1150,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property records under exact charter/name; keep distinct from N.A. Property Inc. 832364,OH-SOS:710695:G257_1502;OH-SOS:710695:G532_1150;FINDING:14573;OH-SOS:728764:G532_0974,"Exact-charter packets name law-firm personnel but not Epstein or Wexner. This is not N.A. Property, Inc. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:749169,749169,"New Albany Cardinal Associates, Inc.",yes,new_albany_name_and_merger_batch_seed,No Epstein officer role; New Albany Company return-address clue,5422_1201,1995-12-29,primary_mex_status_reviewed_survivor_unresolved,,merged_out,obtain merger agreement or survivor-side filing; request unavailable 1993 rows; search property records,OH-SOS:749169:G621_0906;OH-SOS:749169:5422_1201;FINDING:14571,The MEX packet does not identify the survivor. Shared date and return routing with Morsham support a batch lead only.
OH:706250,706250,"Autumn Acres, Inc.",yes,full_cohort_merger_reconstruction,No Epstein officer role; express survivor of seven-corporation merger,H052_1482,1990-12-28,primary_merger_reviewed_no_epstein_role,,survived_merger_then_dissolved,obtain unavailable 1990-12-29 dissolution or later asset-disposition evidence; search predecessor and survivor property records,OH-SOS:706250:G290_1405;OH-SOS:706250:H052_1482;FINDING:14575,Any predecessor property passed to Autumn by operation of law; no parcel is named and the next-day disposition remains unresolved.
OH:709782,709782,"Blackford Investments, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_0982,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:709782:G290_1412;OH-SOS:709782:G532_0982;FINDING:14576;OH-SOS:728764:G532_0974,"Complete packets name law-firm officers/directors and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:711268,711268,"Blendon Farms, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_0988,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:711268:G290_1424;OH-SOS:711268:G532_0988;FINDING:14576;OH-SOS:728764:G532_0974,"Complete packets name law-firm officers/directors and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:712106,712106,Harlem Investment Corporation,yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_1096,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:712106:G290_1430;OH-SOS:712106:G532_1096;FINDING:14576;OH-SOS:728764:G532_0974,"Complete packets name law-firm officers/directors and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:712170,712170,"Ivy Hearth Properties, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_1108,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:712170:G290_1436;OH-SOS:712170:G532_1108;FINDING:14576;OH-SOS:728764:G532_0974,"Complete packets name law-firm officers/directors and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:712441,712441,"Rockyriver Properties, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_1210,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:712441:G290_1454;OH-SOS:712441:G532_1210;FINDING:14576;OH-SOS:728764:G532_0974,"Complete packets name law-firm officers/directors and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:714676,714676,"Deerfield Meadows, Inc.",yes,merger_party_expansion,No Epstein officer role; merged into Autumn Acres,H052_1489,1990-12-28,primary_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search predecessor property records through 1990-12-28 and Autumn Acres afterward,OH-SOS:714676:G294_1118;OH-SOS:706250:H052_1482;OH-SOS:714676:H052_1489;FINDING:14575,The exact-charter MEX stub omits the survivor; the reciprocal agreement supplies the edge.
OH:724617,724617,Landes Management Corporation,yes,merger_party_expansion,No Epstein officer role; merged into Autumn Acres,H052_1492,1990-12-28,primary_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search predecessor property records through 1990-12-28 and Autumn Acres afterward,OH-SOS:724617:G379_0229;OH-SOS:706250:H052_1482;OH-SOS:724617:H052_1492;FINDING:14575,The exact-charter MEX stub omits the survivor; the reciprocal agreement supplies the edge.
OH:724618,724618,Maycor Incorporated,yes,merger_party_expansion,No Epstein officer role; merged into Autumn Acres,H052_1495,1990-12-28,primary_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search predecessor property records through 1990-12-28 and Autumn Acres afterward,OH-SOS:724618:G379_0235;OH-SOS:706250:H052_1482;OH-SOS:724618:H052_1495;FINDING:14575,The exact-charter MEX stub omits the survivor; the reciprocal agreement supplies the edge.
OH:698295,698295,"New Albany 74, Inc. (formerly New Albany 84, Inc.)",no,merger_party_and_alias_expansion,No Epstein officer role; New Albany name and Autumn Acres merger chain,G148_0780;H052_1498,1987-04-16,primary_name_chain_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search both historical names through 1990-12-28; search Autumn Acres afterward,OH-SOS:698295:G131_1185;OH-SOS:698295:G148_0780;OH-SOS:706250:H052_1482;OH-SOS:698295:H052_1498;FINDING:14575;FINDING:14577,New Albany 84 and New Albany 74 are one charter. The amendment and merger leave the shareholder unnamed.
OH:698296,698296,"129 Associates, Inc.",no,merger_party_expansion,No Epstein officer role; merged into Autumn Acres,H052_1501,1990-12-28,primary_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search predecessor property records through 1990-12-28 and Autumn Acres afterward,OH-SOS:698296:G131_1191;OH-SOS:706250:H052_1482;OH-SOS:698296:H052_1501;FINDING:14575,Outside the Snow denominator; captured because every named merger party is promoted.
OH:714669,714669,Rockyridge Development Corp.,yes,merger_party_expansion,No Epstein officer role; merged into Autumn Acres,H052_1504,1990-12-28,primary_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search predecessor property records through 1990-12-28 and Autumn Acres afterward,OH-SOS:714669:G294_1075;OH-SOS:706250:H052_1482;OH-SOS:714669:H052_1504;FINDING:14575,The exact-charter MEX stub omits the survivor; the reciprocal agreement supplies the edge.
OH:714671,714671,"Tumbleweed Estates, Inc.",yes,merger_party_expansion,No Epstein officer role; merged into Autumn Acres,H052_1507,1990-12-28,primary_merger_and_exact_terminal_reviewed_no_epstein_role,,merged_out,search predecessor property records through 1990-12-28 and Autumn Acres afterward,OH-SOS:714671:G294_1088;OH-SOS:706250:H052_1482;OH-SOS:714671:H052_1507;FINDING:14575,The exact-charter MEX stub omits the survivor; the reciprocal agreement supplies the edge.
OH:689665,689665,"Bearce Hollow, Inc.",yes,merger_party_expansion,No Epstein officer role in 1987; merged into later Epstein-led Rocky Fork,G313_0688;G313_0695,1987-12-31,primary_full_history_and_reciprocal_merger_reviewed_no_epstein_role,,merged_out,search Bearce property records through 1987-12-31 and Rocky Fork afterward,OH-SOS:689665:G043_1718;OH-SOS:689665:G296_1202;OH-SOS:706978:G313_0688;OH-SOS:689665:G313_0695;FINDING:14578;FINDING:14565,"All 21 pages of the four exact packets were visually reviewed. The legal edge to Rocky Fork is confirmed; Epstein and Wexner are absent, and Snow appears only as statutory agent. The mutual/sole shareholder is unnamed."
OH:689908,689908,"Eastside Industrial, Inc.",yes,full_cohort_merger_reconstruction,No Epstein officer role; survived Great Eastern merger and dissolved one week later,G769_0688;G805_0338,1989-12-22,primary_full_history_merger_and_dissolution_reviewed_no_epstein_role,,survived_merger_then_dissolved,"search Great Eastern through 1989-12-22 and Eastside thereafter, including dissolution wind-up deeds",OH-SOS:689908:G046_1780;OH-SOS:689908:G296_1217;OH-SOS:689908:G769_0688;OH-SOS:689908:G805_0338;FINDING:14579,The substantive agreement names Eastside as survivor. Its dissolution leaves the sole shareholder and asset recipient unnamed; no-personal-property language does not address real estate.
OH:689907,689907,Great Eastern Fastening Corp.,yes,merger_party_expansion,No Epstein officer role; merged into Eastside Industrial,G769_0688;G769_0695,1989-12-22,primary_full_history_and_reciprocal_merger_reviewed_no_epstein_role,,merged_out,search Great Eastern through 1989-12-22 and Eastside afterward,OH-SOS:689907:G046_1772;OH-SOS:689907:G296_1223;OH-SOS:689908:G769_0688;OH-SOS:689907:G769_0695;FINDING:14579,The exact-charter MEX packet omits the survivor; the reciprocal agreement supplies the legal edge. No parcel or named shareholder appears.
OH:689663,689663,"Carlisle Meadows, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_0994,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:689663:G043_1702;OH-SOS:689663:G296_1208;OH-SOS:689663:G532_0994;FINDING:14580;OH-SOS:728764:G532_0974,"Complete formation, agent-change, and dissolution packets name Hatfield, CT Corporation System, Coppel, Snow, Levin, Schwartz, and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:689454,689454,"Daiseyland Farms, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,H052_1510,1990-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under both Daiseyland and Daisyland spellings,OH-SOS:689454:G041_1751;OH-SOS:689454:G296_1214;OH-SOS:689454:H052_1510;FINDING:14580,"Complete formation, agent-change, and dissolution packets name Record, CT Corporation System, Snow, Coppel, Levin, and an unnamed sole shareholder, but not Epstein or Wexner. The terminal packet uses the Daisyland spelling variant."
OH:689662,689662,"Frontier Hills, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_1066,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:689662:G043_1694;OH-SOS:689662:G296_1195;OH-SOS:689662:G532_1066;FINDING:14580;OH-SOS:728764:G532_0974,"Complete formation, agent-change, and dissolution packets name Hatfield, CT Corporation System, Coppel, Snow, Levin, Schwartz, and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:689906,689906,"Gahanna Trucking, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_1072,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:689906:G046_1764;OH-SOS:689906:G296_1220;OH-SOS:689906:G532_1072;FINDING:14580;OH-SOS:728764:G532_0974,"Complete formation, agent-change, and dissolution packets name Hatfield, CT Corporation System, Coppel, Snow, Levin, Schwartz, and an unnamed sole shareholder, but not Epstein or Wexner. The formation packet directly groups Gahanna with Great Eastern Fastening and Eastside Industrial. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:689446,689446,"Greystone Acres, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role confirmed,G532_1084,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search property and operational records under exact charter/name,OH-SOS:689446:G041_1688;OH-SOS:689446:G296_1199;OH-SOS:689446:G532_1084;FINDING:14580;OH-SOS:728764:G532_0974,"Complete formation, agent-change, and dissolution packets name Hatfield, CT Corporation System, Coppel, Snow, Levin, Schwartz, and an unnamed sole shareholder, but not Epstein or Wexner. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:689664,689664,"Brewer Farms, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role in reviewed packets; survivor unresolved,G313_0675,1987-12-31,primary_mex_status_reviewed_survivor_unresolved,,merged_out,obtain the merger agreement or survivor-side filing; search Brewer property records through 1987-12-31 and successor-by-merger references afterward,OH-SOS:689664:G043_1710;OH-SOS:689664:G296_1205;OH-SOS:689664:G313_0675;FINDING:14581,"All 14 pages of the complete live history were reviewed. The packets name Hatfield, CT Corporation System, Snow, Coppel, Loraditch, McCoy, and SKWR, but not Epstein or Wexner. The MEX status packet identifies no survivor or other constituent."
OH:689666,689666,"Central Falls, Inc.",yes,full_cohort_agent_date_batch,No Epstein officer role in reviewed packets; survivor unresolved,G313_0685,1987-12-31,primary_mex_status_reviewed_survivor_unresolved,,merged_out,obtain the merger agreement or survivor-side filing; search Central Falls property records through 1987-12-31 and successor-by-merger references afterward,OH-SOS:689666:G043_1726;OH-SOS:689666:G296_1211;OH-SOS:689666:G313_0685;FINDING:14582,"All 14 pages of the complete live history were reviewed. The packets name Hatfield, CT Corporation System, Snow, Coppel, Loraditch, McCoy, and SKWR, but not Epstein or Wexner. The MEX status packet identifies no survivor or other constituent."
OH:436405,436405,The Wexner Foundation,no,sec_and_nonprofit_governance_seed,"Reported trustee role; exact Ohio charter confirmed, primary Ohio filing history pending",,,candidate_external_evidence_primary_ohio_history_pending,,active_registry_record,"retrieve the complete Ohio history, especially the 1992 trustee action, 1993 merger, and 2007 resignation or removal action",OH-REGISTRY:436405;SEC:901359:000095010994000416;FINDING:14525;FINDING:14526,"A primary SEC filing identifies Epstein as a foundation trustee, and a commissioned review reports corporate-record dates and signed actions. This row is not an Ohio-filing-confirmed positive until the exact-charter images are reviewed."
OH:658659,658659,The Leslie H. Wexner Foundation,no,nonprofit_merger_party_expansion,No exact-entity Epstein role confirmed; reported 1993 merger predecessor,,,candidate_merger_party_primary_ohio_history_pending,,inactive_registry_record,retrieve both sides of the reported 1993 merger and identify the exact signing capacities; do not infer a predecessor role from a survivor-side signature,OH-REGISTRY:658659;wexner_foundation_review,Official cached Ohio metadata establishes the charter. The commissioned review reports a merger into The Wexner Foundation and an Epstein signature as trustee of the survivor; the reciprocal Ohio packets remain pending.
OH:714670,714670,"Blueberry Ridge Properties, Inc.",yes,full_cohort_exact_history_audit,No Epstein officer role in reviewed articles/MEX; New Albany Company return-address clue,5422_1209,1995-12-29,primary_articles_and_mex_status_reviewed_survivor_unresolved,,merged_out,obtain merger agreement or survivor-side filing; request unavailable continued-existence rows; search official Franklin recorder name index,OH-SOS:714670:G294_1082;OH-SOS:714670:000000690803;OH-SOS:714670:000000690804;OH-SOS:714670:5422_1209;FINDING:14583,The return recipient is not proof of ownership or survivor status. The three-page status packet names no other constituent.
OH:714673,714673,"Cedar Canyon Properties, Inc.",yes,full_cohort_exact_history_audit,No Epstein officer role in reviewed articles/MEX; New Albany Company return-address clue,5422_1215,1995-12-29,primary_articles_and_mex_status_reviewed_survivor_unresolved,,merged_out,obtain merger agreement or survivor-side filing; request unavailable continued-existence rows; search official Franklin recorder name index,OH-SOS:714673:G294_1100;OH-SOS:714673:000000311880;OH-SOS:714673:000000311881;OH-SOS:714673:5422_1215;FINDING:14583,The return recipient is not proof of ownership or survivor status. The three-page status packet names no other constituent.
OH:714674,714674,Chestnut Heights Corporation,yes,full_cohort_exact_history_audit,No Epstein officer role; exact history reviewed as cohort candidate,G532_1012,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search official Franklin recorder and auditor records under exact charter/name,OH-SOS:714674:G294_1106;OH-SOS:714674:G532_1012;FINDING:14583;OH-SOS:728764:G532_0974,"Complete current live exact-charter packets reviewed. The sole shareholder is unnamed; no-personal-property wording does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:714672,714672,Plateau Acres Incorporated,yes,full_cohort_exact_history_audit,No Epstein officer role; exact history reviewed as cohort candidate,G532_1186,1988-12-28,primary_complete_available_file_no_epstein_role,,dissolved,search official Franklin recorder and auditor records under exact charter/name,OH-SOS:714672:G294_1094;OH-SOS:714672:G532_1186;FINDING:14583;OH-SOS:728764:G532_0974,"Complete current live exact-charter packets reviewed. The sole shareholder is unnamed; no-personal-property wording does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:719941,719941,"Fordham Investment, Inc.",yes,full_cohort_audit,No Epstein officer role in the complete live filing history,G532_1048,1988-12-28,primary_complete_negative,,dissolved,search county recorder/auditor indexes under exact name and variants; preserve pre-dissolution cutoff,OH-SOS:719941:G339_1075;OH-SOS:719941:G532_1048;FINDING:14584;OH-SOS:728764:G532_0974,"No Wexner role either. The unnamed sole shareholder and no-personal-property affidavit do not establish ownership or absence of real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:719942,719942,"Linden Acres, Inc.",yes,full_cohort_audit,No Epstein officer role in the complete live filing history,G532_1120,1988-12-28,primary_complete_negative,,dissolved,search county recorder/auditor indexes under exact name and variants; preserve pre-dissolution cutoff,OH-SOS:719942:G339_1082;OH-SOS:719942:G532_1120;FINDING:14584;OH-SOS:728764:G532_0974,"No Wexner role either. The unnamed sole shareholder and no-personal-property affidavit do not establish ownership or absence of real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:719944,719944,"Rockford Development, Inc.",yes,full_cohort_audit,No Epstein officer role in the complete live filing history,G532_1204,1988-12-28,primary_complete_negative,,dissolved,search county recorder/auditor indexes under exact name and variants; preserve pre-dissolution cutoff,OH-SOS:719944:G339_1096;OH-SOS:719944:G532_1204;FINDING:14584;OH-SOS:728764:G532_0974,"No Wexner role either. The unnamed sole shareholder and no-personal-property affidavit do not establish ownership or absence of real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:719945,719945,"Tudor Properties, Inc.",yes,full_cohort_audit_and_new_albany_return_address,No Epstein role in 10 available exact-charter pages; New Albany Company return-address clue; two 1993 rows unavailable,5422_1212,1995-12-29,primary_mex_status_reviewed_survivor_unresolved_two_unavailable_rows,,merged_out,obtain merger agreement or survivor-side filing; request unavailable 1993 rows; search property records under Tudor through 1995-12-29 and do not switch successors without explicit evidence,OH-SOS:719945:G339_1103;OH-SOS:719945:5422_1212;FINDING:14584,"No Wexner role appears in the available pages. The return recipient is not proof of ownership, constituent status, or survivor status."
OH:719946,719946,"Forrest Farms, Inc.",yes,full_cohort_audit,No Epstein officer role in the complete live filing history,G532_1060,1988-12-28,primary_complete_negative,,dissolved,search county recorder/auditor indexes under exact name and variants; preserve pre-dissolution cutoff,OH-SOS:719946:G339_1110;OH-SOS:719946:G532_1060;FINDING:14584;OH-SOS:728764:G532_0974,"No Wexner role either. The unnamed sole shareholder and no-personal-property affidavit do not establish ownership or absence of real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
OH:720246,720246,CASELIN DEVELOPMENT CORPORATION,yes,snow_agent_date_cohort_review,None; candidate reviewed to test for Epstein officer presence,G532_1000,1988-12-28,primary_confirmed_bounded_negative,,dissolved,property_recorder_search,OH-SOS:720246:G342_0153;OH-SOS:720246:G532_1000;FINDING:14586;OH-SOS:728764:G532_0974,"Complete current live exact-charter history reviewed: two packets, 13 pages. Epstein and Wexner absent; no merger. This does not cover extrinsic property or archival records. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
