charter_num,business_name,filing_type,filing_date,document_id,img_status,image_url,acquisition_note
719719,"CHERRY BOTTOM PROPERTIES, INC.",DOMESTIC/DISSOLUTION,1998-12-28,199836304760,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/199836304760,Later terminal filing of the surviving corporation
713548,"ARCHITONICS, INC.",MERGER/DOMESTIC,1989-12-22,G774_0107,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G774_0107,All 9 pages visually reviewed; Architonics survived 23 predecessors; existing primary transaction finding retained
777500,"WEST FIRST PLAZA, INC.",DOMESTIC ARTICLES/FOR PROFIT,1990-07-20,G909_1798,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G909_1798,Live Ohio history; articles and original Snow statutory-agent appointment visually reviewed
777500,"WEST FIRST PLAZA, INC.",DOMESTIC/DISSOLUTION,1992-12-22,H503_1258,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H503_1258,Primary packet confirms Epstein as president and Wexner as director; all available pages visually reviewed
777500,"WEST FIRST PLAZA, INC.",DOMESTIC AGENT ADDRESS CHANGE,1992-12-22,H503_1258,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H503_1258,Same packet as dissolution; preserve both portal history observations; all available pages visually reviewed
658220,"LEWEX, INC.",DOMESTIC ARTICLES/FOR PROFIT,1985-07-08,F688_0728,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/F688_0728,All 7 pages visually reviewed; charter formed as Samax Trading Corporation with Dorothy Snow as incorporator/original agent; SHA-256 713b8e8890e7b5d24c25ba8d0e9e0fc3c43948ddb4cf580ae389dcd33faa0643
658220,"LEWEX, INC.",DOMESTIC AGENT ADDRESS CHANGE,1985-11-01,F771_0253,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/F771_0253,All 3 pages visually reviewed; Snow agent address moved from 250 E Broad St. to 41 S High St.; signed by Harold L. Levin as chairman; SHA-256 7a7d5c138d2844acfff2a132580dbe65bef7230a9790d31eb81ced8e0f8f6ef0
658220,"LEWEX, INC.",AMENDMENT/DOMESTIC,1987-11-10,G279_0229,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G279_0229,"All 5 pages visually reviewed; Samax Trading Corporation changed its name to LEWEX, Inc.; all outstanding common shareholders approved but are unnamed; SHA-256 11d9a83fdbfb1ba1df2ed59723c91c62ae537d974f33a9afa5afca2e0a19b21c"
658220,"LEWEX, INC.",MISCELLANEOUS,1987-11-10,G279_0236,UNAVAILABLE,,"Live portal metadata preserved; no image available, so the underlying contents were not reviewed"
658220,"LEWEX, INC.",DOMESTIC/DISSOLUTION,1992-12-22,H503_1252,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H503_1252,"All 6 pages visually reviewed; dissolution lists Wexner, Epstein, Smith, and Snow and an unnamed sole shareholder; SHA-256 678123b1c7e111fcd7c59446fc41eca71cf5ae3707c1916625e1be85736e4600"
658220,"LEWEX, INC.",DOMESTIC AGENT ADDRESS CHANGE,1992-12-22,H503_1252,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H503_1252,"All 6 pages visually reviewed; dissolution lists Wexner, Epstein, Smith, and Snow and an unnamed sole shareholder; SHA-256 678123b1c7e111fcd7c59446fc41eca71cf5ae3707c1916625e1be85736e4600"
626053,"PARK PROPERTIES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1984-01-05,F377_0978,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/F377_0978,"All 6 pages visually reviewed; Stanley Schwartz, Jr. was incorporator and original agent; no Epstein or Wexner; SHA-256 36c7fd080a57808ec23781d7291c4a06b6a79a81e4071d90bddb2dbc3856beab"
626053,"PARK PROPERTIES, INC.",DOMESTIC AGENT ADDRESS CHANGE,1985-11-01,F771_0256,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/F771_0256,All 3 pages visually reviewed; Schwartz remained agent and the address moved to 41 S High St.; Harold L. Levin signed as vice president; SHA-256 24298bcb98178b3b67777c462869f18da720d68e9072f8d06eb6453181789693
626053,"PARK PROPERTIES, INC.",DOMESTIC/DISSOLUTION,1992-12-22,H526_0788,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H526_0788,"All 7 pages visually reviewed; dissolution lists Wexner, Epstein, Smith, and Snow and an unnamed sole shareholder; SHA-256 61be89203c75d5d0f52b898918048025013e2493662e0c32e2d764c429636815"
626053,"PARK PROPERTIES, INC.",DOMESTIC AGENT SUBSEQUENT APPOINTMENT,1992-12-22,H526_0788,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H526_0788,"All 7 pages visually reviewed; dissolution lists Wexner, Epstein, Smith, and Snow and an unnamed sole shareholder; SHA-256 61be89203c75d5d0f52b898918048025013e2493662e0c32e2d764c429636815"
803531,C-WREN INVESTMENT CORP.,DOMESTIC ARTICLES/FOR PROFIT,1991-09-26,H205_0694,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H205_0694,All 7 pages visually reviewed; Ted B. Hipsher was incorporator and Snow original agent; no Epstein or Wexner in the articles; SHA-256 58faa3d56cb7d999c94ff9a94a3daf4e6c4899aea27b02ff1dce6c16d32d4c39
803531,C-WREN INVESTMENT CORP.,DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000100874,UNAVAILABLE,,"Live portal metadata preserved; no image available, so the underlying contents were not reviewed"
803531,C-WREN INVESTMENT CORP.,DOMESTIC CONTINUED EXISTENCE,1993-10-13,000000100875,UNAVAILABLE,,"Live portal metadata preserved; no image available, so the underlying contents were not reviewed"
803531,C-WREN INVESTMENT CORP.,DOMESTIC/DISSOLUTION,1993-12-30,9420_1032,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/9420_1032,"All 6 pages visually reviewed; dissolution lists Wexner, Epstein, Smith, and Snow and an unnamed sole shareholder; SHA-256 4868e35176263c4ad1a898dabba3fd5018a183f7c8be3a4f22196517dbfaef47"
624047,"PFI LEASING, INC.",DOMESTIC ARTICLES/FOR PROFIT,1983-12-01,F358_1398,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/F358_1398,Live Ohio history enumeration; entity is outside the Snow export
624047,"PFI LEASING, INC.",DOMESTIC AGENT SUBSEQUENT APPOINTMENT,1990-12-10,H025_0808,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H025_0808,Live Ohio history enumeration
624047,"PFI LEASING, INC.",DOMESTIC/DISSOLUTION,1990-12-26,H043_1630,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H043_1630,Primary packet confirms Epstein as vice president and treasurer and Wexner as director and president
706978,ROCKY FORK DEVELOPMENT CORPORATION,DOMESTIC ARTICLES/FOR PROFIT,1987-08-17,G222_0919,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G222_0919,Live Ohio history enumeration; entity is outside the Snow export
706978,ROCKY FORK DEVELOPMENT CORPORATION,MERGER/DOMESTIC,1987-12-31,G313_0688,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G313_0688,All 7 pages visually reviewed; Bearce Hollow expressly merges into surviving Rocky Fork; generic property succession and no parcel; Epstein Wexner and Snow absent
706978,ROCKY FORK DEVELOPMENT CORPORATION,DOMESTIC/DISSOLUTION,1992-12-29,H509_0296,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H509_0296,Primary packet confirms Epstein as vice president and Wexner as sole director and president
712332,CITY CENTRE INVESTMENT CORP.,DOMESTIC ARTICLES/FOR PROFIT,1987-11-13,G273_0823,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G273_0823,Live Ohio history enumeration; entity is outside the Snow export
712332,CITY CENTRE INVESTMENT CORP.,DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000319665,UNAVAILABLE,,Portal lists no downloadable image
712332,CITY CENTRE INVESTMENT CORP.,DOMESTIC CONTINUED EXISTENCE,1993-10-13,000000319666,UNAVAILABLE,,Portal lists no downloadable image
712332,CITY CENTRE INVESTMENT CORP.,DOMESTIC/DISSOLUTION,1994-12-28,5024_1021,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/5024_1021,Primary packet confirms Epstein as president and Wexner as director; submitted by Vorys Sater Seymour and Pease
715158,WEXNER INVESTMENT COMPANY,DOMESTIC ARTICLES/FOR PROFIT,1987-12-31,G299_0512,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G299_0512,Live Ohio history enumeration; entity is outside the Snow export
715158,WEXNER INVESTMENT COMPANY,DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000048260,UNAVAILABLE,,Portal lists no downloadable image
715158,WEXNER INVESTMENT COMPANY,DOMESTIC AGENT SUBSEQUENT APPOINTMENT,1993-10-01,H703_1588,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H703_1588,Live Ohio history enumeration
715158,WEXNER INVESTMENT COMPANY,DOMESTIC CONTINUED EXISTENCE,1993-11-08,000000048261,UNAVAILABLE,,Portal lists no downloadable image
715158,WEXNER INVESTMENT COMPANY,DOMESTIC/DISSOLUTION,1994-12-29,5028_0684,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/5028_0684,Reviewed dissolution lists Wexner Ugland and Smith but not Epstein; any earlier Epstein role remains unresolved
686166,"ESPER, INC.",DOMESTIC ARTICLES/FOR PROFIT,1986-10-02,G011_0438,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G011_0438,Live Ohio history enumeration; all 7 pages visually reviewed
686166,"ESPER, INC.",MISCELLANEOUS,1986-10-03,G028_1046,UNAVAILABLE,,Portal lists no downloadable image
686166,"ESPER, INC.",DOMESTIC/DISSOLUTION,1988-02-29,G343_1665,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G343_1665,All 6 pages visually reviewed; packet names Levin Campbell Kessler and McCoy but not Epstein or Wexner
686166,"ESPER, INC.",TRADE NAME CANCELLATION,1988-03-22,G350_1509,UNAVAILABLE,,Portal lists no downloadable image
801367,"COMMUNITY PROJECTS, INC.",DOMESTIC ARTICLES/FOR PROFIT,1991-08-13,H177_0680,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H177_0680,Live Ohio history enumeration; all 7 pages visually reviewed
801367,"COMMUNITY PROJECTS, INC.",DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000298232,UNAVAILABLE,,Portal lists no downloadable image
801367,"COMMUNITY PROJECTS, INC.",DOMESTIC CONTINUED EXISTENCE,1993-10-13,000000298233,UNAVAILABLE,,Portal lists no downloadable image
801367,"COMMUNITY PROJECTS, INC.",DOMESTIC/DISSOLUTION,1998-11-12,199831701001,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/199831701001,All 7 pages visually reviewed; Wexner is president and director and Indyke is secretary
712296,MORSHAM LAND CORPORATION,DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1448,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1448,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
712296,MORSHAM LAND CORPORATION,DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000215678,UNAVAILABLE,,Portal lists no downloadable image
712296,MORSHAM LAND CORPORATION,DOMESTIC CONTINUED EXISTENCE,1993-11-08,000000215679,UNAVAILABLE,,Portal lists no downloadable image
712296,MORSHAM LAND CORPORATION,MERGED OUT OF EXISTENCE,1995-12-29,5422_1216,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/5422_1216,All 3 pages visually reviewed; New Albany Company is the return recipient but no survivor is named
710453,"NORTHEAST FRANKLIN COMPANY, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-10-08,G255_1344,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G255_1344,All 7 pages visually reviewed; Wistner is incorporator and original statutory agent
710453,"NORTHEAST FRANKLIN COMPANY, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1162,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1162,All 6 pages visually reviewed; Snow is secretary and director and the sole shareholder is unnamed
710453,"NORTHEAST FRANKLIN COMPANY, INC.",DOMESTIC AGENT SUBSEQUENT APPOINTMENT,1988-12-28,G532_1162,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1162,Portal maps this row to the dissolution packet; no separate agent appointment form is visible; all available pages visually reviewed
710695,"NEW ALBANY PROPERTIES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-10-16,G257_1502,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G257_1502,All 7 pages visually reviewed; Wistner is incorporator and original statutory agent
710695,"NEW ALBANY PROPERTIES, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1150,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1150,All 6 pages visually reviewed; law-firm officers and unnamed sole shareholder
710695,"NEW ALBANY PROPERTIES, INC.",DOMESTIC AGENT SUBSEQUENT APPOINTMENT,1988-12-28,G532_1150,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1150,Portal maps this row to the dissolution packet; no separate agent appointment form is visible; all available pages visually reviewed
749169,"NEW ALBANY CARDINAL ASSOCIATES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1989-05-15,G621_0906,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G621_0906,All 7 pages visually reviewed; Hipsher is incorporator and Snow is original statutory agent
749169,"NEW ALBANY CARDINAL ASSOCIATES, INC.",DOMESTIC CONTINUED EXISTENCE LETTER,1993-09-09,000000558309,UNAVAILABLE,,Portal lists no downloadable image
749169,"NEW ALBANY CARDINAL ASSOCIATES, INC.",DOMESTIC CONTINUED EXISTENCE,1993-11-08,000000558310,UNAVAILABLE,,Portal lists no downloadable image
749169,"NEW ALBANY CARDINAL ASSOCIATES, INC.",MERGED OUT OF EXISTENCE,1995-12-29,5422_1201,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/5422_1201,All 3 pages visually reviewed; New Albany Company is the return recipient but no survivor is named
713839,"PLAIN DESIGNS, INCORPORATED",DOMESTIC ARTICLES/FOR PROFIT,1987-12-10,G287_0729,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G287_0729,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
713839,"PLAIN DESIGNS, INCORPORATED",DOMESTIC/DISSOLUTION,1988-12-28,G532_1174,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1174,All 6 pages visually reviewed; common law-firm officer pattern and unnamed sole shareholder
713840,"HARECK ENTERPRISES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-10,G287_0735,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G287_0735,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
713840,"HARECK ENTERPRISES, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1090,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1090,All 6 pages visually reviewed; common law-firm officer pattern and unnamed sole shareholder
713841,"MAPLEGROVE PROPERTIES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-10,G287_0741,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G287_0741,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
713841,"MAPLEGROVE PROPERTIES, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1132,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1132,All 6 pages visually reviewed; common law-firm officer pattern and unnamed sole shareholder
713842,"REDWOOD STABLES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-10,G287_0747,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G287_0747,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
713842,"REDWOOD STABLES, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1192,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1192,All 6 pages visually reviewed; common law-firm officer pattern and unnamed sole shareholder
706250,"AUTUMN ACRES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1405,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1405,All 7 pages visually reviewed; Snow is incorporator and original statutory agent
706250,"AUTUMN ACRES, INC.",MERGER/DOMESTIC,1990-12-28,H052_1482,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1482,All 7 pages visually reviewed; packet names Autumn Acres as survivor of seven identified Ohio corporations
706250,"AUTUMN ACRES, INC.",DOMESTIC/DISSOLUTION,1990-12-29,G052_1517,UNAVAILABLE,,Portal lists no downloadable image; preserve separately from the image-bearing merger row
709782,"BLACKFORD INVESTMENTS, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1412,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1412,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
709782,"BLACKFORD INVESTMENTS, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_0982,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_0982,All 6 pages visually reviewed; common law-firm roster and unnamed sole shareholder
711268,"BLENDON FARMS, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1424,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1424,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
711268,"BLENDON FARMS, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_0988,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_0988,All 6 pages visually reviewed; common law-firm roster and unnamed sole shareholder
712106,HARLEM INVESTMENT CORPORATION,DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1430,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1430,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
712106,HARLEM INVESTMENT CORPORATION,DOMESTIC/DISSOLUTION,1988-12-28,G532_1096,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1096,All 6 pages visually reviewed; common law-firm roster and unnamed sole shareholder
712170,"IVY HEARTH PROPERTIES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1436,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1436,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
712170,"IVY HEARTH PROPERTIES, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1108,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1108,All 6 pages visually reviewed; common law-firm roster and unnamed sole shareholder
712441,"ROCKYRIVER PROPERTIES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-14,G290_1454,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G290_1454,All 6 pages visually reviewed; Snow is incorporator and original statutory agent
712441,"ROCKYRIVER PROPERTIES, INC.",DOMESTIC/DISSOLUTION,1988-12-28,G532_1210,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G532_1210,All 6 pages visually reviewed; common law-firm roster and unnamed sole shareholder
714676,"DEERFIELD MEADOWS, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-22,G294_1118,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G294_1118,Live Ohio history; exact-charter crosswalk for an H052_1482 merger constituent; all available pages visually reviewed
714676,"DEERFIELD MEADOWS, INC.",MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
714676,"DEERFIELD MEADOWS, INC.",MERGED OUT OF EXISTENCE,1990-12-28,H052_1489,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1489,Portal terminal row for H052_1482 constituent; all available pages visually reviewed
724617,LANDES MANAGEMENT CORPORATION,DOMESTIC ARTICLES/FOR PROFIT,1988-05-13,G379_0229,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G379_0229,Live Ohio history; exact-charter crosswalk for an H052_1482 merger constituent; all available pages visually reviewed
724617,LANDES MANAGEMENT CORPORATION,MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
724617,LANDES MANAGEMENT CORPORATION,MERGED OUT OF EXISTENCE,1990-12-28,H052_1492,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1492,Portal terminal row for H052_1482 constituent; all available pages visually reviewed
724618,MAYCOR INCORPORATED,DOMESTIC ARTICLES/FOR PROFIT,1988-05-13,G379_0235,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G379_0235,Live Ohio history; exact-charter crosswalk for an H052_1482 merger constituent; all available pages visually reviewed
724618,MAYCOR INCORPORATED,MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
724618,MAYCOR INCORPORATED,MERGED OUT OF EXISTENCE,1990-12-28,H052_1495,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1495,Portal terminal row for H052_1482 constituent; all available pages visually reviewed
698295,"NEW ALBANY 74, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-04-02,G131_1185,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G131_1185,Live Ohio history; original filing under prior name New Albany 84 Inc.
698295,"NEW ALBANY 74, INC.",DOMESTIC/AMENDMENT TO ARTICLES,1987-04-16,G148_0780,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G148_0780,Live Ohio history; current name and prior-name chain require image review
698295,"NEW ALBANY 74, INC.",MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
698295,"NEW ALBANY 74, INC.",MERGED OUT OF EXISTENCE,1990-12-28,H052_1498,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1498,Portal terminal row for H052_1482 constituent
698296,"129 ASSOCIATES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-04-02,G131_1191,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G131_1191,Live Ohio history; exact-charter crosswalk for an H052_1482 merger constituent
698296,"129 ASSOCIATES, INC.",MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
698296,"129 ASSOCIATES, INC.",MERGED OUT OF EXISTENCE,1990-12-28,H052_1501,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1501,Portal terminal row for H052_1482 constituent
714669,ROCKYRIDGE DEVELOPMENT CORP.,DOMESTIC ARTICLES/FOR PROFIT,1987-12-22,G294_1075,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G294_1075,Live Ohio history; exact-charter crosswalk for an H052_1482 merger constituent; all available pages visually reviewed
714669,ROCKYRIDGE DEVELOPMENT CORP.,MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
714669,ROCKYRIDGE DEVELOPMENT CORP.,MERGED OUT OF EXISTENCE,1990-12-28,H052_1504,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1504,Portal terminal row for H052_1482 constituent; all available pages visually reviewed
714671,"TUMBLEWEED ESTATES, INC.",DOMESTIC ARTICLES/FOR PROFIT,1987-12-22,G294_1088,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G294_1088,Live Ohio history; exact-charter crosswalk for an H052_1482 merger constituent; all available pages visually reviewed
714671,"TUMBLEWEED ESTATES, INC.",MERGER/DOMESTIC,1990-12-28,H052_1484,UNAVAILABLE,,Portal constituent-side transaction row; substantive agreement is H052_1482 under survivor Autumn Acres
714671,"TUMBLEWEED ESTATES, INC.",MERGED OUT OF EXISTENCE,1990-12-28,H052_1507,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/H052_1507,Portal terminal row for H052_1482 constituent; all available pages visually reviewed
689665,"BEARCE HOLLOW, INC.",DOMESTIC ARTICLES/FOR PROFIT,1986-12-02,G043_1718,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G043_1718,All 8 pages visually reviewed; Hatfield incorporator and CT Corporation System original agent; no officer director shareholder parcel Epstein or Wexner
689665,"BEARCE HOLLOW, INC.",DOMESTIC AGENT SUBSEQUENT APPOINTMENT,1987-12-17,G296_1202,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G296_1202,All 3 pages visually reviewed; Snow succeeds CT Corporation System and Coppel signs as secretary; no Epstein or Wexner
689665,"BEARCE HOLLOW, INC.",MERGER/DOMESTIC,1987-12-31,G313_0690,UNAVAILABLE,,Portal transaction row has no downloadable image; compare the substantive G313_0688 merger packet
689665,"BEARCE HOLLOW, INC.",MERGED OUT OF EXISTENCE,1987-12-31,G313_0695,STANDARD,https://bizimage.ohiosos.gov/api/image/pdf/G313_0695,All 3 pages visually reviewed; exact-charter MEX omits survivor; reciprocal G313_0688 names Rocky Fork
