entity_name,aliases,entity_class,formation_jurisdiction,ohio_entity_number,status,ohio_or_property_address,parcel_or_property,epstein_role_or_nexus,wexner_role_or_nexus,date_range,verification_status,removal_or_exit_status,priority,key_evidence_refs,notes
ASW Investments,ASW Investments Trust,Ohio trust / parent holding vehicle,Ohio,,unresolved,"6525 W Campus Oval, Suite 105, New Albany, OH",No property title verified,"Indirect nexus through wholly owned ASW Holdings, where Epstein was president/director",Abigail Wexner was sole trustee; trust owned ASW Holdings,2000,SEC primary filing confirmed,Unresolved,high-priority trust/UCC search,SEC:901359:000090951800000392,Ordinary corporation search may not surface this trust.
"R.A. Property, Inc.",RA Property Inc.; R A Property Inc.; R.A. Properties Inc.,property or management company candidate,unknown,,unresolved,"423 W Campus Dr, Suite 180, New Albany, OH",No parcel or deed verified,"Indirect: NES, LLC paid the company $7,173.96 in November 2004; Epstein not named on the page",New Albany operational nexus only,2004,direct corpus financial record confirmed; registry and title unverified,Unresolved,high-priority candidate,EFTA01497064,"The monthly payment suggests management, rent, or another recurring service but does not prove property ownership."
New Albany Realty,New Albany Realty LLC?,subsidiary or operating-unit candidate,unknown,,unresolved,New Albany property-operations context,No parcel or deed verified,No direct Epstein role in the extracted line,Appears in a New Albany Company cash-flow report,2005,direct corpus label confirmed; legal form unverified,Unresolved,medium-priority candidate,EFTA00577400,The record says 'Subsidiary Funding' but gives no legal suffix.
L.A.W. Plantation Management Corp.,LAW Plantation Management Corp.; L A W Plantation Management Corp.,corporation / management candidate,unknown,,unresolved,"6525 W Campus Oval; 8000 Walton Pkwy, New Albany, OH",No Ohio property verified,Business-information reports list Epstein as CEO,Business-information reports list Indyke as secretary in the Wexner/New Albany address cluster,"1990s-2000s, exact dates unresolved",secondary business-information candidate only; primary registry access incomplete,Unresolved,high-priority primary verification,EFTA01387832; EFTA01480668,Do not promote the officer claims until a primary state filing is retrieved.
H.R.E.I. Trust,HREI Trust; H R E I Trust,Ohio investment trust,Ohio,,unresolved,"6525 W Campus Oval, Suite 105, New Albany, OH",No parcel verified,Co-trustee,Wexner co-trustee,2003-2004,SEC primary filing confirmed,Later shares transferred into R.H.R.E.I. Trust; exact trust termination unresolved,confirmed trust architecture,SEC:901359:000090951803000656; SEC:901359:000090951804000954,"Search trust, UCC, and assumed-name records rather than only corporations."
R.H.R.E.I. Trust,RHREI Trust; R H R E I Trust,Ohio investment trust,Ohio,,unresolved,"8000 Walton Pkwy, New Albany, OH",No parcel verified,"Controlled indirectly through Financial Trust Company, Inc., whose sole stockholder/director/president was Epstein",Held Limited Brands shares in the Wexner reporting group,2005-2006,SEC primary filing confirmed,"Existing records indicate a later trustee transition, but primary Ohio trust record not retrieved",confirmed trust architecture,SEC:901359:000090951805000716; SEC:901359:000090951806000816,Punctuation-free variants are essential.
Trust 600,Trust Six Hundred; 600 Trust,Ohio investment trust,Ohio,,unresolved,"8000 Walton Pkwy, New Albany, OH",No parcel verified,"Controlled indirectly through Financial Trust Company, Inc., whose sole stockholder/director/president was Epstein",Held Limited Brands shares in the Wexner reporting group,2005-2006,SEC primary filing confirmed,Primary Ohio trust record not retrieved,confirmed trust architecture,SEC:901359:000090951805000716; SEC:901359:000090951806000816,"Search business-trust, UCC, tax, and assumed-name indexes."
The Wexner Foundation,Wexner Foundation; Ohio 436405,foundation / nonprofit,Ohio / current EIN 23-7320631,436405,active,"41 S High St; later 6525 W Campus Oval, New Albany, OH",No parcel verified in this wave,SEC filing identifies Epstein as trustee; primary Ohio filing history remains pending,Wexner founder/trustee,1992-2007 reported Epstein role,"Official Ohio registry metadata, SEC primary filing, and later commissioned review","Exact Ohio charter established; Ohio trustee, merger, and removal packets not yet retrieved",high-confidence external-role candidate / primary Ohio history pending,OH-REGISTRY:436405; SEC:901359:000095010994000416; wexner_foundation_review; FINDING:14525; FINDING:14526,"Use historical board actions and nonprofit filings, not current officer lists. Do not code an Ohio-filing-confirmed role until the charter history is reviewed."
INN Investment Corp.,Inn Investment Corp.,Ohio for-profit corporation / hotel-partnership investor,Ohio,678033,dead / dissolved,"c/o Wexner Investment Co., 41 S High St., Suite 3710, Columbus, OH 43215","Limited-partner interest and stated obligations in BI Limited Partnership; no fee-title deed identified",President; signed the 1992 dissolution and related affidavits,Wexner was the listed director,1986-1992,primary Ohio filing and Franklin Recorder partnership images confirmed,Dissolved 1992-06-02 and withdrew from the hotel partnership in 1992; no corporate survivor,confirmed historical role / partnership investment,F891_1891;H363_1780;FRANKLIN-RECORDER:198608270148627;FRANKLIN-RECORDER:199204240104818;FINDING:14555;FINDING:14619;FINDING:14620,"The corporate filing's unnamed sole shareholder remains unknown. Partnership status and obligations do not establish fee title to the hotel land."
"Cherry Bottom Investors, Inc.",Cherry Bottom Investors Inc.; CBI; Ohio 719718,Ohio for-profit corporation / merger predecessor,Ohio,719718,dead / merged out,"41 S High St., Suite 2300, Columbus, OH 43215","Pre-merger corporate/partnership records; one 1991 easement uses the old name after merger but does not revive the corporation",President; signed the 1990 merger certificate and agreement,No Wexner role appears in the reviewed merger packet,1988-1990; stale name use in one 1991 easement,full Ohio filing and targeted Franklin recorder family images reviewed,"Merged into Cherry Bottom Properties, Inc. on 1990-08-31",confirmed historical role and merger,G337_1113;G946_1533;G946_1539;G946_1531;FRANKLIN-RECORDER:199109130145233;FINDING:14556;FINDING:14597;FINDING:14607;FINDING:14608,"The substantive agreement expressly names Properties as survivor. The later easement lacks revival or successor language and is treated as stale-name execution."
"Cherry Bottom Properties, Inc.",Cherry Bottom Properties Inc.; CBP,Ohio for-profit corporation / merger survivor and landholding vehicle,Ohio,719719,dead / dissolved,"41 S High St., Suite 2300, Columbus; later New Albany; c/o N.A. Property, Inc., 5906 E Dublin-Granville Rd.","Multiple Franklin tracts and commercial/development instruments; 33.664-acre KG conveyance; Gahanna medical-office tract; later Wexner-signed dispositions",Vice president at the 1990 merger; Epstein executed the 1991 KG and 1992 Gahanna deeds as vice president,Wexner was sole listed director/president at dissolution and signed later 1997-1998 deeds as president,1988-1998,complete targeted Franklin family: 25 instruments / 162 pages OCRed and decisive images reviewed,Survived Investors merger 1990-08-31; dissolved 1998-12-28,confirmed historical roles / property and financing chain,G337_1120;G946_1531;G946_1533;199836304760;FRANKLIN-RECORDER:199110040159339;FRANKLIN-RECORDER:199110040159341;FRANKLIN-RECORDER:199307120168459;FINDING:14616;FINDING:14617;FINDING:14618;FINDING:14624;FINDING:14625;FINDING:14626;FINDING:14631,"Its $1.08 million seller mortgage to KG was later satisfied. Nominal consideration and conveyance-tax stamps are not treated as sale prices; corporate signatures do not prove beneficial ownership."
"Architonics, Inc.",Architonics Inc.,Ohio for-profit corporation / 23-company merger survivor,Ohio,713548,dead / dissolved after surviving merger,"Formation: Dublin, Franklin County; original agent 475 Metro Place North, Suite 200; dissolution: SKWR, 41 S. High St., 23rd Floor, Columbus",Recorder index: 24.642 acres acquired from Ted R. Meteer on 1987-12-08; 24.642 acres conveyed to New Albany Co. on 1989-12-28; a second multi-tract deed to New Albany Co. recorded 1989-12-29,No Epstein role appears in the complete exact-charter history,No Wexner role appears in the complete exact-charter history,1987-12-07 to 1989-12-29,complete Ohio corporate history plus official Franklin recorder index hits confirmed; deed images pending,"Survived the 23-company merger 1989-12-22, made indexed conveyances to New Albany Co. on 1989-12-28 and 1989-12-29, and dissolved 1989-12-29; completeness and predecessor parcel origins unresolved","highest-priority deed-image, predecessor-parcel, and final-distribution follow-up",G284_0971;G774_0107;G805_0277;FINDING:14558;FINDING:14593;FRANKLIN-RECORDER:198712080212780;FRANKLIN-RECORDER:198912280188790;FRANKLIN-RECORDER:198912290189094;FINDING:14602,"The two post-merger deed dates are strong temporal and disposition evidence, but the index alone does not show which predecessor supplied a parcel, whether every vested asset was conveyed, or who beneficially owned the entities."
"LEWEX, Inc.",LEWEX INC.; Samax Trading Corporation; Samax Trading Corp.; Ohio charter 658220,Ohio for-profit corporation,Ohio,658220,dead / dissolved,"Agent at 250 E Broad St. then 41 S High St.; later officers c/o Wexner Investment Company, 41 S High St., Suite 3710, Columbus",No parcel or deed verified,Vice president and treasurer; signed the 1992 dissolution,Wexner was director and president,1985-1992,full available Ohio filing history reviewed; one miscellaneous row unavailable,Dissolved 1992-12-22; no corporate survivor,confirmed historical role,F688_0728; F771_0253; G279_0229; G279_0236; H503_1252; FINDING:14561; FINDING:14595,Exact-charter alias: Samax Trading Corporation became LEWEX in 1987. Earlier filings do not name Epstein or Wexner. The name change and later officer roster do not reveal when control changed.
"West First Plaza, Inc.",West First Plaza Inc.,Ohio for-profit corporation,Ohio,777500,dead / dissolved,"c/o Wexner Investment Company, 41 S High St., Suite 3710; vice president c/o New Albany Realty Corp., 5757 Johnstown Rd.",No Franklin exact-party or tested OCR hit in the exhaustive target search,President; signed the 1992 dissolution and affidavits,Wexner was the listed director,1990-1992,primary Ohio articles/dissolution images plus bounded Franklin zero,Dissolved 1992-12-22; no corporate survivor,confirmed historical role / bounded property-search zero,G909_1798;H503_1258;FINDING:14560,"The zero applies only to the searched Franklin name variants and OCR corpus; it is not proof the entity never held property elsewhere or under another name."
"Park Properties, Inc.",Park Properties Inc.; Ohio 626053,Ohio for-profit corporation / partnership general partner and lender,Ohio,626053,dead / dissolved,"Agent at 250 E Broad St. then 41 S High St.; later officers c/o Wexner Investment Company, 41 S High St., Suite 3710, Columbus","C.H. Development Group financing tied to five Columbus lot groups; Park was general partner/mortgagee, not shown as fee owner",Vice president in 1992 dissolution; no Epstein signature in the reviewed recorder family,Wexner was sole director/president in 1992 dissolution; no Wexner signature in reviewed recorder family,1984-1992,17-instrument Franklin family reconstructed; decisive images reviewed and four UCC pages unavailable,Dissolved 1992-12-22; mortgage fully satisfied in 1990; no merger or assignment shown,confirmed corporate role / financing chain,F377_0978;F771_0256;H526_0788;FRANKLIN-RECORDER:198402030051783;FRANKLIN-RECORDER:199002200063673;FINDING:14639;FINDING:14640,"One partnership loan was capped at $5 million; Fried guaranteed 23% and his mortgage cap was $1.15 million. Two later apparent $5 million hits were corrected duplicate recordings, not separate loans."
C-Wren Investment Corp.,C-Wren Investment Corporation; C Wren Investment Corp.; Ohio 803531,Ohio for-profit corporation / KG Partners member,Ohio,803531,dead / dissolved,"c/o Wexner Investment Company, 41 S High St., Suite 3710, Columbus, OH 43215","Through KG Partners, the 33.664-acre Christopher Wren Apartments tract and related financing/easement/dedication chain",Vice president/treasurer in dissolution; signed 1991 KG certificate and 1993 Columbus right-of-way deed as C-Wren vice president,Wexner was sole director/president in dissolution; no beneficial property interest is stated,1991-1993,Ohio history plus complete 19-instrument KG family; 17 image-reviewed and 2 image-unavailable UCC releases,Dissolved 1993-12-30; no corporate merger; KG's recorded Bank One and Cherry mortgages were released in 1993,confirmed corporate role / partnership property chain,H205_0694;9420_1032;FRANKLIN-RECORDER:199110040159108;FRANKLIN-RECORDER:199110040159339;FRANKLIN-RECORDER:199305130127826;FRANKLIN-RECORDER:199307090167426;FINDING:14644;FINDING:14645,"KG's 50% qualified LP allocation is not allocated between K-L and C-Wren. Epstein's signatures establish corporate capacity, not beneficial ownership."
"PFI Leasing, Inc.",PFI Leasing Inc.,Ohio for-profit corporation,Ohio,624047,dead / dissolved,"c/o Wexner Investment Co., 41 S High St., Suite 3710, Columbus, OH 43215",No Franklin exact-party or tested OCR hit; no leased asset identified,Vice president and treasurer; signed the 1990 dissolution,Wexner was director and president,1983-1990,primary Ohio dissolution image plus bounded Franklin zero,Dissolved 1990-12-26; no corporate survivor,confirmed historical role / bounded property-search zero,H043_1630;FINDING:14564,"The Franklin zero does not exclude assets indexed under a lessor, address, former name, or another county."
Rocky Fork Development Corporation,Rocky Fork Development Corp.,Ohio for-profit corporation / merger survivor and New Albany general partner,Ohio,706978,dead / dissolved,"41 S High St., Columbus; later c/o Wexner Investment Company, Suite 3710","Four 1987 merger-successor deeds tie Hinson, Brewer Farms, Central Falls, and Bearce Hollow land to New Albany; later easement/development instruments",Vice president at dissolution; signed a 1991 amended New Albany partnership certificate as Rocky Fork president and Community Projects vice president,Wexner was sole director/president in the 1992 dissolution,1987-1992,complete targeted 12-instrument Franklin family OCRed and decisive images reviewed,"Recorder deeds identify Rocky Fork as successor by merger to four predecessors; December 1992 confirmatory deed transferred New Albany partnership assets to the Delaware LP; Rocky Fork dissolved 1992-12-29",confirmed merger/property/partnership chain,G313_0688;H509_0296;FRANKLIN-RECORDER:198712310221397;FRANKLIN-RECORDER:198712310221398;FRANKLIN-RECORDER:198712310221399;FRANKLIN-RECORDER:198712310221400;FRANKLIN-RECORDER:199212080242110;FINDING:14633;FINDING:14634;FINDING:14636,"The 1987 deeds resolve the recorder/title successor for four predecessors, but do not by themselves replace or expand the statutory corporate merger filings. Officer signatures prove capacity, not beneficial ownership."
City Centre Investment Corp.,City Centre Investment Corporation,Ohio for-profit corporation / hotel-investment vehicle,Ohio,712332,dead / dissolved,"c/o Wexner Investment Co., Suite 3710, 41 South High Street, Columbus, OH 43215","1987 limited-partnership structure; 1994 deed of parcel 010-139305 to Columbus Hospitality Associates, Limited Partnership",President in the 1994 dissolution officer list,Wexner was the listed director,1987-1994,primary Ohio and Franklin Recorder images confirmed,Dissolved 1994-12-28; 1995 partnership cancellation says assets were distributed but does not name the recipient,confirmed historical role / property disposition,5024_1021;FRANKLIN-RECORDER:198712310221555;FRANKLIN-RECORDER:199412210263357;FRANKLIN-RECORDER:199501200051915;FINDING:14629;FINDING:14630,"The deed's $1 recital and $5,420 conveyance-tax figure are not treated as a sale price. The partnership cancellation does not identify who received any remaining assets."
Wexner Investment Company,Wexner Investment Co.,Ohio for-profit corporation / operational hub candidate,Ohio,715158,dead / dissolved,"Suite 3710, 41 South High Street, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the reviewed 1994 dissolution; any earlier role remains unverified,Wexner was the listed director; company supplied the common officer mailing address for multiple entities,1987-1994,primary terminal packet reviewed; earlier-role claim unresolved,Dissolved 1994-12-29,primary terminal negative / earlier filing follow-up,G299_0512; H703_1588; 5028_0684,"Outside the Snow export. The dissolution lists Peggy Ugland as vice president, Jeffrey J. Smith as secretary, and Robert S. Schwartz as statutory agent, but no Epstein; review articles and earlier corporate records before accepting a historical officer claim."
"ESPER, INC.",Esper Inc.; Florida P12512,Ohio corporation / cross-registry operating-company candidate,Ohio,686166,dead / dissolved,"41 South High St., Suite 3710, Columbus, OH 43215",No parcel or real-property instrument verified,No Epstein role appears in the available exact-charter packets,Address and officer group overlap the verified Wexner corporate-administration orbit; no direct Wexner role in the packets,1986-1988,primary Ohio images confirmed; Florida identity is high-confidence synthesis,Dissolved 1988-02-29; two Ohio history images unavailable,cross-registry network candidate,G011_0438; G343_1665; SUNBIZ:P12512; FINDING:14567,"Florida P12512 repeats Ohio formation, the Suite 3710 address, and Levin/Campbell/Kessler/McCoy, but does not print Ohio charter 686166. CT Corporation's Florida agent address is not evidence of Plantation operations."
"Northeast Franklin Company, Inc.",Northeast Franklin Company Inc.,Ohio corporation / administrative-cluster candidate,Ohio,710453,dead / dissolved,"475 Metro Place North, Dublin; later 41 S High St., 23rd Floor, Columbus",No parcel or deed verified,No Epstein role appears in the complete available packets,No Wexner role appears in the complete available packets,1987-1988,primary Ohio articles and dissolution images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G255_1344;G532_1162;FINDING:14572;OH-SOS:728764:G532_0974,"Snow appears directly as secretary/director, not proven agent, in the linked dissolution packet. Common law-firm administration does not establish ownership; the no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"New Albany Properties, Inc.",New Albany Properties Inc.; Ohio 710695,Ohio corporation / name-led property candidate,Ohio,710695,dead / dissolved,"475 Metro Place North, Dublin; later 41 S High St., 23rd Floor, Columbus",No parcel or deed verified,No Epstein role appears in the complete available packets,No Wexner role appears in the complete available packets,1987-1988,primary Ohio articles and dissolution images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,identity-guardrail / property follow-up,G257_1502;G532_1150;FINDING:14573;OH-SOS:728764:G532_0974,"Legally distinct from N.A. Property, Inc., Ohio 832364. Common name and counsel are leads only; the no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"New Albany Cardinal Associates, Inc.",New Albany Cardinal Associates Inc.,Ohio corporation / verified merger predecessor,Ohio,749169,dead / merged out,"41 S High St., Columbus; MEX status returned to 5906 E Dublin-Granville Rd., New Albany",No parcel or deed verified,No Epstein role appears in the available exact-charter or merger packets,New Albany Company received the processing document but was not a named merger constituent,1989-1995,primary available Ohio images and substantive merger certificate confirmed,Merged into Eastern Ohio Holding Company 1995-12-29; two earlier history images unavailable,confirmed successor-aware property pivot,G621_0906;5422_1190;5422_1201;FINDING:14571;FINDING:14646,"The substantive certificate, not the return block, proves the Eastern Ohio edge. Search Cardinal through the merger date and Eastern Ohio afterward."
"Autumn Acres, Inc.",Autumn Acres Inc.; Ohio 706250,Ohio corporation / merger survivor and property-successor candidate,Ohio,706250,dead / dissolved,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; generic merger succession only,No Epstein role appears in the reviewed articles or merger packet,No Wexner role appears in the reviewed articles or merger packet,1987-1990,primary Ohio articles and merger images confirmed; next-day dissolution image unavailable,Survived seven-company merger 1990-12-28; portal shows dissolution 1990-12-29,high-priority successor and disposition pivot,G290_1405; H052_1482; G052_1517; FINDING:14575,Any predecessor property vested in Autumn by operation of law. The unavailable next-day dissolution prevents identifying the ultimate asset recipient.
"Blackford Investments, Inc.",Blackford Investments Inc.; Ohio 709782,Ohio corporation / investment-name property candidate,Ohio,709782,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete articles and dissolution packets,No Wexner role appears in the complete articles and dissolution packets,1987-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G290_1412;G532_0982;FINDING:14576;OH-SOS:728764:G532_0974,"Law-firm officers and directors do not establish beneficial ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Blendon Farms, Inc.",Blendon Farms Inc.; Ohio 711268,Ohio corporation / land-name property candidate,Ohio,711268,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete articles and dissolution packets,No Wexner role appears in the complete articles and dissolution packets,1987-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G290_1424;G532_0988;FINDING:14576;OH-SOS:728764:G532_0974,"Law-firm officers and directors do not establish beneficial ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
