holder_id,business_name,license_numbers,reasons,state,note
BH-ec2cabf53999c9af,"MOHAMMAD ALAM, INDIVIDUAL","[""LB-99624""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-f4b213566989a7c8,"Nguyenvu Pham Vo, Individual","[""LB-139775""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-b9c899a1aa063cab,"NINO INDICIANI, INDIVIDUAL","[""LB-99602""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-57760b971d839d23,"RAFAEL E. VERAS, INDIVIDUAL","[""LB-99601""]","[""explicit_individual_label_requires_person_name_resolution""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-8ded78f64294073e,REINA HENRIQUEZ,"[""LB-99862""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-b2f4b2723680d03e,RICHARD M. TRAVAGLIONE,"[""LB-99705""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-d2adab0ce855d326,Scire Fruit,"[""LB-476651""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-959faa58a7632b32,TESORITO MARKET LIMITED PARNERSHIP,"[""LB-102008""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-b87d65d0288054fe,THE TWELVE BENS,"[""LB-98888""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
BH-5e008f9950e623af,URSULA IMBRIANO & ANTHONY IMBRIANO,"[""LB-99722""]","[""organization_form_not_explicit_person_or_trade_name_review""]",needs_review,Organization-query completion does not rule out a separately indexed individual debtor or partnership member.
