event_id,source_id,license_num,license_number_as_printed,license_id_missing,decision_date,event_type,action_subtype,outcome,outcome_text,board_granted_application,referenced_approval_date,transferor,transferor_dba,transferee,transferee_dba,licensee_heading,pledge_recipient,from_address,to_address,source_url,source_page_url,page_start,page_end,item_number,ambiguity_notes
BLB-2024-02-01-P-17,BLB-2024-02-01,LB99431,LB-99431,False,2024-02-01,license_pledge,pledge_application_disposition,granted,Granted,True,,Casa Cana Restaurant LLC,Casa Cana,"CFH 1234 Soldiers Field Road, LLC",Craft Food Halls,,"TDC 1234 Liquor, LLC","1234 Soldiers Field Rd, Brighton, MA 02134","1234 Soldiers Field Rd, Brighton, MA 02134",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=8,8,8,17,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-01-T-17,BLB-2024-02-01,LB99431,LB-99431,False,2024-02-01,license_transfer,transfer_application_disposition,granted,Granted,True,,Casa Cana Restaurant LLC,Casa Cana,"CFH 1234 Soldiers Field Road, LLC",Craft Food Halls,,"TDC 1234 Liquor, LLC","1234 Soldiers Field Rd, Brighton, MA 02134","1234 Soldiers Field Rd, Brighton, MA 02134",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=8,8,8,17,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-01-P-18,BLB-2024-02-01,LB99415,LB-99415,False,2024-02-01,license_pledge,pledge_application_disposition,granted,Granted,True,,"Pho on Thayer, LLC",Pho on Thayer,Nowon Seaport LLC,Nowon Seaport,,Northern Bank,"11 Thayer St, Roxbury, MA 02118","117 Seaport Blvd, Boston, MA 02110",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=9,9,9,18,[]
BLB-2024-02-01-T-18,BLB-2024-02-01,LB99415,LB-99415,False,2024-02-01,license_transfer,transfer_application_disposition,granted,Granted,True,,"Pho on Thayer, LLC",Pho on Thayer,Nowon Seaport LLC,Nowon Seaport,,Northern Bank,"11 Thayer St, Roxbury, MA 02118","117 Seaport Blvd, Boston, MA 02110",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-1-24_3.pdf#page=9,9,9,18,[]
BLB-2024-02-08-P-7,BLB-2024-02-08,,,True,2024-02-08,license_pledge,pledge_application_disposition,granted,Granted,True,,"H and M Restaurant, Inc.",Sofia Italian Steakhouse,"VFW Parkway Restaurant Operator, LLC.",Sofia Italian Steakhouse,,HarborOne Bank,"1430 VFW Parkway, West Roxbury, MA 02132","1430 VFW Parkway, West Roxbury, MA 02132",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf#page=5,5,5,7,"[""The source item omits a Boston LB license number; not inferred from another roster or document."", ""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-08-T-7,BLB-2024-02-08,,,True,2024-02-08,license_transfer,transfer_application_disposition,granted,Granted,True,,"H and M Restaurant, Inc.",Sofia Italian Steakhouse,"VFW Parkway Restaurant Operator, LLC.",Sofia Italian Steakhouse,,HarborOne Bank,"1430 VFW Parkway, West Roxbury, MA 02132","1430 VFW Parkway, West Roxbury, MA 02132",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf#page=5,5,5,7,"[""The source item omits a Boston LB license number; not inferred from another roster or document."", ""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-08-T-8,BLB-2024-02-08,LB99800,LB-99800,False,2024-02-08,license_transfer,transfer_application_disposition,granted,Granted,True,,Dig Inn Boylston Street LLC,Dig Inn Seasonal Market,121 Seaport Boulevard LLC,Museum of Ice Cream,,,"557 Boylston St, Boston, MA 02116","121 Seaport Blvd, Boston, MA 02110",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf#page=6,6,6,8,[]
BLB-2024-02-08-P-9,BLB-2024-02-08,LB153841,LB-153841,False,2024-02-08,license_pledge,pledge_application_disposition,granted,Granted,True,,Sahguna Inc.,Maverick Street Market,Krisha Corporation,Maverick Street Market,,Rockland Trust Company,"205 Maverick St, East Boston, MA 02128","207 Maverick Street, Boston, MA 02128",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf#page=6,6,6,9,[]
BLB-2024-02-08-T-9,BLB-2024-02-08,LB153841,LB-153841,False,2024-02-08,license_transfer,transfer_application_disposition,granted,Granted,True,,Sahguna Inc.,Maverick Street Market,Krisha Corporation,Maverick Street Market,,Rockland Trust Company,"205 Maverick St, East Boston, MA 02128","207 Maverick Street, Boston, MA 02128",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-8-24%20-%20very%20final%20draft.pdf#page=6,6,6,9,[]
BLB-2024-02-29-T-11,BLB-2024-02-29,LB99228,LB-99228,False,2024-02-29,license_transfer,transfer_application_disposition,granted,Granted,True,,T.G.I. Friday’s Inc.,TGI Friday’s,"Sugarloaf Hospitality, LLC.",TGI Friday’s,,,"1 Brigham Circle, Boston, MA 02115","1 Brigham Circle, Boston, MA 02115",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=7,7,7,11,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-29-T-12,BLB-2024-02-29,LB99052,LB-99052,False,2024-02-29,license_transfer,transfer_application_disposition,granted,"Granted
Should an application for a subsequent transfer not be filed within the next nine months, the
Board will schedule a hearing for a status update",True,,Somer Six Corporation,Paddy O’s,CRG License Holdings LLC,Paddy O’s,,,"33A Union Street, Boston, MA 02108","33A Union Street, Boston, MA 02108",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=7,7,7,12,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-29-P-13,BLB-2024-02-29,LB99060,LB-99060,False,2024-02-29,license_pledge,pledge_application_disposition,granted,Granted,True,,"Woods L Street Tavern, Inc.",Woods L Street Tavern,"Medico L Street Tavern, LLC.",L Street Tavern,,"Woods L Street Tavern, Inc.","658 E Eighth Street, South Boston, MA 02127","658 E Eighth Street, South Boston, MA 02127",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8,8,8,13,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-29-T-13,BLB-2024-02-29,LB99060,LB-99060,False,2024-02-29,license_transfer,transfer_application_disposition,granted,Granted,True,,"Woods L Street Tavern, Inc.",Woods L Street Tavern,"Medico L Street Tavern, LLC.",L Street Tavern,,"Woods L Street Tavern, Inc.","658 E Eighth Street, South Boston, MA 02127","658 E Eighth Street, South Boston, MA 02127",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8,8,8,13,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-29-P-14,BLB-2024-02-29,LB99309,LB-99309,False,2024-02-29,license_pledge,pledge_application_disposition,granted,Granted,True,,"Allston Restaurant Group, LLC",,LaLaLand LLC,Blondie's,,Allston Restaurant Group LLC,"458 Western Ave, Brighton, MA 02135","458 Western Ave, Brighton, MA 02135",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8,8,8,14,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-29-T-14,BLB-2024-02-29,LB99309,LB-99309,False,2024-02-29,license_transfer,transfer_application_disposition,granted,Granted,True,,"Allston Restaurant Group, LLC",,LaLaLand LLC,Blondie's,,Allston Restaurant Group LLC,"458 Western Ave, Brighton, MA 02135","458 Western Ave, Brighton, MA 02135",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8,8,8,14,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-02-29-P-15,BLB-2024-02-29,LB101579,LB-101579,False,2024-02-29,license_pledge,pledge_application_disposition,granted,Granted,True,,"Maryanne’s Saloon, LLC",Maryanne’s,Flour & Egg LLC,SJ’s,,OPG 745 TRS (DE) LLC,"4-8 Franklin Street, Allston, MA 02134","745 Atlantic Ave, Boston, MA 02111",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8,8,8,15,[]
BLB-2024-02-29-T-15,BLB-2024-02-29,LB101579,LB-101579,False,2024-02-29,license_transfer,transfer_application_disposition,granted,Granted,True,,"Maryanne’s Saloon, LLC",Maryanne’s,Flour & Egg LLC,SJ’s,,OPG 745 TRS (DE) LLC,"4-8 Franklin Street, Allston, MA 02134","745 Atlantic Ave, Boston, MA 02111",https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf#page=8,8,8,15,[]
BLB-2024-03-28-T-15,BLB-2024-03-28,LB99643,LB-99643,False,2024-03-28,license_transfer,transfer_application_disposition,granted,Granted,True,,"Mirage Charcoal Kabob, Inc.",Zen Restaurant,LZZ LLC,Zen Japanese Grill and Sushi Bar,,,"21A Beacon Street, Boston, MA 02108","21A Beacon Street, Boston, MA 02108",https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf#page=7,7,7,15,"[""Destination address carried from explicit same-location statement."", ""Later June 6 Old/New Business item 5 acknowledges notice that this purchase and sale agreement was voided and the parties mutually intended to revoke the transfer; do not present as completed sale.""]"
BLB-2024-03-28-T-16,BLB-2024-03-28,LB130749,LB-130749,False,2024-03-28,license_transfer,transfer_application_disposition,granted,Granted,True,,"Boston Dominican, Inc.",Punta Cana Market,"Romerito Liquors, Inc.",Punta Cana Market,,,"168 Belgrade Ave, Roslindale, MA 02131","168 Belgrade Ave, Roslindale, MA 02131",https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf#page=8,8,8,16,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-03-28-T-17,BLB-2024-03-28,LB99672,LB-99672,False,2024-03-28,license_transfer,transfer_application_disposition,granted,Granted,True,,"Fairouz Restaurant, Inc.",,311 Bos Inc.,311 Omakase,,,"5268 Washington Street, West Roxbury, MA 02132","605 Tremont Street, Boston, MA 02118",https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf#page=8,8,8,17,[]
BLB-2024-03-28-T-18,BLB-2024-03-28,LB99338,LB-99338,False,2024-03-28,license_transfer,transfer_application_disposition,granted,"Granted
Conditions: Roof deck to close at 1:00 AM; Second level patio to close at 12:00 AM",True,,903 Boylston Street LLC,,OSIB Boston Back Bay Operations LLC,citizenM Back Bay Hotel,,,"903 - 905 Boylston Street, Boston, MA 02115","408 Newbury Street, Boston, MA 02115",https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf#page=8,8,8,18,[]
BLB-2024-04-04-T-4,BLB-2024-04-04,LB99797,LB-99797,False,2024-04-04,license_transfer,transfer_application_disposition,granted,Granted,True,,"Fuente Cleaning Services, Inc.",Billares Colombia,ZAAKFL LLC,Billares Colombia,,,"28 Bennington St, East Boston, MA 02128","28 Bennington St, East Boston, MA 02128",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=4,4,4,4,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-T-5,BLB-2024-04-04,LB101895,LB-101895,False,2024-04-04,license_transfer,transfer_application_disposition,granted,Granted,True,,Next Corporation,OBD Liquors,732 Brigham Inc.,Brigham Liquors,,,"732 Huntington Ave, Mission Hill, MA 02120","732 Huntington Ave, Mission Hill, MA 02120",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=4,4,4,5,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-P-6,BLB-2024-04-04,LB99678,LB-99678,False,2024-04-04,license_pledge,pledge_application_disposition,granted,Granted,True,,"Blue Nile, Inc.",Blue Nile Restaurant,"Beza Mackenzie, LLC",Blue Nile,,"Blue Nile, Inc.","389 Centre St, Jamaica Plain, MA 02130","389 Centre St, Jamaica Plain, MA 02130",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=5,5,5,6,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-T-6,BLB-2024-04-04,LB99678,LB-99678,False,2024-04-04,license_transfer,transfer_application_disposition,granted,Granted,True,,"Blue Nile, Inc.",Blue Nile Restaurant,"Beza Mackenzie, LLC",Blue Nile,,"Blue Nile, Inc.","389 Centre St, Jamaica Plain, MA 02130","389 Centre St, Jamaica Plain, MA 02130",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=5,5,5,6,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-P-7,BLB-2024-04-04,LB102021,LB-102021,False,2024-04-04,license_pledge,pledge_application_disposition,granted,Granted,True,,"Commonwealth Market, Inc.",Tropical,Shippys Retail Inc.,Commonwealth Market,,Rockland Trust Company,"1090 Commonwealth Ave, Boston MA 02215","1090 Commonwealth Ave, Boston MA 02215",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=5,5,5,7,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-T-7,BLB-2024-04-04,LB102021,LB-102021,False,2024-04-04,license_transfer,transfer_application_disposition,granted,Granted,True,,"Commonwealth Market, Inc.",Tropical,Shippys Retail Inc.,Commonwealth Market,,Rockland Trust Company,"1090 Commonwealth Ave, Boston MA 02215","1090 Commonwealth Ave, Boston MA 02215",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=5,5,5,7,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-T-8,BLB-2024-04-04,LB102046,LB-102046,False,2024-04-04,license_transfer,transfer_application_disposition,granted,"Granted
The Board will schedule a hearing prior to the Licensee commencing operations to review the
updated floor plan and the security and operations of the Licensee",True,,"Metamorphosis, LLC",Metamorphosis,LM Wines and Spirits LLC,LM Wines and Spirits,,,"1153 Washington St, Mattapan, MA 02126","1153 Washington St, Mattapan, MA 02126",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=5,5,5,8,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-04-T-9,BLB-2024-04-04,LB99603,LB-99603,False,2024-04-04,license_transfer,transfer_application_disposition,deferred,Deferred to allow for completion of the community process,False,,Immersive Art Space Boston LLC,,"Post Road Company, LLC",Hill Kitchen,,,"130 Columbus Ave, Boston, MA 02116","39 Charles Street, Boston, MA 02114",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf#page=6,6,6,9,[]
BLB-2024-04-25-P-8,BLB-2024-04-25,LB99150,LB-99150,False,2024-04-25,license_pledge,pledge_application_disposition,granted,Granted,True,,"Flatbread Boston Landing, LLC",Flatbread Company,,,,Ice Box LLC,"76 Guest St, Brighton, MA 02135",,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf#page=5,5,5,8,[]
BLB-2024-04-25-T-14,BLB-2024-04-25,LB98912,LB-98912,False,2024-04-25,license_transfer,transfer_application_disposition,granted,"Granted
Condition: any subsequent management agreement or transfer at the same location requires a
community process at the discretion of the Board
The Licensee must provide a status update within six months should an application for a
subsequent transfer or management agreement not be filed with the Board",True,,"The Club at Boston College, Inc.",Boston College Club,"Lincoln Street Property Owner, LLC",,,,"100 Federal St, Boston, MA 02110","1 Lincoln Street, Boston, MA 02111",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf#page=7,7,7,14,"[""Destination address carried from explicit same-location statement.""]"
BLB-2024-04-25-T-15,BLB-2024-04-25,LB99580,LB-99580,False,2024-04-25,license_transfer,transfer_application_disposition,granted,Granted,True,,"North End Pomodoro of Boston, Inc.",Pomodoro,204 Hanover Corp.,North End Lobster Co.,,,"364 Hanover St, Boston, MA 02113","204 Hanover Street, Boston, MA 02113",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf#page=8,8,8,15,[]
BLB-2024-04-25-P-16,BLB-2024-04-25,LB101570,LB-101570,False,2024-04-25,license_pledge,pledge_application_disposition,granted,Granted,True,,"Nusret Boston, LLC",Nusret Steakhouse,Jewel Box LLC,Bon Mar,,BioMed Realty Holdings LLC,"100 Arlington St, Boston, MA 02116","601 Congress Street, Boston, MA 02210",https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf#page=8,8,8,16,[]
