name,category,flags,clean_pages,total_pages,noise_pct,findings_exact,findings_text,variants
Peggy Siegal,socialite,,4359,4391,0.7,0,15,Peggy Siegal; Peggy Siegall; peggy siegal; PEGGY SIEGAL
Gary Kerney,other,,4269,4271,0.0,0,1,Gary Kerney; Gary Kerne; Gary Kearney; gary kerney
Eva Andersson-Dubin,socialite,,4183,4195,0.3,13,44,Eva Dubin; Eva Andersson-Dubin; EVA ANDERSSON-DUBIN; ANDERSSON-DUBIN
Lawrence Krauss,academic,,4146,4244,2.3,0,6,Lawrence Krauss; Lawrence M. Krauss; Krauss Lawrence; Lawrence Kraus
Eric Roth,business,,4093,4101,0.2,0,1,Eric Roth; Eric H. Roth; ERIC H. ROTH; eric roth
Andrew Farkas,business,,3968,4023,1.4,10,26,"Andrew L. Farkas; Andrew Farkas; Farkas, Andrew L.; andrew farkas"
Tazia Smith,financial,,3820,3830,0.3,0,6,Tazia Smith; Tazla Smith; TAZIA SMITH; tazia.smith
Erika Kellerhals,legal,,3605,3648,1.2,32,66,Erika Kellerhals; Erika A. Kellerhals; ERIKA A. KELLERHALS; ERIKA KELLERHALS
Michael Wolff,other,,3469,3522,1.5,13,49,Michael Wolff; Michael Wolfe; micahel wolfe; Michael Wolf
Woody Allen,celebrity,,3281,3356,2.2,0,29,Woody Allen; woody allen; woody Allen; WOODY ALLEN
Peter Mandelson,politician,,3196,3211,0.5,0,12,PETER MANDELSON; Peter Mandelson; Lord Mandelson; peter mandelson
Larry Summers,politician,,3105,3173,2.1,26,37,Larry Summers; larry summers; Larry summers; Lawrence Henry Summers
Richard Joslin,other,,3037,3076,1.3,0,15,Richard Joslin; Rich Joslin; Richard J=slin; rich joslin
Jean Luc Brunel,other,,2945,2984,1.3,4,11,Jean Luc Brunel; Jean luc Brunel; Jean Luc Brunell; Jean-Luc Brunel
Steve Hanson,associate,,2863,2906,1.5,0,4,Steve Hanson; steve hanson; Hanson Steve; Steve Hansen
Faith Kates,business,,2859,2872,0.5,1,2,"Faith Kates; Faith Katesi; faith Kates; Kates, Faith"
Sultan Ahmed bin Sulayem,business,,2781,2806,0.9,16,36,Sultan Bin Sulayem; Sultan Ahmed Bin Sulayem; Sultan Bin Sulayemi; sultan bin sulayem
Daniel Sabba,,,2741,2743,0.1,0,3,Daniel Sabba; DANIEL SABBA; Daniel Sabb; Daniel Sabbba
Bradley Gillin,,,2648,2652,0.2,0,1,Bradley Gillin; Brad Gillin; Bradley GIllin; bradley.gillin
Janusz Banasiak,associate,,2617,2620,0.1,0,0,Janusz Banasiak; JANUSZ BANASIAK; Januiz Banasiak; JAMUSZ BANASIAK
Ian Osborne,,,2610,2642,1.2,26,59,Ian Osborne; ian osbourne; Ian Osbourne; lan Osborne
Eileen Alexanderson,,,2568,2577,0.3,0,8,Eileen Alexanderson; Eileen Alexanderason; eileen alexanderson; Eileen Alexandersson
A. de Rothschild -2,,,2560,2563,0.1,41,1,A. de Rothschild; A. de Rothschild-2; Mrs de Rothschild; Lord Rothschild
Lyn fontanilla,,,2530,2530,0.0,1,2,Lyn fontanilla; Lyn & Jojo fontanilla; Lyn Fontanilla; lyn fontanilla
Barnaby Marsh,other,,2432,2458,1.1,4,8,Barnaby Marsh; Barnaby March; barnaby marsh; Barnaby marsh
Brad Wechsler,,,2345,2360,0.6,0,12,Brad Wechsler; rad Wechsler; brad wechsler; Brad Wechslar
Bradley Edwards,legal,,2334,2421,3.6,6,12,Bradley J. Edwards; Brad Edwards; Bradley Edwards; BRADLEY J. EDWARDS
Joscha Bach,academic,,2225,2248,1.0,1,4,Joscha Bach; JOSCHA BACH; joscha bach; joshca bach
Jermaine Ruan,,,2220,2223,0.1,0,0,Jermaine Ruan; Jermaine A. Ruan; JERMAINE RUAN; Je=maine Ruan
Ariane de Rothschild,business,,2159,2172,0.6,26,57,Ariane de Rothschild; Ariane De Rothschild; ariane rothschild; Ariane Rothschild
Cynthia Rodriguez,,,2157,2160,0.1,0,10,Cynthia Rodriguez; cynthia.rodriguez; =ynthia Rodriguez; Cynthia Rodriguez'
Ehud Barak,politician,,2064,2112,2.3,8,56,Ehud Barak; ehud barak; Ehud Barack; chud barak
Nicole Junkermann,socialite,,2057,2064,0.3,1,16,Nicole Junkermann; Nicole Junkerman; NICOLE JUNKERMANN; Junkermann Nicole
Cashkim Bussue,,,1995,1995,0.0,0,0,Cashkim Bussue; Cashkim Bussu; Cas=kim Bussue; Cashki= Bussue
Jeanne Brennan,,,1995,1998,0.2,0,11,Jeanne Brennan; JEANNE BRENNAN; Joanne Brennan; Joanne Brennen
Scott Denett,,,1983,1998,0.8,0,0,Scott Denett; SCOTT DENETT; Scott Denetti; Scott Denet
Emad Hanna,other,,1973,1976,0.2,0,1,Emad Hanna; emad hanna; Emd Hanna; Emad Fakhry Hanna
Noam Chomsky,academic,,1964,1983,1.0,72,86,Noam Chomsky; noam chomsky; Noam Chomsk; Noa Chomsky
Richard Barnett,,,1938,1940,0.1,0,2,"Richard Barnett; Barnett, Richard; RICHARD BARNETT; Barnett/Richard"
Deepak Chopra,celebrity,,1915,1932,0.9,0,4,Deepak Chopra; Deepak Chopra MD; deepak chopra; depak chopra
Bebe Avdiu,,,1809,1810,0.1,1,12,"Bebe Avdiu; Avdiu, Bebe"
William J Doherty,,,1805,1807,0.1,0,1,William J Doherty; William Doherty III; William Doherty; William J. Doherty
Alison Nathan,legal,,1765,1799,1.9,0,0,Alison J. Nathan; ALISON J. NATHAN; Alison Nathan; Alison J Nathan
Rich Barnett,,,1756,1786,1.7,0,4,Rich Barnett; rich barnett; rich Barnett; Rich barnett
Thomas Pritzker,business,,1717,1738,1.2,3,24,Tom Pritzker; Thomas Pritzker; Thomas J. Pritzker; THOMAS PRITZKER
Luciano Jojo Fontanilla,staff,,1715,1715,0.0,0,1,"Luciano Fontanilla; Jojo(luciano) Fontanilla; Luciano A. Fontanilla, Jr.; LUCIANO FONTANILLA"
Stephen Hanson,,,1710,1714,0.2,0,1,Stephen Hanson; Ste=hen Hanson; Stephen P. Hanson; St=phen Hanson
Soon Yi,,,1709,1732,1.3,0,0,Soon Yi; soon yi; Soon yi; Soon- Yi
"Magliocco, Gina X",,,1677,1677,0.0,0,0,"Gina Magliocco; Gina X Magliocco; Magliocco, Gina X; GINA MAGLIOCC0"
Caroline Lang,celebrity,,1630,1647,1.0,1,1,"Caroline Lang; Lang, Caroline; Caroline Sophie Camille Lang; Lang Caroline"
Terje Rød-Larsen,political,,1625,1635,0.6,21,79,Terje Rod-Larsen; Terje Rød-Larsen; Rod-Larsen; Rød-Larsen
Justin Nelson,,,1593,1619,1.6,0,1,"Justin Nelson; Justin D. Nelson; Nelson, Justin D; Justin D Nelson"
Virginia Giuffre,other,,1581,1660,4.8,3,17,Virginia L. Giuffre; Virginia Roberts; Virginia Giuffre; Virginia Roberts Giuffre
Story Cowles,,,1574,1575,0.1,0,2,"Story Cowles; story cowles; Story CowLES; COWLES, STORY"
Valeria Chomsky,,,1562,1572,0.6,5,22,Valeria Chomsky; valeria chomsky; V=leria Chomsky; Valeri= Chomsky
Jane Doe (1-5),associate,,1557,1631,4.5,0,7,Jane Doe; Jane Doe #2; Jane Doe 1; Jane Doe #1
Nicholas Ribis,business,,1552,1558,0.4,12,20,Nicholas Ribis; Nicholas L.Ribis; Nick Ribis; Nicholas L. Ribis
Bobby Slayton Bobby,,,1546,1622,4.7,0,0,Bobby Slayton; Slayton Bobby; bobby slayton; bobby Slayton
Leon Botstein,academic,,1538,1583,2.8,0,4,Leon Botstein; leon bottstein; leon botsetin; leon botstein
John Brockman,other,,1524,1545,1.4,0,9,"John Brockman; john brockman; JOHN BROCKMAN; Brockman, John"
Laura Menninger,legal,,1521,1554,2.1,0,8,Laura A. Menninger; Laura Menninger; LAURA A. MENNINGER; LAURA MENNINGER
michael glidden,,,1515,1515,0.0,0,0,michael glidden; Michael Glidden; Mike Glidden; Michael J Glidden
JEFFREY S. PAGLIUCA,associate,,1456,1483,1.8,0,0,Jeffrey S. Pagliuca; Jeffrey Pagliuca; Jeff Pagliuca; JEFFREY S. PAGLIUCA
Martin Zeman,,,1442,1444,0.1,0,1,Martin Zeman; MARTIN ZEMAN; M Martha Zeman; Marina Zeman
Larry Delson,,,1409,1475,4.5,0,2,Larry Delson; larry delson; Larry Delsen; Larry delson
Brad-S-Karp,legal,,1382,1392,0.7,27,107,"Brad S. Karp; Brad S Karp; Brad Karp; Karp, Brad S"
Reid Hoffman,business,,1380,1442,4.3,1,22,Reid Hoffman; reid hoffman; ehud reid hoffman; Reed Hoffman
Tom Pritzker,business,,1338,1340,0.1,3,24,"Pritzker, Tom; tom pritsker; tom pritzker; Tom Pritsker"
Jean Luc,,,1314,1334,1.5,4,13,Jean Luc; jean luc; Jean luc; jean Luc
Francisco Villacis,associate,,1307,1307,0.0,0,1,FRANCISCO VILLACIS; Francisco Villacis; Francisco E Villacis; Francisco E Villicis
Roy Hodges,,,1307,1311,0.3,0,0,Roy Hodges; ROY CLIFTON HODGES; Roy & Stephanie Hodges; ROY HODGES
ION NICOLA,,,1303,1307,0.3,0,0,ion nicola; Ion Nicola; ION NICOLA; Mr Ion Nicola
Ariane Dwyer,,,1258,1258,0.0,0,0,Ariane Dwyer; Ari Dwyer; ARIANE DWYER; Arlane Dwyer
Steve Bannon,business,,1234,1261,2.1,23,60,Steve Bannon; steve bannon; Stephen K. Bannon; STEPHEN KEVIN BANNON
Mark Lloyd,associate,,1232,1243,0.9,0,1,Mark Lloyd; Mark LLOYD; mark lloyd; W. Mark Lloyd
DOMINIQUE LEIMER,,,1230,1230,0.0,0,0,DOMINIQUE LEIMER; LEIMER DOMINIQUE; DOUMINIQUE LEIMER
Mark Epstein,associate,,1221,1233,1.0,4,28,Mark L. Epstein; Mark Epstein; mark epstein; MARK EPSTEIN
"Halperin, Alan S",,,1208,1231,1.9,0,7,"Alan Halperin; Alan S Halperin; Alan S. Halperin; Halperin, Alan S"
Peter Thiel,business,,1206,1229,1.9,87,144,Peter Thiel; peter thiel; petr thiel; Peter thiel
Todd Meister,,,1206,1241,2.8,0,0,"Todd Meister; Meister, Todd; todd meister; Meister Todd"
Ramsey Elkholy,,,1177,1179,0.2,0,0,Ramsey Elkholy; ramsey elkholy; Ramsey ElKholy; Ramsey Elkhol
"Thomas Jr., Landon",,,1168,1191,1.9,10,35,"Landon Thomas; Landon Thomas, Jr.; Thomas Jr., Landon; Landon Thomas Jr."
Nathan Myhrvold,business,,1166,1190,2.0,0,9,Nathan Myhrvold; Nathan Mhyrvold; Myhrvold Nathan; Nathan P. Myhrvold
Sigrid McCawley,legal,,1152,1176,2.0,0,0,Sigrid McCawley; Sigrid S. McCawley; Sigrid Stone McCawley; Signid S. McCawley
Anthony Barrett,other,,1142,1161,1.6,1,9,Anthony Barrett; Barrett Anthony; anthony barrett; anthony barret
MARTIN/CRAIG H,,,1141,1152,1.0,0,0,Craig Martin; Craig H. Martin; CRAIG H MARTIN; Craig Martini
Mort Zuckerman,business,,1131,1176,3.8,21,5,Mort Zuckerman; Mortimer B Zuckerman; mort zuckerman; mort Zuckerman
CHRISTIAN R. EVERDELL,associate,,1130,1144,1.2,0,0,Christian R. Everdell; Christian Everdell; Christian R Everdell; Chris Everdell
James Ce,,,1122,1128,0.5,0,0,James Ce; james ce; Jame Ce; James ce
Ike Groff,,,1121,1140,1.7,0,1,Ike Groff; Ike Grof; Ike Groffi; ike groff Groff
Peter Attia,academic,,1115,1123,0.7,0,0,Peter Attia; peter attia; Dr. Peter Attia; Pe=er Attia
Bill Gates,business,,1114,1166,4.5,12,32,Bill Gates; bill gates; BILL GATES; Bill gates
Ada Clapp,,,1109,1112,0.3,0,8,Ada Clapp; ada clapp; Ada Clap; Ada Clappe
Tim Zagat,business,,1108,1139,2.7,0,0,Tim Zagat; tim zagat; Tim zagat; Kim Zagat
Mark Tollison,,,1091,1099,0.7,0,0,Mark Tollison; MARK TOLLISON; MARK EDWARD TOLLISON; Mark tollison
Paul Cassell,associate,,1083,1119,3.2,0,2,Paul G. Cassell; Paul Cassell; PAUL G. CASSELL; Paul G Cassell
JEFFREY EDWARD EPSTEIN,,,1075,1105,2.7,223,0,"JEFFREY EDWARD EPSTEIN; Jeffrey edward.epstein; Epstein, Jeffrey Edward; EPSTEIN, JEFFREY EDWARD"
"COLOM, Olivier",,,1070,1072,0.2,0,2,"COLOM, Olivier; Olivier COLOM; Olivier Colom; olivier colom"
Stephanie Remington,,,1062,1064,0.2,0,0,Stephanie Remington; tephanie Remington; Steph Remington; Step=anie Remington
Jack A. Goldberger,associate,,1054,1096,3.8,2,9,Jack A. Goldberger; Jack Goldberger; JACK A. GOLDBERGER; JACK GOLDBERGER
Bobbi C. Sternheim,associate,,1011,1024,1.3,0,0,Bobbi C. Sternheim; Bobbi Sternheim; BOBBI C STERNHEIM; BOBBI C. STERNHEIM
SHARI WAGNER,,,1005,1005,0.0,0,6,SHARI WAGNER; MARA WAGNER; HARI WAGNER; Shari Wagner
MARIA HORNAK,,,992,992,0.0,0,1,MARIA HORNAK; Maria Hornak; Maria A Hornak; MARILA HORNAK
Misha Gromov,,,987,988,0.1,0,7,Misha Gromov; misha gromov; Mikhail Gromov; Misha Gromovi
Dave Rodgers Dave,,,985,986,0.1,0,0,Dave Rodgers; DAVE RODGERS; Dave-Rodgers; dave rodgers
Steven Sinofsky,business,,984,998,1.4,0,4,Steven Sinofsky; Steve Sinofsky; steve sinofsky; Steve sinofsky
Roger Schank,,,980,1000,2.0,0,0,roger schank; Roger Schank; ROGER SCHANK; oger Schank
Jennie Saunders,associate,,973,984,1.1,0,2,Jennie Saunders; Bernie Sanders; jennie saunders; Jennie saunders
Adam Bly,,,970,985,1.5,1,2,Adam Bly; adam bly; ADAM BLY; Adam Bluy
Thomas Turrin,,,968,977,0.9,0,2,Thomas Turrin; Tom Turrin; Tom Turin; tom turrin
Larry Cohen,,,967,970,0.3,0,6,Larry Cohen; larry cohen; Larry (Cohen); Lawrence Cohen
Elen capri,,,958,959,0.1,0,0,Elen capri; Elen Capri; Elen caprii; Elen capr
Vijay-A Sawant,,,954,954,0.0,0,1,Vijay-A Sawant; Vijay Sawant; Vijay A Sawant; VIJAY-A Sawant
Davide-A Sferrazza,,,945,945,0.0,0,1,Davide-A Sferrazza; Davide Sferrazza; Davide A Sferrazza; Davide A. Sferrazza
Barry Josephson,celebrity,,942,948,0.6,0,0,Barry Josephson; barry josephson; JE Barry Josephson; Barry=Josephson
Alireza Ittihadieh,,,941,942,0.1,0,1,Alireza Ittihadieh; Alireza ITTIHADIEH; Alireza Ittihadi; Alireza ittihadieh
Gina M Swetra,,,936,936,0.0,0,2,Gina M Swetra; Gina Swetra; GINA M SWETRA; Gina M. Swetra
Stephanie Hodges,,,931,935,0.4,0,0,Stephanie Hodges; Steph Hodges; STEPHANIE HODGES; STEPHANIE MICHELLE HODGES
JOHN CHRISTENSEN,,,928,932,0.4,0,0,John Christensen; JOHN CHRISTENSEN; John Christenson; ohn Christensen
Kyle reavis,,,919,919,0.0,0,0,Kyle reavis; Kyle Reavis; Kyle W Reavis; Kyle W. Reavis
Danny Hillis,academic,,916,936,2.1,0,6,Danny Hillis; Hillis Danny; W. Daniel Hillis; danny hillis
Lynn Fontanella,other,,915,916,0.1,0,0,Lynn Fontanilla; Iyn Fontanilla; Lynn fontanilla; Lynn and Jojo Fontanilla
"Wanek, Todd R.",,,905,905,0.0,16,20,TODD R WANEK; TODD R. WANEK; TODD & KAREN WANEK; TODD R. WANEK AND KAREN A. WANEK
Gedeon Pinedo,,,904,904,0.0,0,0,Gedeon Pinedo; Gideon Pinedo; Gedion Pinedo; Gedson Pinedo
Xavier Avila,,,904,904,0.0,0,1,Xavier Avila; Xavier Avil; Javier Avila; Xavier Avilla
Brock Pierce,business,,901,935,3.6,0,9,Brock Pierce; Brock pierce; brock pierce; Brick pierce
*soon yi previn*,other,,896,896,0.0,0,3,soon yi previn; Soon Yi Previn; Soon-Yi Previn; Soon-Yi Farrow Previn
Jane Doe No. 2-7,associate,,893,922,3.1,0,0,Jane Doe No. 2; Jane Doe No. 3; Jane Doe No. 4; Jane Doe No. 5
Brigid Macias,,,889,894,0.6,0,8,Brigid Macias; Bridgid Macias; Brigit Macias
Prince Andrew,royalty,,878,1063,17.4,1,33,Prince Andrew; prince andrew; prince Andrew; Prince andrew
Carluz Toylo,other,,872,889,1.9,0,0,CARLUZ TOYLO; Carluz Toylo; Carluz N. Toylo; CARLIZ TOYLO
Barry J. Cohen,,,869,873,0.5,0,7,Barry J. Cohen; Barry Cohen; barry cohen; BARRY J. COHEN
Alison Moe,legal,,865,873,0.9,0,1,Alison Moe; Alison Gainfort Moe; ALISON MOE; Allison Moe
NANCY AND MICHAEL DEVANE,,,862,862,0.0,0,4,NANCY AND MICHAEL DEVANE; NANCY DEVANE; ANNA DEVINE; Ann Daphne
Richard Merkin,,,860,865,0.6,0,2,Richard Merkin; Dick Merkin; dick merkin; Dick MERkin
Rosalyn Fontanilla,,,839,839,0.0,0,0,Rosalyn Fontanilla; ROSALYN FONTANILLA; ROSALYN S FONTANILLA; Rosalyn S. Fontanilla
Sonam Dema,,,832,833,0.1,0,0,Sonam Dema; Dema Sonam; SONAM DEMA
george church's,academic,,831,850,2.2,0,1,George Church; george church; Dr. George Church; George church
Alan Dershowitz,legal,,825,935,11.8,2,10,Alan Dershowitz; Alan M. Dershowitz; ALAN DERSHOWITZ; Alan M Dershowitz
Nili Priell Barak,,,825,826,0.1,0,5,Nili Priell Barak; Barak Nili Priell; Barak Priell Nili; Nili Barak Priell
Katherine Keating,,,825,832,0.8,0,0,Katherine Keating; Catherine Keating; katherine keating; Katherin Keating
Natasha Molotkova,,,820,821,0.1,0,0,Natasha Molotkova; Natasha (Natasha) Molotkova; Natasha) Molotkova
Jj Litchfield,,,817,825,1.0,0,0,Jj Litchfield; JJ Litchfield; Ji Litchfield; jj Litchfield
Liam Osullivan,,,811,811,0.0,0,2,Liam Osullivan; Liam Osuilivan; Liam Osullivani; Liam Osulliven
Francis Derby,,,810,810,0.0,0,0,Francis Derby; francis derby; Francis J. Derby; Frances Derby
Sarah Kellen Sarah,enabler,,808,835,3.2,0,9,Sarah Kellen; SARAH KELLEN; Sara Kellen; Sarah Kellen Vickers
Daniel Siad,other,,803,816,1.6,0,0,Daniel Siad; Daniel Amar Siad; daniel siad; Daniel Siadi
Amy Dempsey,,,802,802,0.0,0,0,"Amy Dempsey; Amy Claire Dempsey; amy dempsey; Dempsey, Amy"
Maurene Comey,legal,,796,805,1.1,0,2,"Maurene Comey; Maureen Comey; MAURENE COMEY; Comey, Maurene"
Martin Weinberg,legal,,791,813,2.7,1,9,Martin G. Weinberg; Martin Weinberg; Marty Weinberg; Martin G Weinberg
Mortimer B=Zuckerman,,,783,786,0.4,21,24,Mortimer Zuckerman; Mortimer B=Zuckerman; Mortimer B= Zuckerman
Joshua Shoshan,,,780,780,0.0,0,0,Joshua Shoshan; Josh Shoshan; JOSHUA SHOSHAN; joshua shoshan
Ken Starr,legal,,779,818,4.8,26,50,"Ken Starr; Kenneth Starr; Starr, Ken; ken starr"
Bob Caffrey,,,775,780,0.6,0,0,Bob Caffrey; Robert Caffrey; Bob Caffrey Caffrey; bob Caffrey
Soon-Yi Allen,,,774,777,0.4,0,3,Soon-Yi; Soon-Yi Allen; Soon-yi; soon-yi
Mark Tramo,academic,,761,778,2.2,0,0,Mark Tramo; Mark Jude Tramo; MARK TRAMO; Mark Tramo MD PhD
Valdson Cotrin,associate,,761,762,0.1,0,1,Valdson Cotrin; valdson cotrin; Valdson Cotrini; VALDSON COTRIN
Lara Elizabeth Pomerantz,associate,,758,764,0.8,0,0,Lara Pomerantz; Lara Elizabeth Pomerantz; LARA POMERANTZ; Lara E. Pomerantz
Caroline Kitidis,,,758,759,0.1,0,3,Caroline Kitidis; Caroline V. Kitidis; Caroline Kididis; Caroline Kitiidis
Al Seckel,associate,,757,767,1.3,0,1,Al seckel; Al Seckel; Al Seckle; Al seckell
Nav Gupta,,,755,755,0.0,0,0,Nav Gupta; nav gupta; Mav Gupta; Nav Gupt
Joe Pagano,other,,753,766,1.7,1,2,Joe Pagano; joe pagano; Joe Paggano; JOE PAGANO
Joshua Cooper Ramo,business,,753,760,0.9,0,0,Joshua Cooper Ramo; Joshua Ramo; Josh Cooper Ramo; joshua cooper ramo
Leo Loking,,,751,751,0.0,0,0,Leo Loking
Vinit Sahni,,,751,752,0.1,0,0,Vinit Sahni; vinit sahni; Vinit Sahn; Su=an
Catherine Luiggi,,,748,749,0.1,0,0,Catherine Luiggi; Catherine Susser Luiggi; Catherine Susser Luigi; Catherine Luigi
Vincenzo Iozzo,,,741,741,0.0,33,35,Vincenzo Iozzo; Vincenzo Iozz; vincenzo Iozzo; vincenzo iozzo
Daphne Cales,,,738,738,0.0,0,4,Daphne Cales; Daphne Calis; Daphne Calos; Daphone Cales
"Moskowitz, Dr. Bruce",other,,730,730,0.0,0,0,Bruce Moskowitz; Dr. Bruce Moskowitz; Bruce Moscowitz; Bruce W. Moskowitz
Richard Saul Wurman,,,726,733,1.0,0,0,Richard Saul Wurman; RICHARD SAUL WURMAN; Ricky Wurman; rich wurman
Aracely Sanchez,,,720,720,0.0,0,1,Aracely Sanchez; Araceley Sanchez; aracely.sanchez; ARACELY SANCHEZ
Jack Scarola,legal,,716,740,3.2,0,0,Jack Scarola; JACK SCAROLA; John Scarola; Jack Scoral
MYLA TRESTIZA,,,710,711,0.1,0,0,MYLA TRESTIZA; Myla Trestiza; Myla Lacson Trestiza; MYLA LACSON TRESTIZA
Bill Clinton,politician,,705,879,19.8,0,20,Bill Clinton; William Jefferson Clinton; bill clinton; BILL CLINTON
Greg Wyler,other,,698,701,0.4,0,0,Greg Wyler; greg wyler; Gregory Thane Wyler; GREG WYLER
Donald Trump,politician,,684,914,25.2,2,36,Donald Trump; Donald J. Trump; DONALD TRUMP; Donald J Trump
Chip Packard,,,681,682,0.1,0,1,Chip Packard; 'Chip Packard'; chip.packard
"Webb, Amy",,,681,682,0.1,0,0,AMY WEBB; Amy Webb; Amy E Webb; A.my F Webb
Doug Schoettle,other,,678,680,0.3,0,0,Doug Schoettle; Douglas Schoettle; DOUG SCHOETTLE; DOUGLAS SCHOETTLE
lawrence delson,,,678,678,0.0,0,0,lawrence delson; Lawrence Delson; Lawrence delson; lawre=ce delson
David Blaine,celebrity,,671,706,5.0,0,2,David Blaine; david blaine; DAVID BLAINE; Neil-David Blaine
Cyril E King,,,671,671,0.0,0,3,Cyril E King; Cyril E. King; CYRIL E. KING; CYRIL E KING
Alan Dlugash,,,664,676,1.8,0,2,"Alan Dlugash; Dlugash, Alan; Alan J. Dlugash; Alan J Dlugash"
John P. Woods,,,656,656,0.0,0,1,John P. Woods; John Woods; john woods; John woods
Stephen Kosslyn,academic,,654,666,1.8,0,1,Stephen M. Kosslyn; Stephen Kosslyn; Steve Kosslyn; Kosslyn Stephen
Jonathan Farkas,,,653,655,0.3,0,3,Jonathan Farkas; JONATHAN FARKAS; jonathan farkas; Jonathan farkas
Carlos Rodriquez,staff,,649,649,0.0,0,0,Carlos Rodriguez; Carlos rodriguez; LSJ Carlos Rodriguez; Carlos Rodriquez
Terry B= Kafka,,,647,660,2.0,0,0,Terry Kafka; Terry B. Kafka; Kafka Terry B.; TERRY KAFKA
Shirley V. Skipper-Scott,associate,,645,648,0.5,0,0,"Shirley V. Skipper-Scott; Shirley Skipper-Scott; Shirley Skipper Scott; Skipper-Scott, S."
Danny Vicars,staff,,639,639,0.0,0,0,Danny Vicars; Danny Vickers; DANNY VICARS; LSJ Danny Vicars
Gino Yu,,,637,643,0.9,0,0,Gino Yu; gino yu; Guno Yu; ino Yu
