family_id,member_count,max_score,priority,representative_ref,dates,member_refs,evidence_types,signals,preview
draftfam-0326bbf1bf67,2,75,medium,EFTA01960298,;Wed 8/28/2013,EFTA00872876;EFTA01960298,self_addressed,explicit_draft_language,"We are agreed . 100 % FM . 50% RG.. jan 1 finish,date , boris sends email next week, signing next week, payment method and schedule to be worked out for RG. no reference to last day in public email. larry to mark up draft ********************************************************************************"
draftfam-d5b840f04bb5,1,75,medium,EFTA00901814,,EFTA00901814,self_addressed,formal_salutation,"dear mr epstein, I think you should consider re -imbursing the foundation for the cost of the so called mindshift conference. , It was without a doubt the worst meeting we have enver funded. Murry gave a boring many time heard lecture, three people actually slept throughit . paul talked about aid to africa.if mumbling could be considered talking. , kathyrn spoke repeatedly about her life, her child, boring, Frances Arnold was unidimensional. , not fun , not participating, the focus was on the di"
draftfam-a2080f82b707,2,74,medium,EFTA02504403,";April 16, 2015",EFTA00859224;EFTA02504403,draft_handoff,explicit_draft_language;handoff_language;pressure_language,"Inbox Darren Indyke 11:33 AM (56 minutes ago) to me Please see below a prop=sed draft letter from you to Michael. Settlement Discussions Michael, Thanks for your time yesterday . to hopefully w=rk towards a resolution to put this matter in the past I thoug=t it would be helpful to at least agree on the facts. so if not too much t=oublethere are a few points that I would like to understand 1. You told me that you won the arbitration, ? I unders=ood that after your lawyers sent an arbitration dema"
draftfam-d94a575fa444,1,74,medium,EFTA02655746,"March 25, 2017",EFTA02655746,self_addressed,explicit_draft_language;pressure_language,"Forwarded messagFrom: Jeffrey E. Date: Sun, Mar 13, 2016 at 7:55 AM To: =elanie Spinella The fire drill=documents received should be the final nail in the coffin of A=an and Ada, . It is inexcusable, . lud=icrous and in brads words ""insane ""or yours, "" =nexplainable"" that the two people that you refer to as your es=ate attnys, NEVER EVER took the time to actually read the documents that have the biggest efffect on your family and estate upon death o= disablity, its impossible.!!! IMPOSSIBLE. aft"
draftfam-15d256544776,1,73,medium,EFTA01731558,"January 10, 2015",EFTA01731558,self_addressed,public_statement_language,"The press versions of sex slave sex ring, underage sex . are all fictions meant to sell newspapers. nothing more. Mr epstein never testified, never, , his lawyers never e=plained the facts they merely argues whether the law applied. Why, Jeffrey never left his house, he did not troll on t=e internet. he did not drive around looking for girls. Being what s=me might call a health nut, He has never had a drink or drug. =E he did 90 minutes of yoga every day or resistance training, he would then ans"
draftfam-4ac9448eb1df,1,73,medium,EFTA01038410,,EFTA01038410,self_addressed,public_statement_language,"ubject) From: JMJE Sent 08/10/2017 11 hours a o To: Hi Jeffrey, I've been thinking about you as I sit in Delta's lounge waiting for my delayed flight to LA. The conversation about the math on your blackboard reaffirmed my intuition about you and put you back on my mind. I thought that maybe my email had waved you off this line of inquiry. That would have been as fine an outcome as not, because from a personal perspective I think that the most important thing for you is to stop wasting time on th"
draftfam-576152f9e05c,1,73,medium,HOUSE_OVERSIGHT_023054,2/1/2019,HOUSE_OVERSIGHT_023054,self_addressed,public_statement_language,Importance: High prostitution is a state crime. never before a man in his own house charged with soliciting. ! in Florida first offenders are required to take a sex ed class and get pre trial diversion. no criminal record. . there is a felony solicitation for the THIRD offense. . A grand jury was held and they found me guilty of one count of felony solicitation. because there were many girls. mandatory diversion. sentence. !!!!. a grand jury . ususally only for capital murder cases. . Recarey an
draftfam-748ac31dbba5,1,73,medium,HOUSE_OVERSIGHT_030245,7/17/2016,HOUSE_OVERSIGHT_030245,self_addressed,public_statement_language,"Importance: High 1. all the girls discussed in the press , came to the house , to give erotic massages. each and every girl , each time, came in exchange for money. many of the girls interviewed were in their mid twenties early thirties. no searching for underage girls. many of the girls worked in the local massage parlors. ( advertised everyday in the palm beach papers, referred in the local vernacular to "" jack shacks"". 5 within 4 miles of the intl airport. ) or strip clubs.. ( both of the gir"
draftfam-2efd87b401d0,4,70,medium,EFTA00828368,,EFTA00815952;EFTA00828368;EFTA00828483;EFTA00837830,draft_handoff;self_addressed;self_copy_with_others,explicit_draft_language;handoff_language,"Attachments: Black_Family_Partnersn Response_to_IRS_Questions_.pdf Forwarded message From: Jeffrey E. leevacation@gmail.com> Date: Sat, Apr 30, 2016 at 8:05 AM Subject: Fwd: Valuation Discount To: Jeffrey Epstein Leon please read the attached , see if you can understand it !!!. lye asked for a re-do. . If you are quarterbacking ,ok with me. just let everyone know. Laying the blame on Alan , and / or me for the outrageous incompetence in your family office is unfair. Alans words "" but I was told "
draftfam-84f505426ccc,3,70,medium,EFTA02477852,";April 7, 2018;March 25, 2017",EFTA00837814;EFTA02477852;EFTA02655768,self_addressed;self_copy_with_others,explicit_draft_language,"---------- Forwarded message ---------- From: jeffrey E. Date: Mon, Mar 21, 2016 at 4:17 AM Subject: To: =elanie Spinella glad to see =ou are personally on the mend - as well as the fence. -- As you know i dread money discussions w=th you- however -we should address the issue of what you would like to do moving forward. re- do famil= office, accounting trusts, estate and apollo agreements. Along with your "" payment "" last year we agreed. no further obligati=ns on each side. yes, i continued to m"
draftfam-5933a7918d76,2,70,medium,EFTA01132540,,EFTA00975749;EFTA01132540,self_addressed,explicit_draft_language,"Attachments: img-705120530-0001.pdf Forwarded message From: Eileen Alexanderson Date: Wed, Jul 11, 2012 at 5:02 AM Subject: Fw: follow up To: ""jeevacation@gmail.com"" leevacation®gmail.com> Original Message From: Eileen Alexanderson Sent: Thursday, July 05, 2012 12:09 PM To: Jeffrey Epstein (jeevacation®gmail.com) Subject: follow up Jeffrey, thinking back through dialogs with Carlyn & Elyse and looking at some of my old notes from those dialogs that relate to our conversation this morning I offer"
draftfam-745bc6ba13da,2,70,medium,EFTA00986765,,EFTA00986765;EFTA01197282,draft_handoff,explicit_draft_language;handoff_language,", Eileen Alexanderson Subject: Fwd: FW: Scan from a Xerox Color Date: Wed, 09 Apr 2014 15:48:23 +0000 Attachments: img-409110700-0001.pdf Forwarded message From: Melanie Spinella Date: Wed, Apr 9, 2014 at 11:22 AM Subject: FW: Scan from a Xerox Color To: Jeffrey Epstein Leon asked me to send this to you Original Message From: Color 560 [mailto:NY_43_XRX_MAILRO0M BW®apollolp.com] Sent: Wednesday, April 09, 2014 11:07 AM To: Melanie Spinella Subject: Scan from a Xerox Color Please open the attache"
draftfam-12a2388594be,1,70,medium,EFTA01051540,,EFTA01051540,self_addressed,explicit_draft_language,"Attachments: DRAFT - GIFT TAX RETURN - 2015.PDF _ _ _ _ _ _ Inline-Images: 2015_ipa100_web-147x150260e.png; rem-newlogo_sm4860.png; primeglobal_color blktext_tagline21dejpg Forwarded message --- From: Jeffrey E. leevacation@gmail.com> Date: Tue, Apr 5, 2016 at 6:06 AM Subject: Fwd: DRAFT FOR YOU REVIEW To: Melanie Spinella AMMIa> Forwarded message From: Thomas Turrin Date: Mon, Apr 4, 2016 at 8:02 PM Subject: DRAFT FOR YOU REVIEW To: ""jeffrey E."" Jeffrey, The draft of the gift tax return is atta"
draftfam-3d886ddd8cab,1,70,medium,EFTA00968321,,EFTA00968321,draft_handoff,explicit_draft_language;handoff_language,"> Subject: Re: TechNo Mad system final order Date: Tue, 27 Aug 2013 16:11:31 +0000 ok On Tue, Aug 27, 2013 at 12:10 PM, Lvjet c wrote: Jeffrey, Techno Mad speaker system you approved was $14,917.76 (I'd like your approval for additional $2,212.17 which includes Crossover, EQ, Power conditioner, equip rack),. TOTAL SYSTEM Cost with Shipping to West Palm Beach FL $17,129.93 I made good contact with an audio File that sold the TechnoMad speakers,. I assume the source for music payback on the Techno"
draftfam-68056061acab,1,70,medium,EFTA02308919,"July 8, 2018",EFTA02308919,self_copy_with_others,explicit_draft_language,"kitchen cabinets. =appliances. banquet. table bases. oven color=. tv gone. wall made whole b=ats permits cable. dock construction. quonset huts. brice cottage =hris cottage? generator shed cars, truck damage= new suburban arriving phones internet generator rebuilt Isj. purchased Isj r/o . purchase gsj, upgrade Isj trees courtyar=, surround . can we transplant. from gsj maste= bed terrace extension solar lights both islands libra=y rug master bath shower temp control. tiles f=oor dock planters st"
draftfam-8c1654a28d58,1,70,medium,EFTA01060540,,EFTA01060540,draft_handoff,explicit_draft_language;handoff_language,">, ann rodriquez , Darren Indyke Good morning & Happy Thanksgiving. Just a head up — we can expect that DPNR will arrive on island on 12/2 to ensure that the beach bar has been removed and that the driveways have been ripped up. I would hope that JP will call in advance to advise us, as he indicated he would do going forward. My hope is that there will be no work being done anywhere on the island. Erika A. Kellerhals Member Kellerhals Ferguson Kroblin PLLC Royal Palm Professional Building 9053 E"
draftfam-9411acfa55a6,1,70,medium,EFTA00959943,,EFTA00959943,draft_handoff,explicit_draft_language;handoff_language,"Ina> Subject: first draft, conclusion and recommendaitons to follow Date: Sun, 05 May 2013 02:15:52 +0000 Contacts: Over 5 days, between 27 April and 1 May, met enough sources to acquire a fairly clear picture of the present state of play. These contacts/discussions included non-official sources (from FATA tribal areas as well as Frontier areas) in Peshawar, the seat of both the tribal FATA Secretariat as well as the Provincial Govt; and official sources in the national capital Islamabad -- incl"
draftfam-c50529baebeb,1,70,medium,EFTA00822267,,EFTA00822267,self_addressed,explicit_draft_language,"Forwarded message --- From: Jeffrey E leevacation@gmail.com> Date: Wed, Aug 3, 2016 at 4:59 PM Subject: Fwd: Privileged and Confidential To: Jeffrey Epstein Forwarded messa e From: Darren Indyke Date: Wed, Aug 3, 2016 at 2:21 PM Subject: Fwd: Privileged and Confidential To: Jeffrey Epstein Re: Levitection. As I indicated previously, the terms that were initially presented to us in a draft term sheet are summarized in my June 22 email to you below. There are changes from the term sheet described "
draftfam-dd0535d08f35,1,70,medium,EFTA02475429,"April 7, 2018",EFTA02475429,self_addressed,explicit_draft_language,"Forwarded message == From: Jeffrey E. Date: Thu, Oct 1, 2015 at 11:03 PM Subject: Fwd: =o: Melanie Spinella to refresh your recolleci=n, as 4 states. 40 a year for three years. as i said today. . the other was in addtion as you recalForwarded message == From: Jeffrey Epstein 1. 80 percent of contracted job is accomplished, now drafting ,si=ning and few critical decisions on your part still await , will fill in ne= blanks, 1, how much of upside to kids., 2, protections. 3 allocations. 4. charitib"
draftfam-fdccbed0cd9d,1,70,medium,EFTA00827093,,EFTA00827093,self_addressed,explicit_draft_language,"Attachments: Draft_5.9.16.pdft Draft_5.9.16_Part_2.pdf; KKJ_-_Estate_Planning.pdf; Deed_of Gift_of Tangible_Personal_Property.pdf; Health_Care_Proxy.pdf Forwarded message From: Joshua Schmell Date: Mon, May 16, 2016 at 5:20 PM Subject: re: Peggy Estate Documents To: ""jeevacation@gmail.com"" Cc: Peggy Siegal Jeffrey: Attached is a draft of Peggy's estate documents. Please review and let us know your thoughts. Thanks. L. Joshua Schmell, C.P.A. ALTMAN, GREENFIELD & SELVAGGI Certified Public Accounta"
draftfam-060c70572cde,16,69,medium,EFTA00837114,";2018-04-07;April 7, 2018;December 29, 2015;February 16, 2018;January 6, 2016;September 13, 2016;September 18, 2016",EFTA00815987;EFTA00818010;EFTA00818732;EFTA00837114;EFTA00837349;EFTA00837397;EFTA00837400;EFTA00837736;EFTA00880383;EFTA02451672;EFTA02451951;EFTA02476964;EFTA02476981;EFTA02477543;EFTA02477976;EFTA02523686,self_addressed;self_copy_with_others,pressure_language,"congragulations Transaction complete ! When we had our meeting in your home in Bedford. You asked me for my help. I told you multiple times that i thought it was a very bad idea, in that I preferred to have no financial interactions. I dont have many friends and didnt want money to interefer with our unique relationship. For five years you had the kind but goofy Eileen Alexandersson as the sole manager of your accounting , legal, investments. reporting, trusts etc. When I told you in no uncertai"
draftfam-231cb8191082,6,69,medium,EFTA01051577,,EFTA00837953;EFTA00838060;EFTA01037764;EFTA01051577;EFTA01062054;EFTA01062060,self_addressed;self_copy_with_others,handoff_language;pressure_language,"Forwarded message ----- From: Jeffrey E leevacation@gmail.com> Date: Tue, Nov 15, 2016 at 6:13 AM Subject: Fwd: To: Melanie Spinella Leon, Congragulations on biting the bullet. at least 18 months late , but I m encouraged and glad for you. When you interviewed Brad two years ago you asked that i not tell him what a disaster lay before him. what would you like me to tell Barry? There is a HUGE amount of work to be done in the next 9 -12 months. mostly the exact same work that i outlined in my ema"
draftfam-1c8a6951471d,4,69,medium,EFTA02660332,";February 16, 2017",EFTA01054255;EFTA02659736;EFTA02659774;EFTA02660332,self_addressed,pressure_language,"transaction complete.!! in June and the= again Sept, we both agreed to a 50% of phaidon payout, then only after weeks, when you delayed any detailed discussion of money wanting to give the issue a thoughtful resp=nse (which I fully understand). you unilaterally changed changed our agreement. 5m would be reserved for the future ?, and out of= the remaining 15m ?, I would receive only a third. (note : I'm=confident that both the debt, and the investment will also lead to a write off of another 30 "
draftfam-146895817d63,2,69,medium,EFTA02618371,";October 23, 2018",EFTA01018783;EFTA02618371,self_addressed;self_copy_with_others,pressure_language,"separate and apart from the big transaction that he decide= not to pay on . the phaidon transaction which i proposed. was in all our communications, to be paid at 50 percent of his s=vings. I told him, as i thought his settlement would be fair , no worry phaidon you should do, no need to pay =n it. that was for the first part. . In our meeting in his office. he said that i had a point=with respect to phaidon and he would reconsider what was done and he=said to me "" you have a valid point on phai"
draftfam-6c4595257f00,2,69,medium,EFTA01976908,;Mon 11/19/2012,EFTA00947901;EFTA01976908,self_addressed,pressure_language,"On Nov 5, 2012, at 9:41 AM, Jeffrey Epstein wrote: what is your schedule.? I would appriectiate you deciding on time involved with work, you have priority, your happiness is my first concern, and as i see that it is happpening i am thrilled for you. it seems you have spent very little time, working, its ok, we will need to adjust your salary, hire others etc. . i am interviewing some when i return. Other people should be compensated for doing the work that you have decided not to do . your compe"
draftfam-7f3f83844b3d,2,69,medium,EFTA01965778,Tue 7/30/2013 1:22:08 PM;Tue 7/30/2013 1:38:31 PM,EFTA01964884;EFTA01965778,self_addressed,pressure_language,"1. im in receipt of the document you sent yesterday as well as the email that you proposed that bill wanted to send out. 2. I want to make my role perfectly clear, and will need confirmation from bill that he agrees. He has invited me to come on Aug 8 for two meetings, i will need the details. time place etc. he has previously sent an email authorizing you to talk about employment issues, i will need a broader authorization as some of these issues you have described are outside of Boriss emplyme"
draftfam-4096b2c32958,1,69,medium,EFTA00846636,,EFTA00846636,self_addressed,pressure_language,"When I was researching my article about Dennis Hastert's indictment on charges that he improperly withdrew large sums of money from a bank, one question I had was whether any tax was owed on the payments Mr. Hastert was said to have made. For tax purposes, were the payments gifts? Fees? A settlement? Hush money? Any of these options would have tax implications — implications that could provide additional justification for the prosecution, since one of the key motivations of anti-money laundering"
draftfam-921baaa92195,3,68,medium,EFTA01205143,";May 4, 2015",EFTA00857601;EFTA01205143;EFTA02502200,draft_handoff,explicit_draft_language;handoff_language;pressure_language,"Inline-Images: image001.gif it is in exchange for a relase it is only valid if the release is signed On Mon, May 4, 2015 at 5:55 PM, Boris Nikolic OK wrote: Just a quick question — do I need something like that this promissory notes expires on May 15th or so. If they do not counter sign, there is a chance of dispute or default. I would rather have an expiration on it From: Jeffrey E. [mailto:jeevacation@gmail.com Sent: Monday, May 4, 2015 2:52 PM To: Boris Nikolic Subject: Re: FW: the clawback i"
draftfam-072ad70ae2da,1,68,medium,EFTA00876542,,EFTA00876542,draft_handoff,explicit_draft_language;handoff_language;public_statement_language,"i understood that thats why it is better for you to get the cash out now and buy the shares in your own name. too much risk at that high a prcie that bill will fold On Sun, Feb 25, 2018 at 3:57 PM, Boris Nikolic < wrote: Hi! Will call you later today. Please in future, always use this email and not my Hotmail. I am barely using it. You are correct re FMI that I should exercise soon. There are however few upcoming catalysts — next week FDA/CMS final NCD for reimbursement. March 7 — last year fina"
draftfam-54f91aff81ec,1,68,medium,EFTA01059886,,EFTA01059886,self_addressed,public_statement_language,"jeffrey / I told you months ago that your assistant M, was careless with her postings . She is a danger to you. The press is searching for a reason to make trouble for you. Ask her to see her instagram. why do you hire such crazy irresponsible people. She is seen to be a russian prostiitue. and you have brought her to this country just for that purpose. I am your friend . you need to do something. and quickly."
draftfam-980771885569,1,68,medium,EFTA01732911,"October 24, 2015",EFTA01732911,self_addressed,public_statement_language,"Over a decade ago, I made some very poor choices and=paid a heavy price for my wholly inappropriate behavior. Those acti=ns were inexcusable. Thoughl recognize that it is impossible t= totally undue the harm I caused. I spent time in jail and p=id agreed restitution to those that were injured. Since tha= time, I have devoted my unique skills and wealth to finding medical cure=, trying to eliminate deep poverty, and helping to advance some of=the most rarefied fileds of science. This in an honest"
draftfam-a76e8fff5078,1,68,medium,EFTA02512926,"January 8, 2015",EFTA02512926,draft_handoff,explicit_draft_language;handoff_language;public_statement_language,"she wants to send this but i think no good, comes o= it. thoughts ---------- Forwarde= message ---------- From: Date: Thu, Jan 8, 2015 at 3:35 PM Subject: Privil=ged and Confidential To: Jeffrey Epstein Just landed in NY. Will call as soon as I can. We are going to hire a P= firm to help with the latest articles. I also need to hire a lawyer to ma=e sure everything I say is OK, but I'm sick of not saying anything. I&9;ve written down a few thoughts on the plane: I'm sure it'= too much info, but "
draftfam-b41ce4267656,1,68,medium,EFTA01032684,,EFTA01032684,self_addressed,public_statement_language,"i just found -from the newspapers 2010 The House of the Nobleman, backed by the Russian real-estate billionaire, Sergei Polonsky, was perhaps the evening's most unexpected event, an elegant 18th-century townhouse crammed to the rafters with Picassos, Saatchi's rising stars and luxury bathrooms. Later on, the great and the good, including Jarvis Cocker, Zaha Hadid and Frieze director Matthew Slotover decamped to Bar Boulud for the glitzy Cartier dinner, a Frieze week high point."
draftfam-038ff5fbafb7,15,65,medium,EFTA02509133,";April 7, 2018;February 1, 2017;February 23, 2015;February 24, 2015",EFTA00837368;EFTA00837486;EFTA00837607;EFTA00837683;EFTA00837970;EFTA00839296;EFTA00846138;EFTA00863701;EFTA00863810;EFTA01055512;EFTA02476464;EFTA02508715;EFTA02509133;EFTA02510423;EFTA02662036,self_addressed;self_copy_with_others,,"Leon, Yesterday was hour= upon hours of my time spent, ( speak to brad to get flavor) and you and i=will discuss the results in gruesome detail on Friday, it mirrored many ot=er weeks spent doing the things that I don;t have the time to do. In order to=keep things in perspective, reviewing an analogy I have used b=fore with you, I thought might be helpful. You and your family =re a 6 billion dollar corp. with income between 250 -500 millio= dollars per year. It contains a few operating biz's, a "
draftfam-01d33b724c8b,11,65,medium,EFTA01969390,";May 27, 2013;Mon 5/27/2013 11:50:00 AM;Mon 5/27/2013 4:17:14 PM;Sun 5/26/2013 10:58:48 PM",EFTA00961132;EFTA00961133;EFTA00961134;EFTA00961141;EFTA00961149;EFTA00961169;EFTA00961176;EFTA01969390;EFTA01969459;EFTA01973304;EFTA01974266,self_addressed,,"I will gladly respond to you when you finally decide to communicate to me as a friend, a friend to whom you should be thankful, and not, resentful, not complaining, whining, expect - demand -accuse, expect, deride - admonish. / It sorrily appears you have forgotten, that when I first met you, you had not even a high school education. You and I organized a GED, you had driving lessons, horseback riding lessons, cooking lessons, photography lessons, flying lessons, psychologists, doctors, dentists"
draftfam-133293aaae84,10,65,medium,EFTA02463940,";May 11, 2016;May 12, 2016",EFTA00827663;EFTA00827669;EFTA00827670;EFTA00827723;EFTA00827741;EFTA00827760;EFTA02463940;EFTA02464547;EFTA02465092;EFTA02465146,self_addressed,,"1. The audit has brought to the fore the k of your office quality that i have been violently squawking abou=. ie. children playing at at adult game. It is in=onceivable to me that John castrucci is still there , joslin part time, joe mistake after mistake and brad t=e corporate bandleader talking about the office's finance team, =counting dept, directing wendy to do things that make no sense for =ou ? lits nuts. non existent IT dept. though it was the=first thing on my suggested list of things t"
draftfam-089a30c3e5a4,9,65,medium,EFTA00864188,";May 28, 2015;May 29, 2015",EFTA00855875;EFTA00855893;EFTA00855900;EFTA00864188;EFTA01191212;EFTA02499543;EFTA02499769;EFTA02500080;EFTA02709309,self_addressed,,"one year ago i wrote. Leon, As you are well aware, There is little I won't do for you, or at least try to do as a friend, and a great deal that I have already done ( both known and some things that willneed to remain unknown.) Our arrangement was for me to architect sophisticated structures that would be beneficial to you. that is what I have done and will continue do in order to fulfill my obligations under our agreement. The discovered fact that you in reality need an entire family office buil"
draftfam-438fd441e9a5,8,65,medium,EFTA02639638,";August 19, 2017;August 20, 2017;August 21, 2017",EFTA01037233;EFTA01037235;EFTA01037549;EFTA01037551;EFTA02639003;EFTA02639638;EFTA02639662;EFTA02639669,self_addressed,,"1 had I =nown in the beginning what i know now, I would never have gotten inv=lved with ana s issue never ! ever!. I have 40 years of=experience dealing with the IRS, I never have cheated, evaded or crafted ridiculous returns. I am m=nical in taking carefully crafted thoughtful positions that ev=n if I dont win the full amount , and I have no recollection of any=total loss on any position. ). my credibility with the IRS is unsurpassed. my research is detailed and the se laws are always relevant."
draftfam-1ee72bf2abca,7,65,medium,EFTA00864274,";February 14, 2015;February 16, 2015",EFTA00864240;EFTA00864274;EFTA00864499;EFTA01731383;EFTA02509649;EFTA02510010;EFTA02510090,self_addressed,,"Leon, I hate having to write this. however . I wanted you to understand the seriousness of your dysfunctional family office. and have a record of my telling you so. I spent the greater part of last week reviewing your office. . The office has suffered greatly from lack of control clear direction. and the disasterous delay in removing Eileen. Eileen has been a nightmare for you . she has hammered together the office in a willy nilly fashion either trying to hire c quality people, buying cheap equ"
draftfam-080a2be2cbf2,5,65,medium,EFTA02474044,";February 3, 2016;January 26, 2016",EFTA00835209;EFTA00835453;EFTA00835684;EFTA02473620;EFTA02474044,self_addressed,,"1. I find it amazing that during the biggest transaci=n of the year and in your words the only real bright light. you didnt call me one time, not once. as for we=ks you did not repsond to my text messages. during the period. = I asked to speak to you a couple of times. joe however said he th=ught the only quesiton I wanted to know was moving up the day of my paymen=. the bank in st thomas was having wire problems. 2. I checked each day on wires . and follow ups. talking to Brad is the same as ta"
draftfam-474e06899653,5,65,medium,EFTA00851310,";July 14, 2015",EFTA00851310;EFTA00851315;EFTA00851317;EFTA02494397;EFTA02494442,self_addressed,,"I ve decided to help you, However i am very disappointed by the fact that you felt it necessary to threaten me. . I think yo should apologize to me.. you and I have been together a long time. so i know you must have been quite upset to do such an outrageous thing. . you should also know that I felt it necessary to contact some friends in FSB, and I though did not give them your name. They explained to me in no uncertain terms that especially now , when Russia is trying to bring in outside invest"
