date,event_or_document,court_or_agency,docket_or_id,document,position_or_holding,status_at_cutoff,public_source,coverage_note
2025-08-19,"Ninth Circuit vacated initial injunction and remanded; civil-detention comparators control",Ninth Circuit,24-2815,ECF 70/72 / cluster 10656684,Judicial holding,Mandate issued 2026-03-04,https://www.courtlistener.com/opinion/10656684/the-geo-group-inc-v-inslee/,Full corrected opinion read
2025-09-15,DOH filed second CR-101 covering juvenile private detention facilities,Washington DOH,Chapter 246-385 WAC,Second CR-101,Agency record,Draft rulemaking ongoing at cutoff,https://doh.wa.gov/about-us/executive-offices/health-and-science/environmental-public-health/rulemaking/private-detention-facilities,Agency page reviewed
2026-02-11,Ninth Circuit denied panel and en banc rehearing in published order,Ninth Circuit,24-2815,ECF 78 / cluster 10787254,Judicial holding,Rehearing denied,https://www.courtlistener.com/opinion/10787254/the-geo-group-inc-v-inslee/,Full published order and dissent read
2026-02-24,Ninth Circuit denied GEO motion to stay mandate,Ninth Circuit,24-2815,ECF 83,Judicial order,Mandate followed,https://www.courtlistener.com/docket/69046095/the-geo-group-inc-v-inslee-et-al/,Text docket order available
2026-03-04,Ninth Circuit mandate issued,Ninth Circuit,24-2815,ECF 84,Judicial mandate,August 2025 judgment effective,https://www.courtlistener.com/docket/69046095/84/the-geo-group-inc-v-inslee-et-al/,Mandate read
2026-03-27,"GEO and ICE signed new NWIPC contract, according to GEO motion",ICE / W.D. Wash.,3:23-cv-05626,ECF 88 citing ECF 77 Ex. F,Party representation,Underlying contract unavailable in RECAP,https://www.courtlistener.com/docket/67606656/88/the-geo-group-inc-v-inslee/,Motion read; contract PIID ceiling and full terms remain gap
2026-04-16,Supreme Court extended certiorari deadline to June 11,Supreme Court,25A1145,Extension order,Judicial administrative order,Superseded by further extension,https://www.supremecourt.gov/docket/docketfiles/html/public/25A1145.html,Official application page reviewed
2026-06-02,Supreme Court further extended certiorari deadline to July 10,Supreme Court,25A1145,Extension order,Judicial administrative order,"Application page shows no merits docket at July 13 cutoff; docket lag possible",https://www.supremecourt.gov/docket/docketfiles/html/public/25A1145.html,Official application page reviewed
2026-07-07,Second informal DOH rule-comment period closed,Washington DOH,Chapter 246-385 WAC,Draft rule package,Agency record,Formal period tentatively scheduled for summer 2026,https://doh.wa.gov/about-us/executive-offices/health-and-science/environmental-public-health/rulemaking/private-detention-facilities,Agency page says draft status
2026-07-09,"District court ordered GEO to admit DOH inspectors, excluding ICE-controlled administrative and medical areas",W.D. Wash.,3:23-cv-05626,ECF 95,Judicial preliminary injunction,Stayed 14 days and appealed,https://www.courtlistener.com/docket/67606656/95/the-geo-group-inc-v-inslee/,Full 28-page order read
2026-07-09,"Parallel DOH case entered limited inspection injunction under RCW 43.70.170",W.D. Wash.,3:24-cv-05639,ECF 73,Judicial preliminary injunction,Stayed 14 days and appealed,https://www.courtlistener.com/docket/69016834/73/state-of-washington-department-of-health-v-the-geo-group-inc/,Order cataloged; distinct authority from Inslee counterclaim
2026-07-13,GEO filed interlocutory appeal from Inslee ECF 95,W.D. Wash. / Ninth Circuit,3:23-cv-05626,ECF 96,Procedural event,New Ninth number not yet public,https://www.courtlistener.com/docket/67606656/96/the-geo-group-inc-v-inslee/,Full notice read
2026-07-13,GEO filed appeal from parallel DOH ECF 73,W.D. Wash. / Ninth Circuit,3:24-cv-05639,ECF 74,Procedural event,New Ninth number not yet public,https://www.courtlistener.com/docket/69016834/74/state-of-washington-department-of-health-v-the-geo-group-inc/,Notice docketed; text available via RECAP record
