record_kind,label,instrument_or_mod,parent_instrument,action_date,recipient_legal_name_as_reported,recipient_uei,obligation_change,cumulative_obligation,cumulative_outlay,base_and_exercised_options_value,base_and_all_options_or_ceiling_value,evaluated_price_scenario,performance_start,current_performance_end,offers_reported,competition_reported,action_or_scope_description,source_file,limitation_or_note
instrument_summary,CSRO single-award IDIQ,70RDA225D00000005,,2025-05-20,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,250.00,,,915000000.00,,2025-05-20,2028-05-19,4,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",usaspending/usa-csro-parent-detail.json,"The $915 million figure is the IDIQ base-and-all-options/maximum value, not obligations or outlays. USAspending's latest solicitation field conflicts with the court record."
instrument_summary,CSRO task order 1,70RDA225FR0000018,70RDA225D00000005,2025-05-22,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,697707307.19,386535262.55,697707307.19,706582347.19,,2025-05-22,2026-11-21,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",usaspending/usa-csro-award-detail.json,"Award-level obligations, outlays, exercised value, and potential value are separate USAspending metrics as of the retrieval snapshot."
instrument_summary,Secure commercial aviation platform order,70RDA225FR0000037,70RDA225D00000005,2025-09-03,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,,193907.80,195055.28,193907.80,193907.80,,2025-09-03,2025-09-24,,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SECURE COMMERCIAL AVIATION SERVICES PLATFORM,usaspending/usa-csro-order-0037-detail.json,Outlays slightly exceed obligations in the current reporting snapshot; do not infer an overpayment without transaction/account reconciliation.
transaction_action,CSRO IDIQ action,70RDA225D00000005/P00006,,2025-10-24,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,250.00,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,SECTION 4(A). THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE DEPARTMENT OF HOMELAND SECURITY (DHS) UNDER SECRETARY OF MANAGEMENT (USM). THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE THE,usaspending/usaspending-csro-idv-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/0,70RDA225D00000005,2025-05-22,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,30000000.00,30000000.00,,,,,,,,,"SECTION 4(A). THE PURPOSE OF THIS REQUIREMENT IS TO OBTAIN COMPREHENSIVE SUPPORT TO REMOVAL OPERATIONS (CSRO) SUPPORT SERVICES FOR THE OFFICE FOR STRATEGY, POLICY, AND PLANS (PLCY).",usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00001,70RDA225D00000005,2025-05-29,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,30000000.00,,,,,,,,FUNDING ONLY ACTION,SECTION 4(A). THE PURPOSE OF THIS MODIFICATION IS TO REALIGN CLIN CEILING AND FUNDING LIMITS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00002,70RDA225D00000005,2025-06-06,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,30000000.00,,,,,,,,OTHER ADMINISTRATIVE ACTION,SECTION 4(A). THE PURPOSE OF THIS MODIFICATION IS TO ADD OPTIONAL CLIN 0001H AND INCORPORATE THE CONTRACTOR'S TECHNICAL PROPOSAL INTO THE AWARD.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00003,70RDA225D00000005,2025-06-12,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,41138937.44,71138937.44,,,,,,,,FUNDING ONLY ACTION,E.O. SECTION 4(A). THE PURPOSE OF THIS MODIFICATION IS TO INCREASE QUANTITIES AND ADD FUNDING.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00004,70RDA225D00000005,2025-07-31,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,114668369.75,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,E.O. SECTION 4(A). THE PURPOSE OF THIS MODIFICATION IS TO INCREASE QUANTITIES AND ADD FUNDING.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00005,70RDA225D00000005,2025-08-19,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,E.O. SECTION 4(A). THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TASK ORDER AT NO ADDITIONAL COST AND TO RE-ALIGN FUNDS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00006,70RDA225D00000005,2025-08-20,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,E.O. SECTION 4(A). THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE THE DD254 INTO THIS TASK ORDER.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00007,70RDA225D00000005,2025-09-29,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,REALIGN FUNDING TO ADDRESS SHORTFALLS IN LAT PRODUCTION,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00008,70RDA225D00000005,2025-09-30,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,FUNDING ONLY ACTION,CORRECT REALIGNMENT OF CLIN 0006H,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00009,70RDA225D00000005,2025-10-21,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE PWS AND REALIGN FUNDS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00010,70RDA225D00000005,2025-10-23,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,OTHER ADMINISTRATIVE ACTION,THE PURPOSE OF THIS MODIFICATION IS TO CHANGE THE COR.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00011,70RDA225D00000005,2025-10-27,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE THE UPDATED DD254 CHANGING THE COR ON FILE.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00012,70RDA225D00000005,2025-10-31,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,185807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,REALIGNMENT OF FUNDS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00013,70RDA225D00000005,2025-11-19,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,107000000.00,292807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,ADDITIONAL FUNDS AND EXTEND PERIOD OF PERFORMANCE.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00014,70RDA225D00000005,2025-11-21,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,292807307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,THE PURPOSE OF THIS MODIFICATION IS TO REALIGN FUNDING.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00015,70RDA225D00000005,2025-12-15,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,292807307.19,,,,,,,,FUNDING ONLY ACTION,THE PURPOSE OF THIS MODIFICATION IS TO REALIGN FUNDING.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00016,70RDA225D00000005,2025-12-21,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,292807307.19,,,,,,,,OTHER ADMINISTRATIVE ACTION,THE PURPOSE OF THIS MODIFICATION IS TO MAKE CHANGES TO THE PWS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00017,70RDA225D00000005,2026-01-07,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,292807307.19,,,,,,,,OTHER ADMINISTRATIVE ACTION,THE PURPOSE OF THIS MODIFICATION IS TO MAKE ADMINISTRATIVE CHANGES.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00018,70RDA225D00000005,2026-01-27,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,292807307.19,,,,,,,,OTHER ADMINISTRATIVE ACTION,"THE PURPOSE OF THIS MODIFICATION IS TO UPDATE CLIN DESCRIPTIONS, UNITS OF MEASURE, AND QUANTITIES.",usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00019,70RDA225D00000005,2026-02-13,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,80000000.00,372807307.19,,,,,,,,FUNDING ONLY ACTION,THE PURPOSE OF THIS MODIFICATION IS TO INCREASE THE CEILING AND ADD ADDITIONAL FUNDS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00020,70RDA225D00000005,2026-03-17,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,124900000.00,497707307.19,,,,,,,,FUNDING ONLY ACTION,THE PURPOSE OF THIS MODIFICATION IS TO INCREASE THE CEILING AND ADD ADDITIONAL FUNDS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00021,70RDA225D00000005,2026-05-08,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,0.00,497707307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,THE PURPOSE OF THIS MODIFICATION IS TO ADD WITHIN SCOPE CLINS.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,CSRO task order 1 action,70RDA225FR0000018/P00022,70RDA225D00000005,2026-05-22,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,200000000.00,697707307.19,,,,,,,,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE ADDITIONAL FUNDS AND INCREASE THE CEILING.,usaspending/usaspending-csro-order18-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
transaction_action,Commercial aviation order action,70RDA225FR0000037/0,70RDA225D00000005,2025-09-03,SALUS WORLDWIDE SOLUTIONS CORP.,EA4VD72SB1W3,193907.80,193907.80,,,,,,,,,SECURE COMMERCIAL AVIATION SERVICES PLATFORM,usaspending/usaspending-csro-order37-transactions.json,"Transaction change; not an invoice, payment, profit, or stand-alone award value."
