channel,record_type,award_id,parent_award_id,recipient,uei,solicitation_id,action_date,modification,action_obligation,period_start,current_or_ordering_end,potential_end,award_or_task_value,first_task_pool_share_pct,first_task_rank,offers,competition,procedure,pricing,psc,naics,scope_or_action,source_reference
26-SOL-DCR-01,parent_idv,70CDCR26D00000008,,Response Ai Solutions,ZE2JVFS8ML75,26SOLDCR01,2026-03-19,,,2025-12-16,2027-12-15,,9715500.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, EXTENSIVE RESEARCH USING SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 LAST KNOWN ADDRESSES FOR INVESTIGATION WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000012,,SOS International,L3VCKMD7J585,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,123166968.76,,,53,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES, TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, EXTENSIVE RESEARCH USING SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS VERIFYING RESIDENCE OR EMPLOYMENT. THE CONTRACTOR IS ASSIGNED A MONTHLY CASELOAD OF APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES, WITH SERVICES PERFORMED NATIONWIDE.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000013,,Bluehawk,LJ93K5X4BJN7,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,201443062.5,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES, TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, EXTENSIVE RESEARCH USING SEARCH ENGINES, AND THE COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES, WITH SERVICES PERFORMED NATIONWIDE.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000014,,Global Recovery Group,PDG7UND3CWN8,26SOLDCR01,2026-01-16,,,2026-01-16,2028-01-15,,217265625.0,,,53,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. INCLUDES ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, USE OF SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES FOR VERIFICATION.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000015,,Capgemini Government Solutions,DR6MQ56MGFA5,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,365821218.75,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, USE OF SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, APPROXIMATELY 50,000 LAST KNOWN ADDRESSES ARE ASSIGNED FOR RESEARCH, WITH SERVICES PERFORMED WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000016,,Omniplex World Services Corporation,K87GBMDQNEX8,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,113242027.5,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES, TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, ONLINE RESEARCH, AND THE COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. THE CONTRACTOR IS ASSIGNED A MONTHLY CASELOAD OF APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES, WITH SERVICES PERFORMED WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000017,,Fraud,D13LLJJZYH64,26SOLDCR01,2026-03-19,,,2025-12-16,2027-12-15,,25578000.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, USE OF SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 LAST KNOWN ADDRESSES FOR RESEARCH, WITH SERVICES PERFORMED WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000018,,Gravitas Professional Services,EJB9AHGV8BD1,26SOLDCR01,2025-12-16,,,2025-12-16,2027-12-15,,32062500.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. INCLUDES ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, EXTENSIVE RESEARCH USING SEARCH ENGINES, AND THE COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 CASES FOR VERIFICATION WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000019,,GSS - Government Support Services,EMNSGMGP3CP8,26SOLDCR01,2026-03-19,,,2025-12-16,2027-12-15,,55575000.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES, TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. INCLUDES ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, USE OF SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, VENDORS ARE ASSIGNED APPROXIMATELY 50,000 CASES FOR VERIFICATION WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000020,,Constellation,F93GMYJCTJR8,26SOLDCR01,2026-03-19,,,2025-12-16,2027-12-15,,57848437.51,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, INCLUDING IDENTIFIABLE INFORMATION, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES, TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, USE OF SEARCH ENGINES, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. EACH MONTH, THE CONTRACTOR IS ASSIGNED APPROXIMATELY 50,000 CASES FOR RESEARCH AND VERIFICATION WITHIN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,parent_idv,70CDCR26D00000021,,National Protective Services,W4AUG3SNRTL6,26SOLDCR01,2026-05-21,,,2025-12-16,2027-12-15,,68231250.0,,,51,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,"THIS CONTRACT PROVIDES ICE WITH SKIP TRACING SERVICES NATIONWIDE. THE CONTRACTOR UTILIZES GOVERNMENT-FURNISHED CASE DATA, COMMERCIAL DATA VERIFICATION, AND PHYSICAL OBSERVATION SERVICES TO VERIFY ALIEN ADDRESS INFORMATION, INVESTIGATE ALTERNATIVE ADDRESSES, AND CONFIRM THE NEW LOCATION OF ALIENS. TASKS INCLUDE ENHANCED LOCATION RESEARCH THROUGH AUTOMATED AND MANUAL REAL-TIME SKIP TRACING, ONLINE RESEARCH, AND COLLECTION OF PHOTOS AND DOCUMENTS TO VERIFY RESIDENCE OR EMPLOYMENT. THE CONTRACTOR IS ASSIGNED A MONTHLY CASELOAD OF APPROXIMATELY 50,000 LAST KNOWN ADDRESSES OF ALIENS RESIDING IN THE UNITED STATES.",HigherGov normalized IDV + SAM opportunity bc8d7837d72149479146485298ff5ed5
26-SOL-DCR-01,task_order,70CDCR26FR0000013,70CDCR26D00000003,Enprovera,XWMMKN745MS5,26SOLDCR01,2026-03-10,,,2025-12-16,2026-05-14,2026-05-14,34552.0,0.181541,14,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000021,70CDCR26D00000005,B.I. Incorporated,PKK6L9KLMYR5,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-11-27,1624500.0,8.535352,5,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000015,70CDCR26D00000006,AI Solutions 87,RXFLA65SEJL9,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,636500.0,3.344261,10,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000020,70CDCR26D00000008,Response Ai Solutions,ZE2JVFS8ML75,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,127920.0,0.67211,13,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000017,70CDCR26D00000012,SOS International,L3VCKMD7J585,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,1642226.25,8.628488,4,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000019,70CDCR26D00000013,Bluehawk,LJ93K5X4BJN7,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,2656327.5,13.956719,3,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000032,70CDCR26D00000014,Global Recovery Group,PDG7UND3CWN8,26SOLDCR01,2026-01-16,,,2026-01-16,2026-04-16,2026-04-16,2812500.0,14.777271,2,,Full And Open Competition,Negotiated Proposal/Quote,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000024,70CDCR26D00000015,Capgemini Government Solutions,DR6MQ56MGFA5,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,4816782.5,25.308054,1,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000025,70CDCR26D00000016,Omniplex World Services Corporation,K87GBMDQNEX8,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,1487580.0,7.815955,6,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000014,70CDCR26D00000017,Fraud,D13LLJJZYH64,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,348000.0,1.828441,12,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,"SKIP TRACING SERVICES TASK ORDER 5,000 CASES 90 DAY POP",HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000016,70CDCR26D00000018,Gravitas Professional Services,EJB9AHGV8BD1,26SOLDCR01,2025-12-16,,,2025-12-16,2026-03-15,2026-03-15,427500.0,2.246145,11,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000018,70CDCR26D00000019,GSS - Government Support Services,EMNSGMGP3CP8,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,741000.0,3.893318,9,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
