event_date,actor_or_disclosure,geo_side,relationship_type,value_or_range,directness,primary_source,db_finding,supported_conclusion,not_supported
2025-09-02,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","sale","$50,001-$100,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 6226",12516,"A covered Trump household interest sold GEO securities","Exact proceeds; Donald Trump personally selected the trade"
2025-10-03,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 754",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-10-16,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","sale","$15,001-$50,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 6021",12516,"A covered Trump household interest sold GEO securities","Exact proceeds; Donald Trump personally selected the trade"
2025-11-24,"Donald J. Trump OGE household disclosure","The GEO Group Inc. security","purchase","$50,001-$100,000","Direct reportable security transaction; individual household transactor not identified","OGE 2026 annual Part 7 row 240",12516,"A covered Trump household interest purchased GEO securities","Donald Trump personally selected the trade; policy or contract causation"
2025-12-31,"Donald J. Trump OGE household disclosure","GEO Group Inc. New REIT","year-end asset and dividend income","Asset $50,001-$100,000; dividends $1,001-$2,500","Direct reportable security interest; individual household owner not identified","OGE 2026 annual Part 6 page 98 row 791",12514,"The disclosure household retained a reportable GEO interest at year-end","The individual owner; number of shares; voting/control intent"
2026-03-04,"Donald J. Trump OGE household disclosure","GEO Group Inc. New REIT","purchase","$15,001-$50,000; notification over 30 days marked Yes","Direct reportable security transaction; individual household transactor not identified","OGE 278-T dated 2026-05-08 page 47 row 1489",12515,"A covered Trump household interest made another GEO purchase","The cause of late notice; the individual purchaser; policy causation"
"Reporting period before 2025-02-10","Thomas D. Homan","GEO Care","pre-government consulting compensation",">$5,000 in at least one reporting-period calendar year; exact amount undisclosed","Direct compensation-source disclosure; not an ownership interest","White House Homan 2025 OGE Form 278e Part 4 page 24",12505,"Homan personally provided consulting services for which GEO Care was a reportable compensation source","Current GEO ownership; exact fee; exact service dates; participation in later awards"
"Reporting period before 2025-02-10","Thomas D. Homan","Guidepost Solutions","pre-government consulting compensation",">$5,000 in at least one reporting-period calendar year; exact amount undisclosed","Direct compensation-source disclosure; separate second-degree GEO edge","White House Homan 2025 OGE Form 278e Part 4 page 24",12505,"Guidepost was a reportable source for Homan consulting services","That Homan's Guidepost work concerned GEO or B.I.; current ownership"
2025-12-31,"Guidepost Solutions / Julie Myers Wood","B.I. Incorporated / GEO","corporate consulting agreement","$420,000 paid in 2025; $35,000 monthly retainer before nonrenewal","Direct GEO related-party disclosure; separate from Homan's client disclosure","GEO 2026 DEF 14A Item 404 discussion",12388,"Guidepost separately had a disclosed consulting relationship with GEO subsidiary B.I.","That Homan worked on the GEO engagement; a Trump-family ownership interest"
2026-03-06,"BlackRock, Inc.","GEO common stock","Schedule 13G manager-reported position","19,860,856 shares; 14.97%","Institutional manager position; not evidence of Trump beneficial ownership","GEO 2026 DEF 14A ownership table",12517,"BlackRock was a disclosed greater-than-5% outside holder","That Trump owned GEO through BlackRock or directed BlackRock"
2026-03-06,"The Vanguard Group, Inc.","GEO common stock","Schedule 13G manager-reported position","13,575,361 shares; 10.23%","Institutional manager position; not evidence of Trump beneficial ownership","GEO 2026 DEF 14A ownership table",12517,"Vanguard was a disclosed greater-than-5% outside holder","That Trump owned GEO through Vanguard or directed Vanguard"
2024-04-18/2026-01-20,"Citizens Bank / TCBI Securities / Synovus Securities","GEO credit facilities","administrative agent and lead arrangers","$550 million revolving commitments after 2026 amendment","Ordinary disclosed banking syndicate roles; complete lender register not public","GEO 2024 Credit Agreement and 2026 Third Amendment",12518,"These institutions held named roles in GEO debt documents","Strategic Trump relationship; absence of unnamed lenders or participants"
2025-01-01/2026-07-13,"Kristi Noem and Pam Bondi disclosure set","GEO / GEO Care / Guidepost","bounded negative screen","No exact-name hits in eight downloaded nominee/ethics/transaction documents","Negative result within named documents only","OGE nominee 278s, ethics agreements/certifications, and 278-Ts",,"No direct GEO holding or compensation edge was identified in the reviewed documents","Absence below reporting thresholds or in unreviewed/request-only records"
