row_id,facility,snapshot_date,record_type,award_channel,contract_id,task_order_id,modification_id,performance_start,performance_end,clin,pricing_component,unit,facility_capacity_beds,minimum_availability_beds,guaranteed_minimum_beds,guarantee_status,tier_start_bed,tier_end_bed,unit_price_nominal_usd,extended_line_amount_nominal_usd,total_award_or_obligation_usd,staffing_population_adults,staffing_population_juveniles,minimum_female_officers_per_shift,staffing_fte,redaction_or_missing,comparison_group,comparison_eligible,source_file,pdf_page,evidence_ref,notes
BRO-03,Broward Transitional Center,2009-04-01,historical_award,direct contract,HSCEDM-09-D-00006,,,2009-04-01,2014-02-28,,contract award total,award,,,,not applicable,,,,,111550397.72,,,,,none,award_value,no,broward-contract-2009.pdf,1,ICE-CONTRACT:HSCEDM-09-D-00006#pdf-p1,Extended award value is never compared with a per-diem rate
TAC-01,Northwest Detention Center (Tacoma),2009-10-24,historical_schedule,direct contract,HSCEDM-10-D-00001,,,2009-10-24,2010-10-23,0001A,base bed-day tier,extended line amount,,,,minimum/maximum quantities redacted,,,,,50369945.25,,,,,"Bed count, bed-day quantity and unit price are b(4)-redacted",guaranteed_bed_tier,yes,tacoma-contract-2010.pdf,2,ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p2,"Amount is an extended line amount, not a unit rate"
TAC-02,Northwest Detention Center (Tacoma),2009-10-24,historical_schedule,direct contract,HSCEDM-10-D-00001,,,2009-10-24,2010-10-23,0001B,excess bed-day tier,extended line amount,,,,excess quantities redacted,,,,,1449604.80,,,,,"Tier boundary, quantity and unit price are b(4)-redacted",excess_bed_tier,yes,tacoma-contract-2010.pdf,2,ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p2,"Amount is an extended line amount, not a unit rate"
TAC-03,Northwest Detention Center (Tacoma),2009-10-24,historical_schedule,direct contract,HSCEDM-10-D-00001,,,2009-10-24,2010-10-23,0003,detainee volunteer wages,detainee-day,,,,not applicable,,,1.00,114975.00,,,,,,none,detainee_work_rate,yes,tacoma-contract-2010.pdf,4,ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p4,"$114,975 is a lot ceiling; reimbursement is actual cost $1 per detainee-day"
TAC-04,Northwest Detention Center (Tacoma),2009-10-24,historical_award,direct contract,HSCEDM-10-D-00001,,,2009-10-24,2014-10-23,,contract award total,award,,,,not applicable,,,,,305519843.60,,,,,none,award_value,no,tacoma-contract-2010.pdf,11,ICE-CONTRACT:HSCEDM-10-D-00001#pdf-p11,Extended award value is never compared with a per-diem rate
AUR-01,Aurora/Denver Contract Detention Facility,2008-06-27,historical_schedule,direct contract,HSCEOP-06-D-00010,,P00008,2007-06-01,2008-05-31,1001,bed-day minimum guarantee without healthcare,bed-day,,,,explicit guarantee,,,,,,,,,,"Days, beds, bed-days, unit price and amount are b(4)-redacted",guaranteed_bed_tier,yes,aurora-denver-contract-2006-pp1-50-ocr.pdf,41,ICE-CONTRACT:HSCEOP-06-D-00010-P00008#pdf-p41,Tier structure is visible; all redacted numeric fields remain null
AUR-02,Aurora/Denver Contract Detention Facility,2008-06-27,historical_schedule,direct contract,HSCEOP-06-D-00010,,P00008,2007-06-01,2008-05-31,1002,bed days in excess of minimum with healthcare,extended line amount,,,,excess tier,,,,,365268.00,,,,,"Minimum, extra beds, maximum, quantity and unit price are b(4)-redacted",excess_bed_tier,yes,aurora-denver-contract-2006-pp1-50-ocr.pdf,41,ICE-CONTRACT:HSCEOP-06-D-00010-P00008#pdf-p41,Extended line amount is not a unit rate
AUR-03,Aurora/Denver Contract Detention Facility,2008-06-27,historical_schedule,direct contract,HSCEOP-06-D-00010,,P00008,2007-06-01,2008-05-31,1004,healthcare for guaranteed minimum,extended line amount,,,,guaranteed-minimum component,,,,,1501105.00,,,,,Quantity and unit price are b(4)-redacted,healthcare_guarantee_component,no,aurora-denver-contract-2006-pp1-50-ocr.pdf,41,ICE-CONTRACT:HSCEOP-06-D-00010-P00008#pdf-p41,Healthcare component kept separate from housing rate
AUR-04,Aurora/Denver Contract Detention Facility,2008-06-27,historical_schedule,direct contract,HSCEOP-06-D-00010,,P00008,2010-06-01,2011-05-31,4001,bed-day minimum guarantee without healthcare,extended line amount,,,,explicit guarantee,,,,,3853940.00,,,,,"Days, beds, bed-days and unit price are b(4)-redacted",guaranteed_bed_tier,yes,aurora-denver-contract-2006-pp1-50-ocr.pdf,43,ICE-CONTRACT:HSCEOP-06-D-00010-P00008#pdf-p43,Extended line amount is not a unit rate
AUR-05,Aurora/Denver Contract Detention Facility,2008-06-27,historical_schedule,direct contract,HSCEOP-06-D-00010,,P00008,2010-06-01,2011-05-31,4004,healthcare for guaranteed minimum,extended line amount,,,,guaranteed-minimum component,,,,,1579444.00,,,,,Quantity and unit price are b(4)-redacted,healthcare_guarantee_component,no,aurora-denver-contract-2006-pp1-50-ocr.pdf,43,ICE-CONTRACT:HSCEOP-06-D-00010-P00008#pdf-p43,Healthcare component kept separate from housing rate
ADE-01,Adelanto Detention Facility,2011-06-01,historical_staffing,IGSA,EROIGSA-11-0003,,P00003,2011-06-01,2016-05-31,,medical staffing increase,FTE,,,,not applicable,,,,,,,,,,FTE count is b(4)-redacted,staffing_plan,yes,adelanto-eroigsa-11-0003-409pp.pdf,241,ICE-CONTRACT:EROIGSA-11-0003-P00003#pdf-p241,Modification proves staffing-plan change but does not disclose the count
CUR-TAC-01,Northwest ICE Processing Center (Tacoma),2025-04-22,current_contract_modification,direct contract,HSCEDM-15-D-00015,,P00049,2024-09-28,2025-09-27,5001A,guaranteed minimum bed days and staffing plan,bed-day,,,,explicit guarantee,,,,,,,,,,"Guaranteed beds, staffing counts, old/new bed-day rate and unit price are redacted",guaranteed_bed_tier,yes,ice-tacoma-HSCEDM15D00015-P00049-ocr.pdf,2,ICE-CONTRACT:HSCEDM-15-D-00015-P00049#pdf-p2,Current schedule confirms like field exists but withholds the price
CUR-AUR-01,Aurora/Denver Contract Detention Facility,2024-06-03,current_contract_modification,direct contract,70CDCR22D00000001,,P00011,2023-10-16,2024-10-15,2001C,bed-day rate and staffing plan,bed-day,,,,not stated,,,,,,,,,,Old/new bed-day rate and staffing plan values are redacted,historical_bed_day_rate,yes,ice-aurora-70CDCR22D00000001-P00011-ocr.pdf,2,ICE-CONTRACT:70CDCR22D00000001-P00011#pdf-p2,Comparable current field exists but value is unavailable
CUR-BRO-01,Broward Transitional Center,2023-12-14,current_contract_modification,direct contract,70CDCR21D00000004,,P00011,2023-09-01,2026-08-31,2001B,facility operations charge monthly usage rate,month,,,,not stated,,,,,,,,,,Old/new monthly rate and contract-value change are redacted,facility_operations_monthly,no,ice-broward-70CDCR21D00000004-P00011-ocr.pdf,2,ICE-CONTRACT:70CDCR21D00000004-P00011#pdf-p2,Different unit from bed day; no comparison made
CUR-USA-ADE,Adelanto ICE Processing Center,2026-07-14,current_award_snapshot,direct contract,70CDCR20D00000009,70CDCR26FR0000028,,2025-12-20,2026-06-19,,USAspending task-order obligation,award,,,,not stated,,,,,86404000.00,,,,,USAspending exposes no CLIN quantity or unit price,award_value,no,usaspending-adelanto-current-award.json,,USASPENDING:CONT_AWD_70CDCR26FR0000028_7012_70CDCR20D00000009_7012,Snapshot retrieved 2026-07-14; obligation is not a per-diem rate
CUR-USA-AUR,Aurora Contract Detention Facility,2026-07-14,current_award_snapshot,direct contract,70CDCR22D00000001,70CDCR25FR0000111,,2025-10-16,2026-08-15,,USAspending task-order obligation,award,,,,not stated,,,,,66893395.00,,,,,USAspending exposes no CLIN quantity or unit price,award_value,no,usaspending-aurora-current-award.json,,USASPENDING:CONT_AWD_70CDCR25FR0000111_7012_70CDCR22D00000001_7012,Snapshot retrieved 2026-07-14; obligation is not a per-diem rate
CUR-USA-BRO,Broward Transitional Center,2026-07-14,current_award_snapshot,direct contract,70CDCR21D00000004,70CDCR25FR0000100,,2025-09-01,2026-08-31,,USAspending task-order obligation,award,,,,not stated,,,,,43615535.00,,,,,USAspending exposes no CLIN quantity or unit price,award_value,no,usaspending-broward-current-award.json,,USASPENDING:CONT_AWD_70CDCR25FR0000100_7012_70CDCR21D00000004_7012,Snapshot retrieved 2026-07-14; obligation is not a per-diem rate
CUR-USA-DV,Desert View Annex,2026-07-14,current_award_snapshot,direct contract,70CDCR20D00000009,70CDCR26FR0000031,,2025-12-20,2026-06-19,,USAspending task-order obligation,award,,,,not stated,,,,,17972900.00,,,,,USAspending exposes no CLIN quantity or unit price,award_value,no,usaspending-desert-view-current-award.json,,USASPENDING:CONT_AWD_70CDCR26FR0000031_7012_70CDCR20D00000009_7012,Snapshot retrieved 2026-07-14; obligation is not a per-diem rate
CUR-USA-STX,South Texas ICE Processing Center (Pearsall),2026-07-14,current_award_snapshot,direct contract,70CDCR20D00000012,70CDCR25FR0000091,,2025-08-06,2026-08-05,,USAspending task-order obligation,award,,,,not stated,,,,,57517165.28,,,,,USAspending exposes no CLIN quantity or unit price,award_value,no,usaspending-south-texas-current-award.json,,USASPENDING:CONT_AWD_70CDCR25FR0000091_7012_70CDCR20D00000012_7012,Snapshot retrieved 2026-07-14; obligation is not a per-diem rate
CUR-USA-TAC,Northwest ICE Processing Center (Tacoma),2026-07-14,current_award_snapshot,direct contract,70CDCR26D00000026,70CDCR26FR0000055,,2026-03-28,2026-10-27,,USAspending task-order obligation,award,,,,not stated,,,,,39042746.99,,,,,USAspending exposes no CLIN quantity or unit price,award_value,no,usaspending-tacoma-current-award.json,,USASPENDING:CONT_AWD_70CDCR26FR0000055_7012_70CDCR26D00000026_7012,Snapshot retrieved 2026-07-14; obligation is not a per-diem rate
