facility,task_order,action_date,modification_number,official_action_type,federal_action_obligation,description,classification,interpretation_limit,evidence
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-02-13,P00004,OTHER ADMINISTRATIVE ACTION,0.00,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",zero-dollar administrative/unknown,A zero obligation does not establish zero economic effect or a performance remedy.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00004_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-02-26,P00005,FUNDING ONLY ACTION,0.00,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",zero-dollar administrative/unknown,A zero obligation does not establish zero economic effect or a performance remedy.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00005_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-03-05,P00006,FUNDING ONLY ACTION,4970776.00,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY TO ACHIEVE THE ICE MISSION TO SAFELY HOUSE DETAINED ALIENS. THIS MODIFICATION OBLIGATES INCREMENTAL FUNDING FOR THESE SERVICES.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00006_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-04-11,P00007,FUNDING ONLY ACTION,4367600.00,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY TO ACHIEVE THE ICE MISSION TO SAFELY HOUSE DETAINED ALIENS. THIS MODIFICATION OBLIGATES INCREMENTAL FUNDING FOR THESE SERVICES.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00007_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-05-07,P00008,FUNDING ONLY ACTION,8735199.99,"THIS AWARD PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY TO ACHIEVE THE ICE MISSION TO SAFELY HOUSE DETAINED ALIENS. THIS MODIFICATION OBLIGATES ADDITIONAL FUNDING FOR THESE SERVICES.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00008_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-06-13,P00009,FUNDING ONLY ACTION,1768206.53,"THIS AWARD PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY TO ACHIEVE THE ICE MISSION TO SAFELY HOUSE DETAINED ALIENS. THIS MODIFICATION OBLIGATES ADDITIONAL FUNDING FOR THESE SERVICES.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00009_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-07-01,P00010,FUNDING ONLY ACTION,10630000.00,"THIS AWARD PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY TO ACHIEVE THE ICE MISSION TO SAFELY HOUSE DETAINED ALIENS. THIS MODIFICATION OBLIGATES ADDITIONAL FUNDING FOR THESE SERVICES.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00010_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2025-09-23,P00011,OTHER ADMINISTRATIVE ACTION,7004194.70,"THIS AWARD PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY. THIS MODIFICATION INCREASES THE MAXIMUM NUMBER OF BEDS AND OBLIGATES ADDITIONAL FUNDING FOR THESE SERVICES.",capacity/administrative change,Maximum beds are not the same as guaranteed minimum or average daily population.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00011_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000111,2025-09-24,0,not populated,6103000.00,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES AT THE AURORA, CO CONTRACT DETENTION FACILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000111_0_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000111,2025-12-02,P00001,OTHER ADMINISTRATIVE ACTION,0.00,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES AT THE AURORA, CO CONTRACT DETENTION FACILITY. THE PURPOSE OF THIS MODIFICATION IS TO MAKE ADMINISTRATIVE CORRECTIONS TO THE PERIOD OF PERFORMANCE AND MAXIMUM NUMBER OF BEDS.",capacity/administrative change,Maximum beds are not the same as guaranteed minimum or average daily population.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000111_P00001_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000111,2026-02-11,P00002,FUNDING ONLY ACTION,43875696.47,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES AT THE AURORA, CO CONTRACT DETENTION FACILITY. THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE INCREMENTAL FUNDING.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000111_P00002_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000111,2026-04-01,P00003,FUNDING ONLY ACTION,16914698.53,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES AT THE AURORA, CO CONTRACT DETENTION FACILITY. THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE INCREMENTAL FUNDING.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000111_P00003_70CDCR22D00000001_0
Aurora / Denver Contract Detention Facility,70CDCR25FR0000005,2026-04-07,P00012,CLOSE OUT,-1795324.02,"THIS AWARD PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY. THIS MODIFICATION DE-OBLIGATES REMAINING FUNDS AND CLOSES OUT THE AWARD.",closeout/deobligation,"Not a performance deduction, invoice credit, or unused-bed adjustment unless the source says so.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000005_P00012_70CDCR22D00000001_0
Desert View Annex,70CDCR25FR0000010,2024-12-20,0,not populated,2810964.09,DETENTION SERVICES DESERT VIEW (DV) ANNEX IN THE LOS ANGELES AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_0_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2025-02-21,P00001,FUNDING ONLY ACTION,2811134.00,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE & PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00001_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2025-03-03,P00002,FUNDING ONLY ACTION,5622400.00,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE & PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00002_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2025-05-08,P00003,FUNDING ONLY ACTION,2853167.00,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE AND PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA.,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00003_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2025-05-28,P00004,FUNDING ONLY ACTION,5706400.00,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE AND PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA.,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00004_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2025-08-07,P00005,FUNDING ONLY ACTION,4633800.00,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE AND PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA.,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00005_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2025-09-15,P00006,FUNDING ONLY ACTION,5174000.00,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE AND PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA.,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00006_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2026-01-22,P00007,FUNDING ONLY ACTION,4646400.00,"FUNDING DETENTION SERVICES AT DESERT VIEW DETENTION FACILITY IN SUPPORT TO LOS ANGELES AREA OF RESPONSIBILITY, CA.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00007_70CDCR20D00000009_0
Desert View Annex,70CDCR26FR0000031,2026-01-28,0,not populated,9292800.00,"DETENTION SERVICES AT THE DESERT VIEW ANNEX LOCATED IN ADELANTO, CA FOR LOS ANGELES AREA OF RESPONSIBILITY",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR26FR0000031_0_70CDCR20D00000009_0
Desert View Annex,70CDCR26FR0000031,2026-04-30,P00001,FUNDING ONLY ACTION,8680100.00,"FUNDING DETENTION SERVICES AT THE DESERT VIEW ANNEX LOCATED IN ADELANTO, CA FOR LOS ANGELES AREA OF RESPONSIBILITY",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR26FR0000031_P00001_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2026-04-30,P00008,FUNDING ONLY ACTION,12562.39,"FUNDING DETENTION SERVICES AT DESERT VIEW DETENTION FACILITY IN SUPPORT OF THE LOS ANGELES AREA OF RESPONSIBILITY, CA.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00008_70CDCR20D00000009_0
Desert View Annex,70CDCR25FR0000010,2026-06-16,P00009,CLOSE OUT,0.00,"FUNDING DETENTION SERVICES AT DESERT VIEW DETENTION FACILITY IN SUPPORT OF THE LOS ANGELES AREA OF RESPONSIBILITY, CA.  THIS IS A CLOSEOUT MODIFICATION",closeout/deobligation,"Not a performance deduction, invoice credit, or unused-bed adjustment unless the source says so.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000010_P00009_70CDCR20D00000009_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2024-10-24,0,not populated,13617122.00,"NEW TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES AT TACOMA, WA FOR SEATTLE AOR",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_0_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-01-24,P00001,FUNDING ONLY ACTION,11628517.45,"DETENTION AND TRANSPORTATION SERVICES AT TACOMA, WA FOR SEATTLE AOR",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00001_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-03-04,P00002,FUNDING ONLY ACTION,6385200.00,THIS MODIFICATION ADDS FUNDING TO THE AWARD FOR DETENTION AND TRANSPORTATION SERVICES AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00002_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-03-11,P00003,FUNDING ONLY ACTION,15505.85,THIS MODIFICATION ADDS FUNDING TO THE AWARD FOR DETENTION AND TRANSPORTATION SERVICES AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY,ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00003_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-03-19,P00004,FUNDING ONLY ACTION,131272.47,"THIS MODIFICATION ADDS FUNDING FOR DETENTION SERVICES ABOVE THE GUARANTEED MINIMUM, OVERTIME TRANSPORTATION SERVICES, AND REMOTE POSTS AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00004_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-04-18,P00005,FUNDING ONLY ACTION,6764458.00,"THIS MODIFICATION ADDS FUNDING FOR DETENTION AND TRANSPORTATION SERVICES, FUEL, OVERTIME TRANSPORTATION SERVICES, AND REMOTE POST AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00005_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-05-06,P00006,FUNDING ONLY ACTION,15045785.73,"THIS MODIFICATION ADDS FUNDING FOR DETENTION AND TRANSPORTATION SERVICES, FUEL, OVERTIME TRANSPORTATION SERVICES, AND REMOTE POST AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00006_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-07-24,P00007,FUNDING ONLY ACTION,13700853.00,"THIS MODIFICATION ADDS FUNDING FOR DETENTION AND TRANSPORTATION SERVICES, FUEL, EXPANSION, REMOTE POST, AND OVERTIME BEDS AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00007_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-09-26,P00008,EXERCISE AN OPTION,11894500.00,"THIS MODIFICATION EXTENDS THE TERM OF THE TASK ORDER AND ADDS FUNDING FOR DETENTION AND TRANSPORTATION SERVICES, FUEL, EXPANSION, REMOTE POST, AND OVERTIME BEDS AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY.",option/extension funding,An option/extension action is not an invoice or an occupied-bed measure.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00008_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2025-11-18,P00009,CHANGE ORDER,0.00,"THIS MODIFICATION INCORPORATES CHANGES FOR DETENTION AND TRANSPORTATION SERVICES, FUEL, EXPANSION, REMOTE POST, AND OVERTIME BEDS AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY.",zero-dollar administrative/unknown,A zero obligation does not establish zero economic effect or a performance remedy.,USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00009_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2026-01-16,P00010,FUNDING ONLY ACTION,17132900.00,"THIS MODIFICATION ADDS FUNDING FOR DETENTION AND TRANSPORTATION SERVICES, FUEL, EXPANSION, REMOTE POST, AND OVERTIME BEDS AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00010_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR25FR0000004,2026-03-06,P00011,FUNDING ONLY ACTION,21115235.00,"THIS MODIFICATION ADDS FUNDING FOR DETENTION AND TRANSPORTATION SERVICES AT A NORTHWEST ICE DETENTION CENTER, TACOMA, WA IN SUPPORT OF SEATTLE AREA OF RESPONSIBILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR25FR0000004_P00011_HSCEDM15D00015_0
Tacoma / Northwest ICE Processing Center,70CDCR26FR0000055,2026-05-08,0,not populated,8898848.14,"TASK ORDER FOR DETENTION AND TRANSPORTATION SERVICES AT A NORTHWEST ICE DETENTION CENTER, TACOMA, WA IN SUPPORT OF SEATTLE AREA OF RESPONSIBILITY.",ordinary or incremental funding,"Action obligation is not an invoice, outlay, unit rate, or recognized facility revenue.",USAspending transaction CONT_TX_7012_7012_70CDCR26FR0000055_0_70CDCR26D00000026_0
