facility,geo_role,contract_channel,award_or_vehicle,oversight_body,report_id,report_date,record_type,finding_class,issue_domain,exact_quote,quote_locator,agency_or_geo_response,corrective_action_status,source_url,identity_and_scope_note,financial_consequence_scope
Mesa Verde ICE Processing Center,GEO operator,direct ICE contract,70CDCR20D00000008,DHS OIG,OIG-24-03,2023-11-02,limited-scope unannounced inspection,inspection observation,use of force reporting / optometry,the facility did not accurately report or fully record an event that met the requirements of a use of force incident,"Highlights, PDF p. 3",ICE concurred with all three recommendations.,At issuance all three were resolved and open; the public page displayed recommendation 1 as open on 2026-07-14.,https://www.oig.dhs.gov/sites/default/files/assets/2023-11/OIG-24-03-Nov23.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Mesa Verde ICE Processing Center,GEO operator,direct ICE contract,70CDCR20D00000008,DHS OIG,OIG-24-03,2023-11-02,limited-scope unannounced inspection,compliant finding / counterevidence,voluntary work / conditions / grievances,"the facility complied with standards for the voluntary work program, facility conditions, and grievances","Highlights, PDF p. 3",,,https://www.oig.dhs.gov/sites/default/files/assets/2023-11/OIG-24-03-Nov23.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Golden State Annex,GEO operator,direct ICE contract,70CDCR20D00000008,DHS OIG,OIG-24-23,2024-04-18,unannounced inspection,inspection observation,classification / grievances / segregation recreation / requests / conditions,"The facility could not ensure it was completing detainee classification within the required 12 hours, or that all required reclassification paperwork was in detainees’ files.","Highlights, PDF p. 3",ICE concurred with all seven recommendations.,"At issuance recommendations 1, 2, 3, 5, and 7 were resolved/open and 4 and 6 resolved/closed; public page displayed 1, 2, and 3 as open on 2026-07-14.",https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Golden State Annex,GEO operator,direct ICE contract,70CDCR20D00000008,DHS OIG,OIG-24-23,2024-04-18,unannounced inspection,compliant finding / counterevidence,use of force / voluntary work / legal / segregation,"Golden State complied with ICE’s Performance-Based National Detention Standards 2011 (PBNDS 2011), as revised in December 2016, for use of force, the voluntary work program, access to the law library and legal services, and detainee segregation with one noted exception.","Highlights, PDF p. 3",,,https://www.oig.dhs.gov/sites/default/files/assets/2024-04/OIG-24-23-Apr24.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Denver Contract Detention Facility,GEO operator,direct ICE contract,HSCEDM11D00003 (historical); 70CDCR20D00000001 (newer period),DHS OIG,OIG-24-29,2024-06-12,unannounced inspection,inspection observation,communication / grievances,facility and ICE staff did not comply with standards related to staff-detainee communication and grievance practices,"Highlights, PDF p. 3",ICE concurred with all 14 recommendations.,"At issuance six were resolved/closed and eight resolved/open; public page displayed recommendations 1, 4, 6, 7, 8, and 13 as open on 2026-07-14.",https://www.oig.dhs.gov/sites/default/files/assets/2024-06/OIG-24-29-Jun24.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Denver Contract Detention Facility,GEO operator,direct ICE contract,HSCEDM11D00003 (historical); 70CDCR20D00000001 (newer period),DHS OIG,OIG-24-29,2024-06-12,unannounced inspection,compliant finding / counterevidence,recreation / use of force / library / voluntary work,"Denver’s staff complied with Performance-Based National Detention Standards 2011, revised in December 2016, for recreation, use of force, library, and the voluntary work program.","Highlights, PDF p. 3",,,https://www.oig.dhs.gov/sites/default/files/assets/2024-06/OIG-24-29-Jun24.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Karnes County Residential Center,GEO operator,historical county/ICE arrangement,do not automatically merge with current Karnes IPC award 70CDCR24DIG000018,DHS OIG,DHS-OIG-KARNES-2015,2015-01-07,investigative summary,investigative conclusion,alleged staff sexual misconduct,We found no evidence to substantiate the allegations and were unable to identify a victim or suspect in this matter.,"Conclusions, PDF p. 4",A report was provided to ICE and DHS CRCL before a scheduled CRCL inspection.,ICE complied with PREA reporting requirements.,https://www.oversight.gov/sites/default/files/documents/reports/2017-07/OIG_mga-010715.pdf,"This is a non-substantiation conclusion about specified allegations, not a general compliance finding.",Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Adelanto ICE Processing Center,GEO operator; historical City of Adelanto D-IGSA and later direct ICE procurement periods must not be merged,direct ICE contract for current period; historical D-IGSA,70CDCR20D00000009,ICE Office of Detention Oversight,ICE-ODO-2024-002-386,2024-07-18,follow-up compliance inspection,compliant finding / counterevidence,18 reviewed standards,There were no findings during the inspection.,"Conclusion, physical PDF p. 7",,The report's follow-up result is later-period counterevidence; it does not supersede OIG-18-86.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/2024-AdelantoIPC-AdelantoCA-July.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Denver Contract Detention Facility,GEO operator,direct ICE contract,HSCEDM11D00003 (historical); 70CDCR20D00000001 (newer period),ICE Office of Detention Oversight,ICE-ODO-2024-002-330,2024-08-15,follow-up compliance inspection,inspection observation,four deficient standards,ODO found six deficiencies in the remaining four standards.,"Conclusion, physical PDF p. 11",,The report states the facility completed a prior UCAP and likely resolved the earlier cited deficiencies; that statement is not proof that every new deficiency was closed.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/denverCDF_AuroraCO_Aug13-15_2024.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Denver Contract Detention Facility,GEO operator,direct ICE contract,HSCEDM11D00003 (historical); 70CDCR20D00000001 (newer period),ICE Office of Detention Oversight,ICE-ODO-2024-002-330,2024-08-15,follow-up compliance inspection,compliant finding / counterevidence,14 reviewed standards,found the facility in compliance with 14 of those standards,"Conclusion, physical PDF p. 11",,,https://www.ice.gov/doclib/foia/odo-compliance-inspections/denverCDF_AuroraCO_Aug13-15_2024.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Denver Contract Detention Facility,GEO operator,direct ICE contract,HSCEDM11D00003 (historical); 70CDCR20D00000001 (newer period),ICE Office of Detention Oversight,ICE-ODO-2024-002-330,2024-08-15,follow-up compliance inspection,area of concern,contract staffing,ODO noted the facility’s staffing levels as an Area of Concern.,"Report body, physical PDF p. 10",,,https://www.ice.gov/doclib/foia/odo-compliance-inspections/denverCDF_AuroraCO_Aug13-15_2024.pdf,The report also says ERO kept ADP sufficiently below maximum capacity for adequate coverage; no financial consequence is inferred.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,ICE Office of Detention Oversight,ICE-ODO-2024-005-389,2024-08-15,follow-up compliance inspection,inspection observation,six deficient standards,ODO found 11 deficiencies in the remaining 6 standards.,"Conclusion, extracted PDF p. 9",,ODO recommended ERO Seattle continue working with the facility to resolve outstanding deficiencies.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/tacomaIPC_NorthwestDetCTR_TacomaWA_Aug13-15_2024.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,ICE Office of Detention Oversight,ICE-ODO-2024-005-389,2024-08-15,follow-up compliance inspection,repeat inspection observation,repeat deficiencies / corrective action,"which included 2 repeat deficiencies. NDCTR completed its UCAP for its last inspection in January 2024, which may not have been sufficient to prevent the repeat deficiencies","Conclusion, extracted PDF p. 9",,A completed UCAP did not establish durable correction of the two repeated items.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/tacomaIPC_NorthwestDetCTR_TacomaWA_Aug13-15_2024.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,ICE Office of Detention Oversight,ICE-ODO-2024-005-389,2024-08-15,follow-up compliance inspection,compliant finding / counterevidence,14 reviewed standards,found the facility in compliance with 14 of those standards,"Conclusion, extracted PDF p. 9",,,https://www.ice.gov/doclib/foia/odo-compliance-inspections/tacomaIPC_NorthwestDetCTR_TacomaWA_Aug13-15_2024.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Northwest ICE Processing Center,GEO operator,direct ICE contract,not normalized in this wave,ICE Office of Detention Oversight,ICE-ODO-OPR-201200440,2012-01-12,compliance inspection,mixed inspection result,13 compliant standards / three documentation deficiencies,"ODO verified that NWDC was in full compliance with 13 of the 15 PBNDS reviewed. ODO recorded only three deficiencies in the following two standards: Disciplinary System (1 deficiency), and Use of Force and Restraints (2).","Executive summary, extracted PDF p. 4",,ERO was to receive the report to assist in developing corrective actions.,https://www.ice.gov/doclib/foia/odo-compliance-inspections/2012northwest-detention-center-tacoma-wa-jan10-12.pdf,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Adelanto ICE Processing Center,GEO operator; historical City of Adelanto D-IGSA and later direct ICE procurement periods must not be merged,direct ICE contract for current period; historical D-IGSA,70CDCR20D00000009,ICE Office of Professional Responsibility,ICE-DDR-GONZALEZ-2017,2017-03-28,detainee death review,causation caveat,death-review deficiencies,Their inclusion in the report should not be construed in any way as indicating the deficiency contributed to the death of the detainee.,"Synopsis, extracted PDF p. 1",,,https://www.ice.gov/doclib/foia/reports/ddrGonzalez.pdf,"The death certificate described the manner as suicide; the review's listed deficiencies are not, by themselves, proof of causation or liability.",Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Systemwide ICE detention oversight,GEO is within the regulated/contracted universe; report is not facility-specific,multiple direct contracts and IGSAs,systemwide; do not attribute to a single award,GAO,GAO-15-153,2014-10-10,performance audit,systemic oversight finding,inspection consistency,inspection results differed for 29 of 35 facilities inspected by both ICE's Enforcement and Removal Operations (ERO) and Office of Detention Oversight (ODO) in fiscal year 2013,"GAO product page, What GAO Found",ICE later modified contractor procedures and GAO closed the related recommendation as implemented.,Current GAO page status reviewed 2026-07-14.,https://www.gao.gov/products/gao-15-153,Do not apply this systemic denominator to a particular GEO facility without the underlying facility table.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Systemwide ICE detention oversight,GEO is within the regulated/contracted universe; report is not facility-specific,multiple direct contracts and IGSAs,systemwide; do not attribute to a single award,GAO,GAO-20-596,2020-08-19,performance audit,systemic oversight finding,inspection and complaint trend analysis,"ICE collects the results of its various inspections, such as deficiencies they identify, but does not comprehensively analyze them to identify trends or record all inspection results in a format conducive to such analyses.","GAO product page, What GAO Found",DHS concurred with all six recommendations.,GAO's current page records implementation updates; status is recommendation-specific.,https://www.gao.gov/products/gao-20-596,"This is a systemwide data-governance finding, not a finding that every GEO facility was deficient.",Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Systemwide ICE detention oversight,GEO is within the regulated/contracted universe; report is not facility-specific,multiple direct contracts and IGSAs,systemwide; do not attribute to a single award,GAO,GAO-21-149,2021-01-13,performance audit,systemic contract-oversight finding,acquisition documentation,"28 of 40 of these contracts and agreements did not have documentation from ICE field offices showing a need for the space, outreach to local officials, or the basis for ICE's decisions to enter into them, as required by ICE's process.","GAO product page, What GAO Found",DHS concurred with four of five recommendations.,Recommendation 1 was open/partially addressed on the current GAO page reviewed 2026-07-14.,https://www.gao.gov/products/gao-21-149,Do not attribute the 28 acquisitions to GEO without the underlying contract list.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Systemwide ICE detention oversight,GEO is within the regulated/contracted universe; report is not facility-specific,multiple direct contracts and IGSAs,systemwide; do not attribute to a single award,GAO,GAO-21-149,2021-01-13,performance audit,systemic contract-oversight finding,COR independence,"the COR's supervisory structure—where field office management, rather than headquarters, oversee COR work and assess COR performance—does not provide sufficient independence for effective oversight","GAO product page, What GAO Found",DHS disagreed with revising the supervisory structure; GAO maintained the recommendation.,Recommendation status is tracked in existing finding 12396; this row adds no facility-specific consequence.,https://www.gao.gov/products/gao-21-149,,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
Systemwide ICE detention oversight,GEO is within the regulated/contracted universe; report is not facility-specific,multiple direct contracts and IGSAs,systemwide; do not attribute to a single award,GAO,GAO-25-107580,2025-05-21,performance audit,systemic oversight finding,inspection-program goals and measures,"ODO rated facilities as acceptable or above in 238 of 241 inspections during this period. But it found deficiencies related to, for example, environmental health and safety, such as water quality; and food service, such as sanitary conditions.","GAO product page, What GAO Found",GAO made three recommendations; DHS concurred with two.,ODO performance-goal recommendation remained open as of May 2026.,https://www.gao.gov/products/gao-25-107580,This balanced systemic result is not a facility-specific pass or deficiency determination.,Excluded from this lead; any payment or award consequence belongs in lead 57784 unless the source directly states it.
