manifest_name,manifest_source_class,manifest_basis,alias_relationship,canonical_identity_id,canonical_legal_name,is_fy2025_exhibit22_guarantor,exact_current_sam_name_match_count,uei,cage,federal_legal_business_name,dba,sam_status,sam_evidence_as_of,registration_date,registration_expiration_date,registration_last_update_date,registration_activation_date,address,primary_naics,highergov_awardee_key,highergov_parent_key,dhs_action_count_2015_2026,ice_recipient_in_verified_bounded_dhs_scan,coverage_class,unresolved_or_caution,primary_source_refs
"CiviGenics Management Services, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-016-civigenics-management-services-llc,"CiviGenics Management Services, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CiviGenics-Texas, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-017-civigenics-texas-inc,"CiviGenics-Texas, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Clearstream Development, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-018-clearstream-development-llc,"Clearstream Development, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
Community Alternatives,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-019-community-alternatives,Community Alternatives,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Community Corrections, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-020-community-corrections-llc,"Community Corrections, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Community Education Centers, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-021-community-education-centers-inc,"Community Education Centers, Inc.",yes,1,K197TCMH5UB5,3YET9,"COMMUNITY EDUCATION CENTERS, INC.",,Active,2026-03-01 monthly public extract,2004-07-19,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10116178,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:K197TCMH5UB5
Cornell Companies Inc.,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-022-cornell-companies-inc,Cornell Companies Inc.,yes,0,TLDCDE29G781,3MTH6,"CORNELL COMPANIES, INC.",,Expired legacy registration,HigherGov historical registration snapshot,2003-12-04,2023-02-13,2023-02-13,2022-01-17,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10106691,10000076,24,True,legacy_award_recipient_absent_from_current_sam,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | USASPENDING:RECIPIENT:TLDCDE29G781
Cornell Corrections Management LLC,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-023-cornell-corrections-management-llc,Cornell Corrections Management LLC,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Cornell Corrections of Rhode Island, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-024-cornell-corrections-of-rhode-island-,"Cornell Corrections of Rhode Island, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Cornell Corrections of Texas, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-025-cornell-corrections-of-texas-inc,"Cornell Corrections of Texas, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
Correctional Properties Prison Finance LLC,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-026-correctional-properties-prison-finan,Correctional Properties Prison Finance LLC,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Correctional Properties, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-027-correctional-properties-llc,"Correctional Properties, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
Correctional Services Corporation LLC,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-028-correctional-services-corporation-ll,Correctional Services Corporation LLC,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Correctional Systems, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-029-correctional-systems-llc,"Correctional Systems, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"CPT Limited Partner, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-030-cpt-limited-partner-llc,"CPT Limited Partner, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
CPT Operating Partnership L.P.,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-031-cpt-operating-partnership-l-p,CPT Operating Partnership L.P.,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Fenton Security, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-032-fenton-security-llc,"Fenton Security, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO Acquisition II, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-033-geo-acquisition-ii-inc,"GEO Acquisition II, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO Care Services, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-034-geo-care-services-llc,"GEO Care Services, LLC",yes,1,G6XJKMJUNB91,7D4M5,"GEO CARE SERVICES, LLC",,Active,2026-07-13 live API,2015-04-21,2027-05-20,2026-06-01,2026-06-01,4955 Technology Way | Boca Raton | FL | 33431,624190,10125440,10000076,92,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | https://www.sec.gov/Archives/edgar/data/923796/000119312526022602/d85667dex101.htm | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?aggregateId=forl-m15000002176-76a77e3f-2c30-4102-a599-5e40f079be56&directionType=CurrentList&inquirytype=EntityName&listNameOrder=GEOCARE+L120001610400&searchNameOrder=GEOCARE+M150000021760&searchTerm=GEO+CARE+LLC | SAM:UEI:G6XJKMJUNB91
"GEO Care, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-035-geo-care-inc,"GEO Care, Inc.",yes,1,J8LEF6VCY967,15A51,"GEO CARE, INC",,Active,2026-03-01 monthly public extract,2025-08-19,2026-09-08,2025-09-11,2025-09-10,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,622110,1331958329,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:J8LEF6VCY967
GEO CC3 Inc.,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-036-geo-cc3-inc,GEO CC3 Inc.,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO Secure Services, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-037-geo-secure-services-llc,"GEO Secure Services, LLC",yes,1,JLG3JBCL4CC7,7G0P0,"GEO SECURE SERVICES, LLC",GEO SECURE SERVICES LLC,Active,2026-07-13 live API,2017-05-30,2027-05-20,2026-06-01,2026-06-01,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10113516,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:JLG3JBCL4CC7
"GEO Corrections Holdings, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-038-geo-corrections-holdings-inc,"GEO Corrections Holdings, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,Exact local and prior live SAM searches and exact USAspending recipient checks returned no UEI/award match. The legal entity remains primary-supported by Exhibit 22 but its federal-recipient identity is unresolved.,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO CPM, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-039-geo-cpm-inc,"GEO CPM, Inc.",yes,1,XHRVS1L8YE54,99YL8,GEO CPM INC,,Active,2026-03-01 monthly public extract,2022-03-11,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,622110,59927962,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:XHRVS1L8YE54
"GEO Management Services, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-040-geo-management-services-inc,"GEO Management Services, Inc.",yes,1,ZBJYBK7M9A44,7T8J8,GEO MANAGEMENT SERVICES INC,,Active,2026-03-01 monthly public extract,2017-01-04,2026-09-08,2025-09-08,2025-09-08,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,12479589,12479589,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,"HigherGov marks this awardee row as its own parent, while GEO's primary Exhibit 22 lists GEO Management Services, Inc. as a subsidiary guarantor. The map preserves the SEC parent relationship and records the HigherGov hierarchy divergence.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:ZBJYBK7M9A44
"GEO Holdings I, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-041-geo-holdings-i-inc,"GEO Holdings I, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO International Services, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-042-geo-international-services-inc,"GEO International Services, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO MCF LP, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-043-geo-mcf-lp-llc,"GEO MCF LP, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO Leasing, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-044-geo-leasing-llc,"GEO Leasing, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
GEO RE Holdings LLC,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-045-geo-re-holdings-llc,GEO RE Holdings LLC,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
GEO Reentry of Alaska Inc.,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-046-geo-reentry-of-alaska-inc,GEO Reentry of Alaska Inc.,yes,1,FNT5N5HMB9A7,7G0K5,"GEO REENTRY OF ALASKA, INC.",,Active,2026-03-01 monthly public extract,2015-10-02,2026-09-08,2025-09-08,2025-09-08,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10114506,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:FNT5N5HMB9A7
"GEO Reentry Services, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-047-geo-reentry-services-llc,"GEO Reentry Services, LLC",yes,1,CLKXSJLN8EN1,7G0N6,GEO REENTRY SERVICES LLC,,Active,2026-03-01 monthly public extract,2017-07-28,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,12440992,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:CLKXSJLN8EN1
