event_id,date,license_num,event_type,action_subtype,disposition,board_granted_application,completed_sale_verified,transferor,transferor_dba,transferee,transferee_dba,licensee,licensee_dba,pledge_recipient,from_address,to_address,source_id,source_url,page_start,page_end,item_number,outcome_text,referenced_approval_date,ambiguity_notes
BLB-2024-02-29-T-13,2024-02-29,LB99060,license_transfer,transfer_application_disposition,granted,True,False,"Woods L Street Tavern, Inc.",Woods L Street Tavern,"Medico L Street Tavern, LLC.",L Street Tavern,,,"Woods L Street Tavern, Inc.","658 E Eighth Street, South Boston, MA 02127","658 E Eighth Street, South Boston, MA 02127",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,8,8,13,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-29-T-14,2024-02-29,LB99309,license_transfer,transfer_application_disposition,granted,True,False,"Allston Restaurant Group, LLC",,LaLaLand LLC,Blondie's,,,Allston Restaurant Group LLC,"458 Western Ave, Brighton, MA 02135","458 Western Ave, Brighton, MA 02135",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,8,8,14,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-02-29-T-15,2024-02-29,LB101579,license_transfer,transfer_application_disposition,granted,True,False,"Maryanne’s Saloon, LLC",Maryanne’s,Flour & Egg LLC,SJ’s,,,OPG 745 TRS (DE) LLC,"4-8 Franklin Street, Allston, MA 02134","745 Atlantic Ave, Boston, MA 02111",BLB-2024-02-29,https://www.boston.gov/sites/default/files/file/2024/02/Voting%20Minutes%202-29-24%20-%20Final%20-%20To%20Be%20Posted.pdf,8,8,15,Granted,,
BLB-2024-03-28-T-15,2024-03-28,LB99643,license_transfer,transfer_application_disposition,granted,True,False,"Mirage Charcoal Kabob, Inc.",Zen Restaurant,LZZ LLC,Zen Japanese Grill and Sushi Bar,,,,"21A Beacon Street, Boston, MA 02108","21A Beacon Street, Boston, MA 02108",BLB-2024-03-28,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,7,7,15,Granted,,Destination address carried from explicit same-location statement. | Later June 6 Old/New Business item 5 acknowledges notice that this purchase and sale agreement was voided and the parties mutually intended to revoke the transfer; do not present as completed sale.
BLB-2024-03-28-T-16,2024-03-28,LB130749,license_transfer,transfer_application_disposition,granted,True,False,"Boston Dominican, Inc.",Punta Cana Market,"Romerito Liquors, Inc.",Punta Cana Market,,,,"168 Belgrade Ave, Roslindale, MA 02131","168 Belgrade Ave, Roslindale, MA 02131",BLB-2024-03-28,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,8,8,16,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-03-28-T-17,2024-03-28,LB99672,license_transfer,transfer_application_disposition,granted,True,False,"Fairouz Restaurant, Inc.",,311 Bos Inc.,311 Omakase,,,,"5268 Washington Street, West Roxbury, MA 02132","605 Tremont Street, Boston, MA 02118",BLB-2024-03-28,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,8,8,17,Granted,,
BLB-2024-03-28-T-18,2024-03-28,LB99338,license_transfer,transfer_application_disposition,granted,True,False,903 Boylston Street LLC,,OSIB Boston Back Bay Operations LLC,citizenM Back Bay Hotel,,,,"903 - 905 Boylston Street, Boston, MA 02115","408 Newbury Street, Boston, MA 02115",BLB-2024-03-28,https://www.boston.gov/sites/default/files/file/2024/05/Updated%20Voting%20Minutes%203-28-24.docx_1.pdf,8,8,18,"Granted
Conditions: Roof deck to close at 1:00 AM; Second level patio to close at 12:00 AM",,
BLB-2024-04-04-T-4,2024-04-04,LB99797,license_transfer,transfer_application_disposition,granted,True,False,"Fuente Cleaning Services, Inc.",Billares Colombia,ZAAKFL LLC,Billares Colombia,,,,"28 Bennington St, East Boston, MA 02128","28 Bennington St, East Boston, MA 02128",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,4,4,4,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-04-04-T-5,2024-04-04,LB101895,license_transfer,transfer_application_disposition,granted,True,False,Next Corporation,OBD Liquors,732 Brigham Inc.,Brigham Liquors,,,,"732 Huntington Ave, Mission Hill, MA 02120","732 Huntington Ave, Mission Hill, MA 02120",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,4,4,5,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-04-04-T-6,2024-04-04,LB99678,license_transfer,transfer_application_disposition,granted,True,False,"Blue Nile, Inc.",Blue Nile Restaurant,"Beza Mackenzie, LLC",Blue Nile,,,"Blue Nile, Inc.","389 Centre St, Jamaica Plain, MA 02130","389 Centre St, Jamaica Plain, MA 02130",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,5,5,6,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-04-04-T-7,2024-04-04,LB102021,license_transfer,transfer_application_disposition,granted,True,False,"Commonwealth Market, Inc.",Tropical,Shippys Retail Inc.,Commonwealth Market,,,Rockland Trust Company,"1090 Commonwealth Ave, Boston MA 02215","1090 Commonwealth Ave, Boston MA 02215",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,5,5,7,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-04-04-T-8,2024-04-04,LB102046,license_transfer,transfer_application_disposition,granted,True,False,"Metamorphosis, LLC",Metamorphosis,LM Wines and Spirits LLC,LM Wines and Spirits,,,,"1153 Washington St, Mattapan, MA 02126","1153 Washington St, Mattapan, MA 02126",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,5,5,8,"Granted
The Board will schedule a hearing prior to the Licensee commencing operations to review the
updated floor plan and the security and operations of the Licensee",,Destination address carried from explicit same-location statement.
BLB-2024-04-04-T-9,2024-04-04,LB99603,license_transfer,transfer_application_disposition,deferred,False,False,Immersive Art Space Boston LLC,,"Post Road Company, LLC",Hill Kitchen,,,,"130 Columbus Ave, Boston, MA 02116","39 Charles Street, Boston, MA 02114",BLB-2024-04-04,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-4-24.docx%20%282%29.pdf,6,6,9,Deferred to allow for completion of the community process,,
BLB-2024-04-25-T-14,2024-04-25,LB98912,license_transfer,transfer_application_disposition,granted,True,False,"The Club at Boston College, Inc.",Boston College Club,"Lincoln Street Property Owner, LLC",,,,,"100 Federal St, Boston, MA 02110","1 Lincoln Street, Boston, MA 02111",BLB-2024-04-25,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,7,7,14,"Granted
Condition: any subsequent management agreement or transfer at the same location requires a
community process at the discretion of the Board
The Licensee must provide a status update within six months should an application for a
subsequent transfer or management agreement not be filed with the Board",,Destination address carried from explicit same-location statement.
BLB-2024-04-25-T-15,2024-04-25,LB99580,license_transfer,transfer_application_disposition,granted,True,False,"North End Pomodoro of Boston, Inc.",Pomodoro,204 Hanover Corp.,North End Lobster Co.,,,,"364 Hanover St, Boston, MA 02113","204 Hanover Street, Boston, MA 02113",BLB-2024-04-25,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,8,8,15,Granted,,
BLB-2024-04-25-T-16,2024-04-25,LB101570,license_transfer,transfer_application_disposition,granted,True,False,"Nusret Boston, LLC",Nusret Steakhouse,Jewel Box LLC,Bon Mar,,,BioMed Realty Holdings LLC,"100 Arlington St, Boston, MA 02116","601 Congress Street, Boston, MA 02210",BLB-2024-04-25,https://www.boston.gov/sites/default/files/file/2024/04/Voting%20Minutes%204-25-24_0.pdf,8,8,16,Granted,,
BLB-2024-05-01-T-10,2024-05-01,LB101975,license_transfer,transfer_application_disposition,granted,True,False,"PQT, Inc.",Green Gardens Liquor & Deli,"VJ Partners, Inc.",Green Gardens Liquor & Deli,,,,"35 W Milton St, Hyde Park, MA 02136","35 W Milton St, Hyde Park, MA 02136",BLB-2024-05-01,https://www.boston.gov/sites/default/files/file/2024/05/BLB%20Voting%20Minutes%205-1-24.pdf,6,6,10,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-05-01-T-11,2024-05-01,LB101580,license_transfer,transfer_application_disposition,granted,True,False,100 Stuart LLC,Metro,"Big House, LLC",BSMNT,,,,"100 Stuart St, Boston MA 02116","100 Stuart St, Boston MA 02116",BLB-2024-05-01,https://www.boston.gov/sites/default/files/file/2024/05/BLB%20Voting%20Minutes%205-1-24.pdf,7,7,11,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-05-01-T-12,2024-05-01,LB445626,license_transfer,transfer_application_disposition,granted,True,False,Ash and Ben LLC,Sushi Kappo,"OMI Symphony, Inc.",OMI Korean Grill,,,,"86 Peterborough St, Boston, MA 02215","267 Huntington Ave, Boston, MA 02115",BLB-2024-05-01,https://www.boston.gov/sites/default/files/file/2024/05/BLB%20Voting%20Minutes%205-1-24.pdf,7,7,12,Granted,,
BLB-2024-05-01-T-13,2024-05-01,LB98996,license_transfer,transfer_application_disposition,granted,True,False,"Laura’s Place, Inc.",,"The Pearl Group at Boston Landing, LLC",The Pearl,,,,"688A Columbia Rd, Dorchester, MA 02125","67-69 Guest Street, Boston, MA 02135",BLB-2024-05-01,https://www.boston.gov/sites/default/files/file/2024/05/BLB%20Voting%20Minutes%205-1-24.pdf,7,7,13,Granted,,
BLB-2024-05-01-T-14,2024-05-01,LB99415,license_transfer,transfer_application_disposition,granted,True,False,"Pho on Thayer, LLC",Pho on Thayer,Nowon Seaport LLC,Nowon Seaport,,,Northern Bank,"11 Thayer St, Roxbury, MA 02118","117 Seaport Blvd, Boston, MA 02110",BLB-2024-05-01,https://www.boston.gov/sites/default/files/file/2024/05/BLB%20Voting%20Minutes%205-1-24.pdf,8,8,14,Granted,,
BLB-2024-05-23-T-16,2024-05-23,LB101975,license_transfer,transfer_application_disposition,granted,True,False,"PQT, INC.",Green Gardens Liquor & Deli,"VJ Partners, Inc.",Green Gardens Liquor & Deli,,,"PQT, Inc.","35 W Milton St, Hyde Park, MA 02136","35 W Milton St, Hyde Park, MA 02136",BLB-2024-05-23,https://www.boston.gov/sites/default/files/file/2024/05/Voting%20Minutes%205_23_24.docx.pdf,8,8,16,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-05-23-T-17,2024-05-23,LB99645,license_transfer,transfer_application_disposition,granted,True,False,Qdoba Restaurant Corporation,Qdoba Mexican Eats,"Evergreen Eatery, Inc.",Evergreen Eatery and Cafe,,,,"17-23 Forsyth St, Boston, MA 02115","154 Green St, Boston, MA 02130",BLB-2024-05-23,https://www.boston.gov/sites/default/files/file/2024/05/Voting%20Minutes%205_23_24.docx.pdf,8,8,17,Granted,,
BLB-2024-06-06-T-7,2024-06-06,LB99038,license_transfer,transfer_application_disposition,granted,True,False,"B. Stone, Inc.",The Blarney Stone,"Jodayaanfre, Inc.",Acapella’s,,,"B. Stone, Inc.","1505 Dorchester Ave, Dorchester, MA 02122","1505 Dorchester Ave, Dorchester, MA 02122",BLB-2024-06-06,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-6-24.docx%20%281%29.pdf,5,5,7,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-06-06-T-8,2024-06-06,LB99570,license_transfer,transfer_application_disposition,granted,True,False,"Beacon Hill Hospitality Group, Inc.",Bin 26 Enoteca,Biscay LLC,Zurito,,,,"20-26 Charles St, Boston, MA 02114","20-26 Charles St, Boston, MA 02114",BLB-2024-06-06,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-6-24.docx%20%281%29.pdf,5,5,8,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-06-06-T-9,2024-06-06,LB98996,license_transfer,transfer_application_disposition,granted,True,False,"Laura’s Place, Inc.",,"The Pearl Group at Boston Landing, LLC",The Pearl,,,,"688A Columbia Rd, Dorchester, MA 02125","67-69 Guest Street, Boston, MA 02135",BLB-2024-06-06,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-6-24.docx%20%281%29.pdf,6,6,9,Granted,,
BLB-2024-06-06-T-5,2024-06-06,LB99643,license_transfer,transfer_revocation_notice,acknowledged,False,False,"Mirage Charcoal Kebab, Inc.",Zen Restaurant,LZZ LLC,Zen Japanese Grill and Sushi Bar,,,,"21A Beacon St., Boston, MA 02109","21A Beacon St., Boston, MA 02109",BLB-2024-06-06,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-6-24.docx%20%281%29.pdf,10,10,5,Acknowledged,2024-03-28,Board acknowledged seller and buyer notice of mutual intent to revoke the March 28 transfer; source says purchase and sale agreement was voided. This is not a new grant or proof of a completed sale.
BLB-2024-06-26-T-15,2024-06-26,LB99458,license_transfer,transfer_application_disposition,granted,True,False,Russian Benevolent Society,Crystal Restaurant/Garage Room,"Keryan & Co, Inc.",Jana Grill & Bar,,,"Russian Benevolent Society, Inc.","14-20 Linden St, Allston, MA 02134","14-20 Linden St, Allston, MA 02134",BLB-2024-06-26,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-26-24.docx.pdf,7,7,15,"Granted
The Board lifts the transferor’s indefinite suspension for the purpose of transferring the license
The Board notes that any future transfer should include a review of the license’s disciplinary
history",,Destination address carried from explicit same-location statement.
BLB-2024-06-26-T-16,2024-06-26,LB99719,license_transfer,transfer_application_disposition,granted,True,False,Street Prince LLC,,Pappare LLC,Pappare Ristorante,,,,"48 Temple Place, Boston, MA 02111","358-364 Hanover Street, Boston, MA 02113",BLB-2024-06-26,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-26-24.docx.pdf,8,8,16,Granted,,
BLB-2024-06-26-T-17,2024-06-26,LB99010,license_transfer,transfer_application_disposition,granted,True,False,"BMS After Dark, Inc.",3380 Bar & Grille,Street Prince LLC,Hobgoblin,,,,"3380 Washington St, Jamaica Plain, MA 02130","48 Temple Place, Boston, MA 02111",BLB-2024-06-26,https://www.boston.gov/sites/default/files/file/2024/06/Voting%20Minutes%206-26-24.docx.pdf,8,8,17,Granted,,
BLB-2024-07-11-T-9,2024-07-11,LB101897,license_transfer,transfer_application_disposition,granted,True,False,JNT Package Corporation,ODB Liquors,Surya Narayan Corporation,Hyde Park Liquor,,,Rockland Trust Company,"1253 Hyde Park Ave, Hyde Park, MA 02136","1253 Hyde Park Ave, Hyde Park, MA 02136",BLB-2024-07-11,https://www.boston.gov/sites/default/files/file/2024/07/Voting%20Agenda%20July%2011.docx_2.pdf,4,4,9,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-07-11-T-10,2024-07-11,LB99152,license_transfer,transfer_application_disposition,granted,True,False,"Lola 42 Restaurant, LLC",Lola 42,"Lola 42 Restaurant Boston, LLC",Lola 42,,,,"22 Liberty Drive, Boston, MA 02210","22 Liberty Drive, Boston, MA 02210",BLB-2024-07-11,https://www.boston.gov/sites/default/files/file/2024/07/Voting%20Agenda%20July%2011.docx_2.pdf,5,5,10,Granted,,Destination address carried from explicit same-location statement.
BLB-2024-07-11-T-11,2024-07-11,LB99459,license_transfer,transfer_application_disposition,granted,True,False,"Atlantico, LLC",Atlantico,Five Iron Golf Seaport LLC,Five Iron Golf,,,,"600 Harrison Ave, Roxbury, MA 02118","311 Summer Street, Boston, MA 02210",BLB-2024-07-11,https://www.boston.gov/sites/default/files/file/2024/07/Voting%20Agenda%20July%2011.docx_2.pdf,5,5,11,"Granted, with patio closing hour of 10:00 PM",,
BLB-2024-07-11-T-12,2024-07-11,LB99633,license_transfer,transfer_application_disposition,granted,True,False,"Allston Rock City, LLC",Fields West,"SB 201 Brookline Ave, LLC",Shy Bird,,,Cambridge Savings Bank,"87 Glenville Ave, Allston, MA 02134","201 Brookline Ave, Boston, MA 02215",BLB-2024-07-11,https://www.boston.gov/sites/default/files/file/2024/07/Voting%20Agenda%20July%2011.docx_2.pdf,5,5,12,Granted,,
BLB-2024-08-01-T-14,2024-08-01,LB99161,license_transfer,transfer_application_disposition,granted,True,False,"S&A P-12 Hospitality, LLC",,"Cruise Hospitality, LLC",AVRA,,,,"1001 Boylston St, Boston, MA 02215","1001 Boylston St, Boston, MA 02215",BLB-2024-08-01,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-1-24.docx.pdf,7,7,14,Granted,,"Source expressly says transfer the licensed business by the named alcoholic-beverages license holder, rather than transfer the license. | Destination address carried from explicit same-location statement."
BLB-2024-08-01-T-15,2024-08-01,LB99783,license_transfer,transfer_application_disposition,granted,True,False,"552 Tremont, LLC",The Butcher Shop,PAG Tremont 552 LLC,,,,,"552 Tremont St, Roxbury, MA 02118","552 Tremont St, Roxbury, MA 02118",BLB-2024-08-01,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-1-24.docx.pdf,7,7,15,Granted,,"Source expressly says transfer the licensed business by the named alcoholic-beverages license holder, rather than transfer the license. | Destination address carried from explicit same-location statement."
BLB-2024-08-01-T-16,2024-08-01,LB99136,license_transfer,transfer_application_disposition,granted,True,False,"AC NEP, LLC",Dorset Hall,Moville Inc.,McGonagle’s,,,Northern Bank and Trust Company,"367-371 Neponset Ave, Dorchester, MA 02122","367-371 Neponset Ave, Dorchester, MA 02122",BLB-2024-08-01,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-1-24.docx.pdf,7,7,16,Granted,,"Source expressly says transfer the licensed business by the named alcoholic-beverages license holder, rather than transfer the license. | Destination address carried from explicit same-location statement."
BLB-2024-08-01-T-17,2024-08-01,LB98901,license_transfer,transfer_application_disposition,granted,True,False,"RYGUY, LLC",The Emory,Taco Azul Boston LLC,Taco Azul,,,"Webster Bank, National Association","21 Beacon St, Boston, MA 02108","21 Beacon St, Boston, MA 02108",BLB-2024-08-01,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-1-24.docx.pdf,8,8,17,Granted,,"Source expressly says transfer the licensed business by the named alcoholic-beverages license holder, rather than transfer the license. | Destination address carried from explicit same-location statement."
BLB-2024-08-01-T-18,2024-08-01,LB99246,license_transfer,transfer_application_disposition,granted,True,False,"East Coast Eats, Inc.",Silvertone Bar & Grill,10 World Trade LHI LLC,,,,,"69 Bromfield St, Boston, MA 02108","10 World Trade Center Ave, Boston, MA 02210",BLB-2024-08-01,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-1-24.docx.pdf,8,8,18,"Granted - Condition: Any subsequent management agreement or transfer at the same location
requires a community process at the discretion of the Board.",,Destination address carried from explicit same-location statement.
BLB-2024-08-01-T-19,2024-08-01,LB99092,license_transfer,transfer_application_disposition,granted,True,False,"G&V Ice Cream and Sub, Inc.",Don’t Tell Aunty,Early Monsoon LLC,Don’t Tell Aunty,,,Rockland Trust Company,"1122 Boylston St, Boston, MA 02215","1080 Boylston Street, Boston, MA 02215",BLB-2024-08-01,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-1-24.docx.pdf,9,9,19,Granted,,
BLB-2024-08-08-T-5,2024-08-08,LB99094,license_transfer,transfer_application_disposition,granted,True,False,"Rhubarb, Inc.",O’Brien’s,"Allston Live Concessions, LLC",O’Brien’s Pub,,,,"3 Harvard Ave, Allston, MA 02134","3 Harvard Ave, Allston, MA 02134",BLB-2024-08-08,https://www.boston.gov/sites/default/files/file/2024/08/Voting%20Minutes%208-8-24.docx.pdf,4,4,5,Granted,,"Source expressly says transfer the licensed business by the named alcoholic-beverages license holder, rather than transfer the license. | Destination address carried from explicit same-location statement."
